 # PENELOPE >>>  Electron mean free paths and range.
 #
 #   Energy       mfp_tot     1st tmfp       range
 #    (keV)      (g/cm**2)    (g/cm**2)    (g/cm**2)
 #----------------------------------------------------
   4.99995E-02  3.11729E-08  1.32148E-07  2.69890E-08
   5.44069E-02  3.24726E-08  1.38341E-07  4.57381E-08
   5.92029E-02  3.38752E-08  1.44856E-07  6.67098E-08
   6.44216E-02  3.53715E-08  1.52411E-07  9.02488E-08
   7.01004E-02  3.69655E-08  1.61177E-07  1.16743E-07
   7.62797E-02  3.86666E-08  1.71030E-07  1.46639E-07
   8.30037E-02  4.04812E-08  1.82136E-07  1.80447E-07
   9.03205E-02  4.24166E-08  1.94698E-07  2.18755E-07
   9.82822E-02  4.44824E-08  2.08872E-07  2.62241E-07
   1.06946E-01  4.66886E-08  2.24880E-07  3.11686E-07
   1.16373E-01  4.90459E-08  2.42915E-07  3.67993E-07
   1.26631E-01  5.15663E-08  2.63230E-07  4.32192E-07
   1.37794E-01  5.42628E-08  2.86144E-07  5.05549E-07
   1.49940E-01  5.71489E-08  3.12005E-07  5.89163E-07
   1.63157E-01  6.02393E-08  3.41161E-07  6.86005E-07
   1.77540E-01  6.29262E-08  3.74041E-07  7.86926E-07
   1.93190E-01  6.61385E-08  4.11149E-07  8.86637E-07
   2.10219E-01  6.96668E-08  4.53041E-07  9.95734E-07
   2.28750E-01  7.34901E-08  5.00352E-07  1.11556E-06
   2.48914E-01  7.76137E-08  5.53809E-07  1.24927E-06
   2.70856E-01  8.19892E-08  6.14241E-07  1.39805E-06
   2.94732E-01  8.66445E-08  6.82595E-07  1.56181E-06
   3.20712E-01  9.16911E-08  7.59953E-07  1.74341E-06
   3.48983E-01  9.70529E-08  8.47556E-07  1.94660E-06
   3.79746E-01  1.02784E-07  9.46825E-07  2.17336E-06
   4.13220E-01  1.08950E-07  1.05939E-06  2.42752E-06
   4.49645E-01  1.15574E-07  1.18711E-06  2.71379E-06
   4.89282E-01  1.22683E-07  1.33215E-06  3.03734E-06
   5.32412E-01  1.30308E-07  1.49698E-06  3.40416E-06
   5.79343E-01  1.38459E-07  1.68444E-06  3.82021E-06
   6.30412E-01  1.47203E-07  1.89782E-06  4.29221E-06
   6.85983E-01  1.56581E-07  2.14093E-06  4.82902E-06
   7.46452E-01  1.66639E-07  2.41814E-06  5.44062E-06
   8.12252E-01  1.77427E-07  2.73451E-06  6.13855E-06
   8.83852E-01  1.89002E-07  3.09591E-06  6.93608E-06
   9.61763E-01  2.01425E-07  3.50917E-06  7.84856E-06
   1.04654E+00  2.14762E-07  3.98214E-06  8.89372E-06
   1.13879E+00  2.29085E-07  4.52397E-06  1.00921E-05
   1.23918E+00  2.44476E-07  5.14528E-06  1.14674E-05
   1.34841E+00  2.61021E-07  5.85841E-06  1.30472E-05
   1.46727E+00  2.78815E-07  6.67770E-06  1.48634E-05
   1.59661E+00  2.97962E-07  7.61978E-06  1.69530E-05
   1.73735E+00  3.18574E-07  8.70405E-06  1.93587E-05
   1.89050E+00  3.40774E-07  9.95306E-06  2.21305E-05
   2.05715E+00  3.64696E-07  1.13931E-05  2.53260E-05
   2.23849E+00  3.90484E-07  1.30546E-05  2.90121E-05
   2.43581E+00  4.18293E-07  1.49732E-05  3.32668E-05
   2.65052E+00  4.48295E-07  1.71904E-05  3.81803E-05
   2.88417E+00  4.80672E-07  1.97544E-05  4.38577E-05
   3.13840E+00  5.15621E-07  2.27214E-05  5.04197E-05
   3.41505E+00  5.53358E-07  2.61569E-05  5.80142E-05
   3.71609E+00  5.94076E-07  3.01372E-05  6.67514E-05
   4.04366E+00  6.38070E-07  3.47512E-05  7.67697E-05
   4.40011E+00  6.85602E-07  4.01025E-05  8.83142E-05
   4.78798E+00  7.36953E-07  4.63117E-05  1.01635E-04
   5.21004E+00  7.92433E-07  5.35193E-05  1.17023E-04
   5.66930E+00  8.52372E-07  6.18893E-05  1.34813E-04
   6.16905E+00  9.17125E-07  7.16125E-05  1.55392E-04
   6.71284E+00  9.87072E-07  8.29109E-05  1.79210E-04
   7.30458E+00  1.06262E-06  9.60437E-05  2.06782E-04
   7.94848E+00  1.14419E-06  1.11312E-04  2.38686E-04
   8.64913E+00  1.23226E-06  1.29067E-04  2.75602E-04
   9.41155E+00  1.32732E-06  1.49717E-04  3.18342E-04
   1.02412E+01  1.42990E-06  1.73738E-04  3.67837E-04
   1.11439E+01  1.54056E-06  2.01683E-04  4.25173E-04
   1.21263E+01  1.65987E-06  2.34195E-04  4.91604E-04
   1.31952E+01  1.78848E-06  2.72023E-04  5.68585E-04
   1.43583E+01  1.92704E-06  3.16038E-04  6.57803E-04
   1.56240E+01  2.07625E-06  3.67252E-04  7.61212E-04
   1.70013E+01  2.23682E-06  4.26837E-04  8.81072E-04
   1.84999E+01  2.40953E-06  4.96159E-04  1.02000E-03
   2.01307E+01  2.59515E-06  5.76799E-04  1.18104E-03
   2.19052E+01  2.79453E-06  6.70592E-04  1.36767E-03
   2.38362E+01  3.00850E-06  7.79668E-04  1.58395E-03
   2.59373E+01  3.23793E-06  9.06489E-04  1.83456E-03
   2.82237E+01  3.48372E-06  1.05391E-03  2.12488E-03
   3.07116E+01  3.74677E-06  1.22522E-03  2.46113E-03
   3.34188E+01  4.02798E-06  1.42423E-03  2.85046E-03
   3.63646E+01  4.32825E-06  1.65536E-03  3.30110E-03
   3.95702E+01  4.64848E-06  1.92366E-03  3.82252E-03
   4.30583E+01  4.98951E-06  2.23498E-03  4.42557E-03
   4.68538E+01  5.35217E-06  2.59608E-03  5.12268E-03
   5.09840E+01  5.73721E-06  3.01465E-03  5.92808E-03
   5.54782E+01  6.14534E-06  3.49958E-03  6.85804E-03
   6.03686E+01  6.57713E-06  4.06103E-03  7.93109E-03
   6.56901E+01  7.03306E-06  4.71066E-03  9.16834E-03
   7.14806E+01  7.51347E-06  5.46179E-03  1.05938E-02
   7.77816E+01  8.01856E-06  6.32963E-03  1.22345E-02
   8.46381E+01  8.54829E-06  7.33146E-03  1.41213E-02
   9.20989E+01  9.10245E-06  8.48701E-03  1.62889E-02
   1.00217E+02  9.68059E-06  9.81867E-03  1.87762E-02
   1.09051E+02  1.02820E-05  1.13518E-02  2.16271E-02
   1.18664E+02  1.09057E-05  1.31152E-02  2.48905E-02
   1.29125E+02  1.15503E-05  1.51413E-02  2.86212E-02
   1.40507E+02  1.22143E-05  1.74670E-02  3.28798E-02
   1.52892E+02  1.28957E-05  2.01334E-02  3.77338E-02
   1.66370E+02  1.35924E-05  2.31873E-02  4.32577E-02
   1.81035E+02  1.43015E-05  2.66818E-02  4.95334E-02
   1.96994E+02  1.50206E-05  3.06751E-02  5.66510E-02
   2.14358E+02  1.57476E-05  3.52304E-02  6.47086E-02
   2.33254E+02  1.64775E-05  4.04269E-02  7.38136E-02
   2.53815E+02  1.72033E-05  4.63585E-02  8.40820E-02
   2.76189E+02  1.79203E-05  5.31245E-02  9.56397E-02
   3.00535E+02  1.86309E-05  6.08149E-02  1.08622E-01
   3.27027E+02  1.93368E-05  6.95323E-02  1.23175E-01
   3.55855E+02  2.00302E-05  7.94226E-02  1.39454E-01
   3.87223E+02  2.07031E-05  9.06520E-02  1.57627E-01
   4.21357E+02  2.13531E-05  1.03390E-01  1.77869E-01
   4.58499E+02  2.19779E-05  1.17834E-01  2.00370E-01
   4.98916E+02  2.25743E-05  1.34212E-01  2.25330E-01
   5.42895E+02  2.31398E-05  1.52780E-01  2.52961E-01
   5.90751E+02  2.36723E-05  1.73834E-01  2.83486E-01
   6.42825E+02  2.41702E-05  1.97712E-01  3.17141E-01
   6.99490E+02  2.46321E-05  2.24804E-01  3.54178E-01
   7.61150E+02  2.50573E-05  2.55560E-01  3.94860E-01
   8.28245E+02  2.54465E-05  2.90499E-01  4.39465E-01
   9.01255E+02  2.57990E-05  3.30215E-01  4.88290E-01
   9.80700E+02  2.61134E-05  3.75388E-01  5.41647E-01
   1.06715E+03  2.63939E-05  4.26852E-01  5.99867E-01
   1.16122E+03  2.66421E-05  4.85551E-01  6.63301E-01
   1.26358E+03  2.68584E-05  5.52553E-01  7.32324E-01
   1.37496E+03  2.70436E-05  6.29092E-01  8.07332E-01
   1.49616E+03  2.72001E-05  7.16638E-01  8.88749E-01
   1.62805E+03  2.73304E-05  8.16906E-01  9.77029E-01
   1.77156E+03  2.74371E-05  9.31836E-01  1.07265E+00
   1.92773E+03  2.75225E-05  1.06381E+00  1.17614E+00
   2.09765E+03  2.75889E-05  1.21548E+00  1.28804E+00
   2.28256E+03  2.76389E-05  1.38998E+00  1.40895E+00
   2.48377E+03  2.76749E-05  1.59097E+00  1.53950E+00
   2.70271E+03  2.76995E-05  1.82271E+00  1.68038E+00
   2.94096E+03  2.77146E-05  2.09020E+00  1.83230E+00
   3.20020E+03  2.77219E-05  2.39922E+00  1.99606E+00
   3.48230E+03  2.77228E-05  2.75656E+00  2.17248E+00
   3.78926E+03  2.77186E-05  3.17014E+00  2.36246E+00
   4.12328E+03  2.77107E-05  3.64923E+00  2.56691E+00
   4.48675E+03  2.77001E-05  4.20469E+00  2.78686E+00
   4.88225E+03  2.76869E-05  4.84917E+00  3.02334E+00
   5.31262E+03  2.76718E-05  5.59741E+00  3.27746E+00
   5.78093E+03  2.76551E-05  6.46677E+00  3.55038E+00
   6.29051E+03  2.76372E-05  7.47749E+00  3.84329E+00
   6.84502E+03  2.76181E-05  8.65326E+00  4.15747E+00
   7.44841E+03  2.75980E-05  1.00219E+01  4.49420E+00
   8.10498E+03  2.75769E-05  1.16159E+01  4.85484E+00
   8.81943E+03  2.75551E-05  1.34733E+01  5.24077E+00
   9.59686E+03  2.75328E-05  1.56388E+01  5.65338E+00
   1.04428E+04  2.75103E-05  1.81647E+01  6.09410E+00
   1.13634E+04  2.74876E-05  2.11130E+01  6.56439E+00
   1.23650E+04  2.74647E-05  2.45559E+01  7.06567E+00
   1.34550E+04  2.74413E-05  2.85776E+01  7.59938E+00
   1.46411E+04  2.74173E-05  3.32778E+01  8.16695E+00
   1.59317E+04  2.73929E-05  3.87741E+01  8.76976E+00
   1.73360E+04  2.73683E-05  4.52049E+01  9.40916E+00
   1.88642E+04  2.73441E-05  5.27324E+01  1.00864E+01
   2.05271E+04  2.73201E-05  6.15479E+01  1.08028E+01
   2.23365E+04  2.72960E-05  7.18775E+01  1.15594E+01
   2.43055E+04  2.72723E-05  8.39892E+01  1.23571E+01
   2.64480E+04  2.72492E-05  9.81970E+01  1.31970E+01
   2.87794E+04  2.72270E-05  1.14873E+02  1.40798E+01
   3.13163E+04  2.72058E-05  1.34459E+02  1.50061E+01
   3.40768E+04  2.71858E-05  1.57477E+02  1.59764E+01
   3.70807E+04  2.71673E-05  1.84546E+02  1.69912E+01
   4.03493E+04  2.71504E-05  2.16402E+02  1.80505E+01
   4.39061E+04  2.71351E-05  2.53916E+02  1.91543E+01
   4.77764E+04  2.71212E-05  2.98129E+02  2.03023E+01
   5.19879E+04  2.71088E-05  3.50268E+02  2.14944E+01
   5.65706E+04  2.70977E-05  4.11798E+02  2.27299E+01
   6.15573E+04  2.70876E-05  4.84460E+02  2.40083E+01
   6.69835E+04  2.70783E-05  5.70314E+02  2.53287E+01
   7.28881E+04  2.70702E-05  6.71796E+02  2.66899E+01
   7.93132E+04  2.70631E-05  7.91847E+02  2.80909E+01
   8.63046E+04  2.70565E-05  9.33976E+02  2.95306E+01
   9.39123E+04  2.70507E-05  1.10166E+03  3.10078E+01
   1.02191E+05  2.70445E-05  1.30019E+03  3.25211E+01
   1.11199E+05  2.70311E-05  1.53129E+03  3.40691E+01
   1.21001E+05  2.70170E-05  1.80361E+03  3.56502E+01
   1.31667E+05  2.70087E-05  2.12892E+03  3.72627E+01
   1.43273E+05  2.70061E-05  2.51806E+03  3.89050E+01
   1.55903E+05  2.70043E-05  2.97946E+03  4.05756E+01
   1.69646E+05  2.70015E-05  3.52440E+03  4.22730E+01
   1.84600E+05  2.69991E-05  4.16968E+03  4.39956E+01
   2.00872E+05  2.69973E-05  4.93436E+03  4.57420E+01
   2.18579E+05  2.69957E-05  5.83985E+03  4.75107E+01
   2.37847E+05  2.69943E-05  6.91203E+03  4.93004E+01
   2.58813E+05  2.69931E-05  8.18172E+03  5.11097E+01
   2.81627E+05  2.69921E-05  9.68538E+03  5.29374E+01
   3.06453E+05  2.69913E-05  1.14660E+04  5.47821E+01
   3.33466E+05  2.69906E-05  1.35746E+04  5.66428E+01
   3.62861E+05  2.69899E-05  1.60715E+04  5.85182E+01
   3.94847E+05  2.69894E-05  1.90283E+04  6.04075E+01
   4.29653E+05  2.69890E-05  2.25296E+04  6.23096E+01
   4.67527E+05  2.69886E-05  2.66756E+04  6.42234E+01
   5.08739E+05  2.69883E-05  3.15852E+04  6.61480E+01
   5.53584E+05  2.69880E-05  3.73987E+04  6.80825E+01
   6.02383E+05  2.69878E-05  4.42827E+04  7.00259E+01
   6.55483E+05  2.69876E-05  5.24341E+04  7.19779E+01
   7.13263E+05  2.69875E-05  6.20865E+04  7.39378E+01
