 # PENELOPE >>>  Electron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br      mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)
 #------------------------------------------------------------------------------
   4.99995E-02  2.12740E-08  2.52701E-08  8.06350E-03  1.15502E-08  1.00000E+35
   5.44069E-02  2.22976E-08  2.61335E-08  8.19508E-03  1.20318E-08  1.00000E+35
   5.92029E-02  2.33574E-08  2.71305E-08  8.34167E-03  1.25515E-08  1.00000E+35
   6.44216E-02  2.44429E-08  2.82567E-08  8.50250E-03  1.31059E-08  1.00000E+35
   7.01004E-02  2.55584E-08  2.95115E-08  8.67701E-03  1.36965E-08  1.00000E+35
   7.62797E-02  2.67144E-08  3.08965E-08  8.86478E-03  1.43268E-08  1.00000E+35
   8.30037E-02  2.79166E-08  3.24155E-08  9.06551E-03  1.49991E-08  1.00000E+35
   9.03205E-02  2.91713E-08  3.40739E-08  9.27902E-03  1.57163E-08  1.00000E+35
   9.82822E-02  3.04865E-08  3.58784E-08  9.50522E-03  1.64817E-08  1.00000E+35
   1.06946E-01  3.18705E-08  3.78367E-08  9.74407E-03  1.72991E-08  1.00000E+35
   1.16373E-01  3.33314E-08  3.99582E-08  9.99562E-03  1.81726E-08  1.00000E+35
   1.26631E-01  3.48781E-08  4.22528E-08  1.02600E-02  1.91064E-08  4.18930E-04
   1.37794E-01  3.65203E-08  4.47319E-08  1.05372E-02  2.01055E-08  1.39253E-04
   1.49940E-01  3.82671E-08  4.74079E-08  1.08277E-02  2.11749E-08  7.89977E-05
   1.63157E-01  4.01284E-08  5.02945E-08  1.11315E-02  2.23200E-08  5.43881E-05
   1.77540E-01  4.21143E-08  5.22333E-08  1.14490E-02  2.33155E-08  4.12150E-05
   1.93190E-01  4.42350E-08  5.49446E-08  1.17806E-02  2.45057E-08  3.33099E-05
   2.10219E-01  4.65012E-08  5.80207E-08  1.21265E-02  2.58130E-08  2.80876E-05
   2.28750E-01  4.89238E-08  6.14075E-08  1.24871E-02  2.72297E-08  2.45742E-05
   2.48914E-01  5.15142E-08  6.50987E-08  1.28630E-02  2.87575E-08  2.20094E-05
   2.70856E-01  5.42842E-08  6.89840E-08  1.32545E-02  3.03787E-08  2.01024E-05
   2.94732E-01  5.72460E-08  7.30963E-08  1.36622E-02  3.21036E-08  1.86582E-05
   3.20712E-01  6.04127E-08  7.76289E-08  1.40865E-02  3.39735E-08  1.76117E-05
   3.48983E-01  6.37977E-08  8.24134E-08  1.45280E-02  3.59602E-08  1.68093E-05
   3.79746E-01  6.74158E-08  8.75306E-08  1.49873E-02  3.80837E-08  1.62060E-05
   4.13220E-01  7.12822E-08  9.30832E-08  1.54650E-02  4.03683E-08  1.57666E-05
   4.49645E-01  7.54134E-08  9.90895E-08  1.59618E-02  4.28225E-08  1.54704E-05
   4.89282E-01  7.98279E-08  1.05574E-07  1.64783E-02  4.54566E-08  1.52969E-05
   5.32412E-01  8.45446E-08  1.12568E-07  1.70152E-02  4.82820E-08  1.52258E-05
   5.79343E-01  8.95851E-08  1.20052E-07  1.75732E-02  5.13021E-08  1.52391E-05
   6.30412E-01  9.49731E-08  1.28119E-07  1.81532E-02  5.45417E-08  1.53412E-05
   6.85983E-01  1.00734E-07  1.36812E-07  1.87559E-02  5.80164E-08  1.55178E-05
   7.46452E-01  1.06896E-07  1.46174E-07  1.93821E-02  6.17432E-08  1.57700E-05
   8.12252E-01  1.13489E-07  1.56254E-07  2.00327E-02  6.57406E-08  1.60917E-05
   8.83852E-01  1.20549E-07  1.67104E-07  2.07086E-02  7.00293E-08  1.64843E-05
   9.61763E-01  1.28113E-07  1.78783E-07  2.14108E-02  7.46322E-08  1.69436E-05
   1.04654E+00  1.36222E-07  1.91352E-07  2.21403E-02  7.95737E-08  1.75025E-05
