 # PENELOPE >>>  Electron stopping powers (stp).
 #
 #   Energy       stp_col      stp_rad      stp_tot
 #    (keV)     (eV cm**2/g) (eV cm**2/g) (eV cm**2/g)
 #----------------------------------------------------
   4.99995E-02  2.38120E+08  1.44135E+03  2.38122E+08
   5.44069E-02  2.32055E+08  1.48120E+03  2.32057E+08
   5.92029E-02  2.25337E+08  1.52219E+03  2.25339E+08
   6.44216E-02  2.18147E+08  1.56437E+03  2.18149E+08
   7.01004E-02  2.10627E+08  1.60776E+03  2.10629E+08
   7.62797E-02  2.02891E+08  1.65240E+03  2.02893E+08
   8.30037E-02  1.95031E+08  1.69832E+03  1.95033E+08
   9.03205E-02  1.87121E+08  1.74558E+03  1.87123E+08
   9.82822E-02  1.79223E+08  1.79420E+03  1.79225E+08
   1.06946E-01  1.71388E+08  1.84423E+03  1.71390E+08
   1.16373E-01  1.63657E+08  1.89571E+03  1.63659E+08
   1.26631E-01  1.56065E+08  1.94869E+03  1.56067E+08
   1.37794E-01  1.48638E+08  2.00321E+03  1.48640E+08
   1.49940E-01  1.41399E+08  2.05932E+03  1.41401E+08
   1.63157E-01  1.34366E+08  2.11706E+03  1.34368E+08
   1.77540E-01  1.53388E+08  2.17648E+03  1.53390E+08
   1.93190E-01  1.56724E+08  2.23765E+03  1.56727E+08
   2.10219E-01  1.55855E+08  2.30061E+03  1.55857E+08
   2.28750E-01  1.52948E+08  2.36541E+03  1.52951E+08
   2.48914E-01  1.48851E+08  2.43212E+03  1.48854E+08
   2.70856E-01  1.46475E+08  2.50079E+03  1.46478E+08
   2.94732E-01  1.44936E+08  2.57148E+03  1.44938E+08
   3.20712E-01  1.41009E+08  2.64426E+03  1.41011E+08
   3.48983E-01  1.37456E+08  2.71920E+03  1.37459E+08
   3.79746E-01  1.33825E+08  2.79635E+03  1.33828E+08
   4.13220E-01  1.29575E+08  2.87580E+03  1.29578E+08
   4.49645E-01  1.24953E+08  2.95761E+03  1.24955E+08
   4.89282E-01  1.20114E+08  3.04186E+03  1.20117E+08
   5.32412E-01  1.15168E+08  3.12863E+03  1.15171E+08
   5.79343E-01  1.10565E+08  3.21800E+03  1.10568E+08
   6.30412E-01  1.05904E+08  3.31005E+03  1.05907E+08
   6.85983E-01  1.01235E+08  3.40488E+03  1.01239E+08
   7.46452E-01  9.66083E+07  3.50256E+03  9.66118E+07
   8.12252E-01  9.20573E+07  3.60321E+03  9.20609E+07
   8.83852E-01  8.76063E+07  3.70691E+03  8.76100E+07
   9.61763E-01  8.32727E+07  3.81377E+03  8.32766E+07
   1.04654E+00  7.90689E+07  3.92388E+03  7.90728E+07
   1.13879E+00  7.50033E+07  4.03697E+03  7.50074E+07
   1.23918E+00  7.10819E+07  4.15239E+03  7.10861E+07
   1.34841E+00  6.73082E+07  4.26941E+03  6.73125E+07
   1.46727E+00  6.36842E+07  4.38719E+03  6.36886E+07
   1.59661E+00  6.02104E+07  4.50490E+03  6.02149E+07
   1.73735E+00  5.68861E+07  4.62223E+03  5.68907E+07
   1.89050E+00  5.37097E+07  4.73919E+03  5.37144E+07
   2.05715E+00  5.06790E+07  4.85582E+03  5.06839E+07
   2.23849E+00  4.77912E+07  4.97200E+03  4.77962E+07
   2.43581E+00  4.50428E+07  5.08736E+03  4.50479E+07
   2.65052E+00  4.24301E+07  5.20147E+03  4.24353E+07
   2.88417E+00  3.99491E+07  5.31390E+03  3.99544E+07
   3.13840E+00  3.75955E+07  5.42421E+03  3.76009E+07
   3.41505E+00  3.53649E+07  5.53211E+03  3.53705E+07
   3.71609E+00  3.36130E+07  5.63750E+03  3.36186E+07
   4.04366E+00  3.17944E+07  5.74031E+03  3.18002E+07
   4.40011E+00  3.00017E+07  5.84035E+03  3.00076E+07
   4.78798E+00  2.82740E+07  5.93714E+03  2.82800E+07
   5.21004E+00  2.66222E+07  6.03017E+03  2.66282E+07
   5.66930E+00  2.50495E+07  6.11916E+03  2.50556E+07
   6.16905E+00  2.35562E+07  6.20414E+03  2.35624E+07
   6.71284E+00  2.21414E+07  6.28505E+03  2.21476E+07
   7.30458E+00  2.08166E+07  6.36159E+03  2.08229E+07
   7.94848E+00  1.95788E+07  6.43345E+03  1.95853E+07
   8.64913E+00  1.84058E+07  6.50042E+03  1.84123E+07
   9.41155E+00  1.72965E+07  6.56272E+03  1.73030E+07
   1.02412E+01  1.62492E+07  6.62070E+03  1.62558E+07
   1.11439E+01  1.52618E+07  6.67457E+03  1.52684E+07
   1.21263E+01  1.43317E+07  6.72409E+03  1.43384E+07
   1.31952E+01  1.34563E+07  6.76904E+03  1.34631E+07
   1.43583E+01  1.26332E+07  6.80916E+03  1.26400E+07
   1.56240E+01  1.18596E+07  6.84427E+03  1.18664E+07
   1.70013E+01  1.11331E+07  6.87486E+03  1.11400E+07
   1.84999E+01  1.04512E+07  6.90211E+03  1.04581E+07
   2.01307E+01  9.81151E+06  6.92724E+03  9.81844E+06
   2.19052E+01  9.21179E+06  6.95118E+03  9.21874E+06
   2.38362E+01  8.64980E+06  6.97387E+03  8.65678E+06
   2.59373E+01  8.12345E+06  6.99509E+03  8.13045E+06
   2.82237E+01  7.63073E+06  7.01457E+03  7.63774E+06
   3.07116E+01  7.16971E+06  7.03202E+03  7.17675E+06
   3.34188E+01  6.73858E+06  7.04761E+03  6.74563E+06
   3.63646E+01  6.33559E+06  7.06253E+03  6.34265E+06
   3.95702E+01  5.95909E+06  7.07811E+03  5.96617E+06
   4.30583E+01  5.60752E+06  7.09545E+03  5.61462E+06
   4.68538E+01  5.27941E+06  7.11422E+03  5.28652E+06
   5.09840E+01  4.97333E+06  7.13345E+03  4.98047E+06
   5.54782E+01  4.68797E+06  7.15340E+03  4.69513E+06
   6.03686E+01  4.42208E+06  7.17685E+03  4.42926E+06
   6.56901E+01  4.17447E+06  7.20619E+03  4.18167E+06
   7.14806E+01  3.94402E+06  7.24148E+03  3.95126E+06
   7.77816E+01  3.72968E+06  7.28234E+03  3.73696E+06
   8.46381E+01  3.53046E+06  7.32841E+03  3.53778E+06
   9.20989E+01  3.34542E+06  7.38019E+03  3.35280E+06
   1.00217E+02  3.17370E+06  7.43881E+03  3.18114E+06
   1.09051E+02  3.01446E+06  7.50543E+03  3.02196E+06
   1.18664E+02  2.86693E+06  7.58103E+03  2.87451E+06
   1.29125E+02  2.73038E+06  7.66663E+03  2.73805E+06
   1.40507E+02  2.60414E+06  7.76331E+03  2.61190E+06
   1.52892E+02  2.48755E+06  7.87219E+03  2.49543E+06
   1.66370E+02  2.38003E+06  7.99484E+03  2.38802E+06
   1.81035E+02  2.28100E+06  8.13368E+03  2.28914E+06
   1.96994E+02  2.18995E+06  8.29138E+03  2.19824E+06
   2.14358E+02  2.10637E+06  8.47078E+03  2.11484E+06
   2.33254E+02  2.02980E+06  8.67471E+03  2.03848E+06
   2.53815E+02  1.95982E+06  8.90618E+03  1.96873E+06
   2.76189E+02  1.89601E+06  9.16849E+03  1.90518E+06
   3.00535E+02  1.83799E+06  9.46528E+03  1.84746E+06
   3.27027E+02  1.78540E+06  9.80064E+03  1.79520E+06
   3.55855E+02  1.73791E+06  1.01792E+04  1.74809E+06
   3.87223E+02  1.69520E+06  1.06061E+04  1.70581E+06
   4.21357E+02  1.65697E+06  1.10872E+04  1.66806E+06
   4.58499E+02  1.62294E+06  1.16290E+04  1.63457E+06
   4.98916E+02  1.59284E+06  1.22386E+04  1.60508E+06
   5.42895E+02  1.56642E+06  1.29241E+04  1.57935E+06
   5.90751E+02  1.54345E+06  1.36946E+04  1.55714E+06
   6.42825E+02  1.52368E+06  1.45602E+04  1.53824E+06
   6.99490E+02  1.50691E+06  1.55323E+04  1.52245E+06
   7.61150E+02  1.49294E+06  1.66232E+04  1.50956E+06
   8.28245E+02  1.48155E+06  1.78473E+04  1.49940E+06
   9.01255E+02  1.47257E+06  1.92198E+04  1.49179E+06
   9.80700E+02  1.46580E+06  2.07569E+04  1.48656E+06
   1.06715E+03  1.46109E+06  2.24764E+04  1.48356E+06
   1.16122E+03  1.45825E+06  2.43985E+04  1.48265E+06
   1.26358E+03  1.45712E+06  2.65453E+04  1.48367E+06
   1.37496E+03  1.45756E+06  2.89415E+04  1.48650E+06
   1.49616E+03  1.45940E+06  3.16144E+04  1.49101E+06
   1.62805E+03  1.46250E+06  3.45943E+04  1.49709E+06
   1.77156E+03  1.46671E+06  3.79155E+04  1.50463E+06
   1.92773E+03  1.47190E+06  4.16161E+04  1.51352E+06
   2.09765E+03  1.47793E+06  4.57384E+04  1.52367E+06
   2.28256E+03  1.48467E+06  5.03278E+04  1.53500E+06
   2.48377E+03  1.49199E+06  5.54333E+04  1.54743E+06
   2.70271E+03  1.49979E+06  6.11079E+04  1.56090E+06
   2.94096E+03  1.50795E+06  6.74091E+04  1.57536E+06
   3.20020E+03  1.51638E+06  7.43990E+04  1.59078E+06
   3.48230E+03  1.52501E+06  8.21450E+04  1.60715E+06
   3.78926E+03  1.53377E+06  9.07197E+04  1.62449E+06
   4.12328E+03  1.54262E+06  1.00201E+05  1.64282E+06
   4.48675E+03  1.55151E+06  1.10679E+05  1.66218E+06
   4.88225E+03  1.56041E+06  1.22267E+05  1.68267E+06
   5.31262E+03  1.56930E+06  1.35092E+05  1.70439E+06
   5.78093E+03  1.57817E+06  1.49272E+05  1.72745E+06
   6.29051E+03  1.58701E+06  1.64919E+05  1.75193E+06
   6.84502E+03  1.59581E+06  1.82168E+05  1.77798E+06
   7.44841E+03  1.60457E+06  2.01181E+05  1.80575E+06
   8.10498E+03  1.61327E+06  2.22134E+05  1.83541E+06
   8.81943E+03  1.62193E+06  2.45224E+05  1.86716E+06
   9.59686E+03  1.63055E+06  2.70656E+05  1.90120E+06
   1.04428E+04  1.63911E+06  2.98655E+05  1.93777E+06
   1.13634E+04  1.64763E+06  3.29464E+05  1.97710E+06
   1.23650E+04  1.65611E+06  3.63348E+05  2.01946E+06
   1.34550E+04  1.66454E+06  4.00591E+05  2.06513E+06
   1.46411E+04  1.67292E+06  4.41502E+05  2.11443E+06
   1.59317E+04  1.68126E+06  4.86417E+05  2.16768E+06
   1.73360E+04  1.68956E+06  5.35715E+05  2.22527E+06
   1.88642E+04  1.69780E+06  5.89820E+05  2.28762E+06
   2.05271E+04  1.70600E+06  6.49202E+05  2.35520E+06
   2.23365E+04  1.71415E+06  7.14360E+05  2.42851E+06
   2.43055E+04  1.72224E+06  7.85815E+05  2.50806E+06
   2.64480E+04  1.73028E+06  8.64125E+05  2.59441E+06
   2.87794E+04  1.73826E+06  9.49890E+05  2.68815E+06
   3.13163E+04  1.74617E+06  1.04375E+06  2.78992E+06
   3.40768E+04  1.75401E+06  1.14647E+06  2.90047E+06
   3.70807E+04  1.76177E+06  1.25892E+06  3.02069E+06
   4.03493E+04  1.76946E+06  1.38212E+06  3.15157E+06
   4.39061E+04  1.77706E+06  1.51709E+06  3.29415E+06
   4.77764E+04  1.78458E+06  1.66477E+06  3.44935E+06
   5.19879E+04  1.79201E+06  1.82608E+06  3.61808E+06
   5.65706E+04  1.79935E+06  2.00224E+06  3.80159E+06
   6.15573E+04  1.80659E+06  2.19499E+06  4.00159E+06
   6.69835E+04  1.81375E+06  2.40606E+06  4.21982E+06
   7.28881E+04  1.82082E+06  2.63689E+06  4.45771E+06
   7.93132E+04  1.82781E+06  2.88891E+06  4.71672E+06
   8.63046E+04  1.83472E+06  3.16369E+06  4.99841E+06
   9.39123E+04  1.84156E+06  3.46340E+06  5.30496E+06
   1.02191E+05  1.84833E+06  3.79067E+06  5.63900E+06
   1.11199E+05  1.85503E+06  4.14829E+06  6.00332E+06
   1.21001E+05  1.86168E+06  4.53893E+06  6.40061E+06
   1.31667E+05  1.86828E+06  4.96544E+06  6.83372E+06
   1.43273E+05  1.87484E+06  5.43087E+06  7.30570E+06
   1.55903E+05  1.88135E+06  5.93850E+06  7.81985E+06
   1.69646E+05  1.88783E+06  6.49197E+06  8.37980E+06
   1.84600E+05  1.89427E+06  7.09534E+06  8.98961E+06
   2.00872E+05  1.90070E+06  7.75302E+06  9.65372E+06
   2.18579E+05  1.90709E+06  8.46985E+06  1.03769E+07
   2.37847E+05  1.91347E+06  9.25102E+06  1.11645E+07
   2.58813E+05  1.91983E+06  1.01022E+07  1.20220E+07
   2.81627E+05  1.92618E+06  1.10295E+07  1.29557E+07
   3.06453E+05  1.93251E+06  1.20396E+07  1.39721E+07
   3.33466E+05  1.93883E+06  1.31398E+07  1.50786E+07
   3.62861E+05  1.94514E+06  1.43381E+07  1.62832E+07
   3.94847E+05  1.95144E+06  1.56432E+07  1.75946E+07
   4.29653E+05  1.95774E+06  1.70646E+07  1.90223E+07
   4.67527E+05  1.96403E+06  1.86133E+07  2.05773E+07
   5.08739E+05  1.97031E+06  2.03013E+07  2.22716E+07
   5.53584E+05  1.97659E+06  2.21411E+07  2.41177E+07
   6.02383E+05  1.98286E+06  2.41435E+07  2.61264E+07
   6.55483E+05  1.98914E+06  2.63203E+07  2.83095E+07
   7.13263E+05  1.99541E+06  2.86882E+07  3.06836E+07
   7.76137E+05  2.00167E+06  3.12669E+07  3.32685E+07
   8.44553E+05  2.00794E+06  3.40780E+07  3.60860E+07
   9.19000E+05  2.01420E+06  3.71423E+07  3.91565E+07
   1.00001E+06  2.02046E+06  4.04786E+07  4.24991E+07
