 # PENELOPE >>>  Electron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   4.99995E-02  7.80345E-16  6.56946E-16  2.05879E-21  1.43729E-15  1.66011E-58
   5.44069E-02  7.44523E-16  6.35242E-16  2.02574E-21  1.37977E-15  1.66011E-58
   5.92029E-02  7.10741E-16  6.11898E-16  1.99014E-21  1.32264E-15  1.66011E-58
   6.44216E-02  6.79178E-16  5.87509E-16  1.95249E-21  1.26669E-15  1.66011E-58
   7.01004E-02  6.49536E-16  5.62530E-16  1.91322E-21  1.21207E-15  1.66011E-58
   7.62797E-02  6.21429E-16  5.37313E-16  1.87270E-21  1.15874E-15  1.66011E-58
   8.30037E-02  5.94666E-16  5.12134E-16  1.83124E-21  1.10680E-15  1.66011E-58
   9.03205E-02  5.69090E-16  4.87208E-16  1.78910E-21  1.05630E-15  1.66011E-58
   9.82822E-02  5.44538E-16  4.62705E-16  1.74652E-21  1.00724E-15  1.66011E-58
   1.06946E-01  5.20892E-16  4.38756E-16  1.70371E-21  9.59650E-16  1.66011E-58
   1.16373E-01  4.98062E-16  4.15462E-16  1.66084E-21  9.13525E-16  1.66011E-58
   1.26631E-01  4.75974E-16  3.92899E-16  1.61805E-21  8.68875E-16  3.96273E-20
   1.37794E-01  4.54572E-16  3.71124E-16  1.57547E-21  8.25697E-16  1.19215E-19
   1.49940E-01  4.33822E-16  3.50175E-16  1.53321E-21  7.83998E-16  2.10146E-19
   1.63157E-01  4.13699E-16  3.30078E-16  1.49136E-21  7.43778E-16  3.05234E-19
   1.77540E-01  3.94191E-16  3.17826E-16  1.45000E-21  7.12019E-16  4.02792E-19
   1.93190E-01  3.75293E-16  3.02142E-16  1.40919E-21  6.77437E-16  4.98384E-19
   2.10219E-01  3.57004E-16  2.86123E-16  1.36900E-21  6.43128E-16  5.91046E-19
   2.28750E-01  3.39325E-16  2.70343E-16  1.32945E-21  6.09669E-16  6.75548E-19
   2.48914E-01  3.22262E-16  2.55014E-16  1.29061E-21  5.77278E-16  7.54273E-19
   2.70856E-01  3.05818E-16  2.40651E-16  1.25249E-21  5.46471E-16  8.25825E-19
   2.94732E-01  2.89995E-16  2.27112E-16  1.21511E-21  5.17109E-16  8.89748E-19
   3.20712E-01  2.74795E-16  2.13852E-16  1.17851E-21  4.88648E-16  9.42617E-19
   3.48983E-01  2.60214E-16  2.01437E-16  1.14270E-21  4.61652E-16  9.87615E-19
   3.79746E-01  2.46249E-16  1.89660E-16  1.10768E-21  4.35910E-16  1.02438E-18
   4.13220E-01  2.32893E-16  1.78347E-16  1.07346E-21  4.11240E-16  1.05293E-18
   4.49645E-01  2.20134E-16  1.67536E-16  1.04005E-21  3.87671E-16  1.07308E-18
   4.89282E-01  2.07961E-16  1.57245E-16  1.00745E-21  3.65207E-16  1.08526E-18
   5.32412E-01  1.96359E-16  1.47476E-16  9.75664E-22  3.43836E-16  1.09033E-18
   5.79343E-01  1.85311E-16  1.38283E-16  9.44681E-22  3.23594E-16  1.08937E-18
   6.30412E-01  1.74798E-16  1.29575E-16  9.14500E-22  3.04374E-16  1.08212E-18
   6.85983E-01  1.64801E-16  1.21342E-16  8.85114E-22  2.86144E-16  1.06981E-18
   7.46452E-01  1.55302E-16  1.13571E-16  8.56517E-22  2.68873E-16  1.05270E-18
   8.12252E-01  1.46279E-16  1.06244E-16  8.28699E-22  2.52524E-16  1.03166E-18
   8.83852E-01  1.37713E-16  9.93456E-17  8.01650E-22  2.37059E-16  1.00708E-18
   9.61763E-01  1.29582E-16  9.28561E-17  7.75360E-22  2.22439E-16  9.79786E-19
   1.04654E+00  1.21868E-16  8.67568E-17  7.49814E-22  2.08625E-16  9.48499E-19
   1.13879E+00  1.14551E-16  8.10289E-17  7.24928E-22  1.95581E-16  9.16143E-19
   1.23918E+00  1.07614E-16  7.56535E-17  7.00567E-22  1.83268E-16  8.84890E-19
   1.34841E+00  1.01039E-16  7.06124E-17  6.76609E-22  1.71652E-16  8.49885E-19
   1.46727E+00  9.48085E-17  6.58876E-17  6.52948E-22  1.60697E-16  8.15737E-19
   1.59661E+00  8.89080E-17  6.14619E-17  6.29503E-22  1.50371E-16  7.81194E-19
   1.73735E+00  8.33222E-17  5.73185E-17  6.06307E-22  1.40641E-16  7.47023E-19
   1.89050E+00  7.80370E-17  5.34414E-17  5.83441E-22  1.31479E-16  7.12733E-19
   2.05715E+00  7.30391E-17  4.98151E-17  5.60977E-22  1.22855E-16  6.79857E-19
   2.23849E+00  6.83159E-17  4.64249E-17  5.38955E-22  1.14741E-16  6.47449E-19
   2.43581E+00  6.38556E-17  4.32569E-17  5.17377E-22  1.07113E-16  6.15299E-19
   2.65052E+00  5.96465E-17  4.02976E-17  4.96240E-22  9.99446E-17  5.83806E-19
   2.88417E+00  5.56779E-17  3.75343E-17  4.75548E-22  9.32126E-17  5.53629E-19
   3.13840E+00  5.19391E-17  3.49549E-17  4.55306E-22  8.68945E-17  5.24377E-19
   3.41505E+00  4.84200E-17  3.25482E-17  4.35538E-22  8.09686E-17  4.96117E-19
   3.71609E+00  4.51109E-17  3.03077E-17  4.16279E-22  7.54190E-17  4.68777E-19
   4.04366E+00  4.20022E-17  2.82164E-17  3.97558E-22  7.02190E-17  4.42672E-19
   4.40011E+00  3.90845E-17  2.62660E-17  3.79392E-22  6.53509E-17  4.17488E-19
   4.78798E+00  3.63490E-17  2.44478E-17  3.61776E-22  6.07972E-17  3.93427E-19
   5.21004E+00  3.37867E-17  2.27536E-17  3.44702E-22  5.65407E-17  3.70409E-19
   5.66930E+00  3.13891E-17  2.11753E-17  3.28174E-22  5.25647E-17  3.48518E-19
   6.16905E+00  2.91476E-17  1.97054E-17  3.12203E-22  4.88534E-17  3.27805E-19
   6.71284E+00  2.70543E-17  1.83369E-17  2.96799E-22  4.53915E-17  3.08040E-19
   7.30458E+00  2.51011E-17  1.70632E-17  2.81972E-22  4.21645E-17  2.89337E-19
   7.94848E+00  2.32802E-17  1.58780E-17  2.67728E-22  3.91585E-17  2.71647E-19
   8.64913E+00  2.15844E-17  1.47752E-17  2.54063E-22  3.63598E-17  2.54862E-19
   9.41155E+00  2.00062E-17  1.37493E-17  2.40920E-22  3.37557E-17  2.39037E-19
   1.02412E+01  1.85386E-17  1.27952E-17  2.28231E-22  3.13341E-17  2.24093E-19
   1.11439E+01  1.71752E-17  1.19080E-17  2.15998E-22  2.90834E-17  2.09979E-19
   1.21263E+01  1.59093E-17  1.10833E-17  2.04325E-22  2.69928E-17  1.96768E-19
   1.31952E+01  1.47349E-17  1.03167E-17  1.93316E-22  2.50518E-17  1.84311E-19
   1.43583E+01  1.36459E-17  9.60440E-18  1.83053E-22  2.32505E-17  1.72607E-19
   1.56240E+01  1.26369E-17  8.94257E-18  1.73604E-22  2.15797E-17  1.61622E-19
   1.70013E+01  1.17025E-17  8.32780E-18  1.64847E-22  2.00305E-17  1.51311E-19
   1.84999E+01  1.08378E-17  7.75683E-18  1.56492E-22  1.85948E-17  1.41647E-19
   2.01307E+01  1.00379E-17  7.22667E-18  1.48267E-22  1.72647E-17  1.32595E-19
   2.19052E+01  9.29839E-18  6.73447E-18  1.40023E-22  1.60330E-17  1.24120E-19
   2.38362E+01  8.61496E-18  6.27761E-18  1.31910E-22  1.48927E-17  1.16194E-19
   2.59373E+01  7.98367E-18  5.85364E-18  1.24110E-22  1.38374E-17  1.08788E-19
   2.82237E+01  7.40077E-18  5.46026E-18  1.16776E-22  1.28611E-17  1.01867E-19
   3.07116E+01  6.86276E-18  5.09534E-18  1.10029E-22  1.19582E-17  9.54005E-20
   3.34188E+01  6.36637E-18  4.75689E-18  1.03881E-22  1.11234E-17  8.93733E-20
   3.63646E+01  5.90852E-18  4.44305E-18  9.81942E-23  1.03517E-17  8.37488E-20
   3.95702E+01  5.48637E-18  4.15210E-18  9.28323E-23  9.63857E-18  7.85026E-20
   4.30583E+01  5.09725E-18  3.88244E-18  8.77054E-23  8.97978E-18  7.36256E-20
   4.68538E+01  4.73867E-18  3.63256E-18  8.28921E-23  8.37131E-18  6.90796E-20
   5.09840E+01  4.40833E-18  3.40107E-18  7.85121E-23  7.80948E-18  6.48530E-20
   5.54782E+01  4.10409E-18  3.18667E-18  7.45640E-23  7.29084E-18  6.09341E-20
   6.03686E+01  3.82396E-18  2.98816E-18  7.08390E-23  6.81219E-18  5.72587E-20
   6.56901E+01  3.56609E-18  2.80442E-18  6.71834E-23  6.37058E-18  5.38781E-20
   7.14806E+01  3.32878E-18  2.63440E-18  6.36412E-23  5.96324E-18  5.07162E-20
   7.77816E+01  3.11042E-18  2.47714E-18  6.02855E-23  5.58762E-18  4.77932E-20
   8.46381E+01  2.90958E-18  2.33173E-18  5.71732E-23  5.24136E-18  4.50836E-20
   9.20989E+01  2.72488E-18  2.19733E-18  5.42993E-23  4.92226E-18  4.25657E-20
   1.00217E+02  2.55507E-18  2.07317E-18  5.16263E-23  4.62830E-18  4.02341E-20
   1.09051E+02  2.39901E-18  1.95853E-18  4.91254E-23  4.35759E-18  3.81210E-20
