 # PENELOPE >>>  Photon mass attenuation coefficients (mac).
 #
 #   Energy       mac_Ra       mac_Co       mac_ph       mac_pp       mac_tot
 #    (keV)      (cm**2/g)    (cm**2/g)    (cm**2/g)    (cm**2/g)    (cm**2/g)
 #------------------------------------------------------------------------------
   5.00000E-02  2.50838E+00  2.25977E-02  8.77672E+03  1.00000E-35  8.77925E+03
   5.23318E-02  2.50829E+00  2.26134E-02  8.40515E+03  1.00000E-35  8.40768E+03
   5.47723E-02  2.50820E+00  2.26293E-02  8.02225E+03  1.00000E-35  8.02478E+03
   5.73266E-02  2.50810E+00  2.26459E-02  7.63079E+03  1.00000E-35  7.63332E+03
   6.00000E-02  2.50799E+00  2.26630E-02  7.24112E+03  1.00000E-35  7.24365E+03
   6.48074E-02  2.50778E+00  2.26942E-02  6.57909E+03  1.00000E-35  6.58162E+03
   7.00000E-02  2.50753E+00  2.27280E-02  5.93755E+03  1.00000E-35  5.94008E+03
   7.48331E-02  2.50729E+00  2.27598E-02  5.41017E+03  1.00000E-35  5.41270E+03
   8.00000E-02  2.50701E+00  2.27936E-02  4.91112E+03  1.00000E-35  4.91365E+03
   8.07300E-02  2.50697E+00  2.27983E-02  4.84624E+03  1.00000E-35  4.84877E+03
   8.07300E-02  2.50697E+00  2.27983E-02  3.29575E+04  1.00000E-35  3.29600E+04
   8.12000E-02  2.50694E+00  2.28013E-02  3.67685E+04  1.00000E-35  3.67710E+04
   8.12000E-02  2.50694E+00  2.28013E-02  5.06505E+04  1.00000E-35  5.06531E+04
   8.22511E-02  2.50688E+00  2.28080E-02  6.37400E+04  1.00000E-35  6.37426E+04
   8.33159E-02  2.50682E+00  2.28149E-02  7.65918E+04  1.00000E-35  7.65943E+04
   8.43944E-02  2.50675E+00  2.28221E-02  8.82785E+04  1.00000E-35  8.82811E+04
   8.54868E-02  2.50669E+00  2.28294E-02  9.83117E+04  1.00000E-35  9.83142E+04
   8.65935E-02  2.50662E+00  2.28366E-02  1.06436E+05  1.00000E-35  1.06439E+05
   8.77144E-02  2.50655E+00  2.28439E-02  1.12772E+05  1.00000E-35  1.12775E+05
   8.88499E-02  2.50648E+00  2.28512E-02  1.17517E+05  1.00000E-35  1.17520E+05
   9.00000E-02  2.50641E+00  2.28584E-02  1.21056E+05  1.00000E-35  1.21058E+05
   9.11931E-02  2.50634E+00  2.28663E-02  1.23671E+05  1.00000E-35  1.23673E+05
   9.24021E-02  2.50626E+00  2.28744E-02  1.25448E+05  1.00000E-35  1.25450E+05
   9.36271E-02  2.50618E+00  2.28824E-02  1.26654E+05  1.00000E-35  1.26657E+05
   9.48683E-02  2.50610E+00  2.28905E-02  1.27486E+05  1.00000E-35  1.27488E+05
   9.74004E-02  2.50594E+00  2.29066E-02  1.28503E+05  1.00000E-35  1.28505E+05
   1.00000E-01  2.50576E+00  2.29237E-02  1.29009E+05  1.00000E-35  1.29012E+05
   1.04881E-01  2.50541E+00  2.29554E-02  1.29042E+05  1.00000E-35  1.29044E+05
   1.07410E-01  2.50524E+00  2.29716E-02  1.28657E+05  1.00000E-35  1.28660E+05
   1.10000E-01  2.50503E+00  2.29889E-02  1.27959E+05  1.00000E-35  1.27962E+05
   1.12196E-01  2.50486E+00  2.30033E-02  1.27224E+05  1.00000E-35  1.27226E+05
   1.14436E-01  2.50469E+00  2.30176E-02  1.26007E+05  1.00000E-35  1.26010E+05
   1.16720E-01  2.50451E+00  2.30322E-02  1.24660E+05  1.00000E-35  1.24662E+05
   1.19050E-01  2.50431E+00  2.30478E-02  1.22963E+05  1.00000E-35  1.22965E+05
   1.19050E-01  2.50431E+00  2.30478E-02  1.35458E+05  1.00000E-35  1.35461E+05
   1.20000E-01  2.50423E+00  2.30541E-02  1.34545E+05  1.00000E-35  1.34547E+05
   1.22425E-01  2.50403E+00  2.30699E-02  1.32273E+05  1.00000E-35  1.32275E+05
   1.24900E-01  2.50382E+00  2.30857E-02  1.29637E+05  1.00000E-35  1.29639E+05
   1.27424E-01  2.50361E+00  2.31020E-02  1.26912E+05  1.00000E-35  1.26914E+05
   1.30000E-01  2.50337E+00  2.31191E-02  1.23797E+05  1.00000E-35  1.23799E+05
   1.32431E-01  2.50315E+00  2.31350E-02  1.20898E+05  1.00000E-35  1.20901E+05
   1.34907E-01  2.50293E+00  2.31509E-02  1.17816E+05  1.00000E-35  1.17818E+05
   1.40000E-01  2.50245E+00  2.31840E-02  1.11508E+05  1.00000E-35  1.11511E+05
   1.44914E-01  2.50197E+00  2.32162E-02  1.05637E+05  1.00000E-35  1.05640E+05
   1.50000E-01  2.50148E+00  2.32485E-02  9.98555E+04  1.00000E-35  9.98580E+04
   1.59687E-01  2.50044E+00  2.33121E-02  8.97373E+04  1.00000E-35  8.97398E+04
   1.70000E-01  2.49928E+00  2.33794E-02  8.01631E+04  1.00000E-35  8.01656E+04
   1.80000E-01  2.49812E+00  2.34439E-02  7.19709E+04  1.00000E-35  7.19734E+04
   1.84932E-01  2.49749E+00  2.34764E-02  6.83201E+04  1.00000E-35  6.83227E+04
   1.90000E-01  2.49687E+00  2.35089E-02  6.47172E+04  1.00000E-35  6.47197E+04
   1.99750E-01  2.49558E+00  2.35724E-02  5.84944E+04  1.00000E-35  5.84969E+04
   2.10000E-01  2.49422E+00  2.36378E-02  5.26731E+04  1.00000E-35  5.26756E+04
   2.30000E-01  2.49131E+00  2.37674E-02  4.33658E+04  1.00000E-35  4.33683E+04
   2.40000E-01  2.48972E+00  2.38330E-02  3.95479E+04  1.00000E-35  3.95504E+04
   2.60000E-01  2.48645E+00  2.39623E-02  3.31466E+04  1.00000E-35  3.31491E+04
   2.80000E-01  2.48295E+00  2.40913E-02  2.80736E+04  1.00000E-35  2.80762E+04
   2.94618E-01  2.48034E+00  2.41841E-02  2.50043E+04  1.00000E-35  2.50068E+04
   3.10000E-01  2.47728E+00  2.42845E-02  2.22251E+04  1.00000E-35  2.22276E+04
