 # PENELOPE >>>  Photon mean free paths (mfp).
 #
 #   Energy       mfp_Ra       mfp_Co       mfp_ph       mfp_pp       mfp_tot
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)
 #------------------------------------------------------------------------------
   5.00000E-02  1.47714E-01  1.63965E+01  4.22164E-05  1.00000E+35  4.22042E-05
   5.23318E-02  1.47719E-01  1.63850E+01  4.40826E-05  1.00000E+35  4.40694E-05
   5.47723E-02  1.47724E-01  1.63735E+01  4.61867E-05  1.00000E+35  4.61722E-05
   5.73266E-02  1.47730E-01  1.63615E+01  4.85561E-05  1.00000E+35  4.85400E-05
   6.00000E-02  1.47736E-01  1.63491E+01  5.11690E-05  1.00000E+35  5.11512E-05
   6.48074E-02  1.47749E-01  1.63267E+01  5.63180E-05  1.00000E+35  5.62963E-05
   7.00000E-02  1.47764E-01  1.63024E+01  6.24030E-05  1.00000E+35  6.23765E-05
   7.48331E-02  1.47778E-01  1.62796E+01  6.84860E-05  1.00000E+35  6.84540E-05
   8.00000E-02  1.47794E-01  1.62555E+01  7.54454E-05  1.00000E+35  7.54066E-05
   8.07300E-02  1.47797E-01  1.62521E+01  7.64555E-05  1.00000E+35  7.64156E-05
   8.07300E-02  1.47797E-01  1.62521E+01  1.12424E-05  1.00000E+35  1.12415E-05
   8.12000E-02  1.47798E-01  1.62500E+01  1.00771E-05  1.00000E+35  1.00764E-05
   8.12000E-02  1.47798E-01  1.62500E+01  7.31525E-06  1.00000E+35  7.31488E-06
   8.22511E-02  1.47802E-01  1.62452E+01  5.81301E-06  1.00000E+35  5.81278E-06
   8.33159E-02  1.47805E-01  1.62403E+01  4.83761E-06  1.00000E+35  4.83745E-06
   8.43944E-02  1.47809E-01  1.62352E+01  4.19718E-06  1.00000E+35  4.19706E-06
   8.54868E-02  1.47813E-01  1.62300E+01  3.76884E-06  1.00000E+35  3.76875E-06
   8.65935E-02  1.47817E-01  1.62249E+01  3.48115E-06  1.00000E+35  3.48107E-06
   8.77144E-02  1.47821E-01  1.62197E+01  3.28557E-06  1.00000E+35  3.28550E-06
   8.88499E-02  1.47825E-01  1.62146E+01  3.15291E-06  1.00000E+35  3.15284E-06
   9.00000E-02  1.47829E-01  1.62094E+01  3.06074E-06  1.00000E+35  3.06068E-06
   9.11931E-02  1.47834E-01  1.62038E+01  2.99603E-06  1.00000E+35  2.99597E-06
   9.24021E-02  1.47839E-01  1.61981E+01  2.95359E-06  1.00000E+35  2.95353E-06
   9.36271E-02  1.47843E-01  1.61924E+01  2.92546E-06  1.00000E+35  2.92540E-06
   9.48683E-02  1.47848E-01  1.61867E+01  2.90637E-06  1.00000E+35  2.90631E-06
   9.74004E-02  1.47857E-01  1.61753E+01  2.88337E-06  1.00000E+35  2.88332E-06
   1.00000E-01  1.47868E-01  1.61633E+01  2.87205E-06  1.00000E+35  2.87200E-06
   1.04881E-01  1.47888E-01  1.61409E+01  2.87132E-06  1.00000E+35  2.87127E-06
   1.07410E-01  1.47899E-01  1.61295E+01  2.87991E-06  1.00000E+35  2.87985E-06
   1.10000E-01  1.47911E-01  1.61174E+01  2.89561E-06  1.00000E+35  2.89556E-06
   1.12196E-01  1.47921E-01  1.61073E+01  2.91236E-06  1.00000E+35  2.91231E-06
   1.14436E-01  1.47931E-01  1.60973E+01  2.94048E-06  1.00000E+35  2.94042E-06
