 # PENELOPE >>>  Photon cross sections (xs).
 #
 #   Energy        xs_Ra        xs_Co        xs_ph        xs_pp       xs_tot
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   5.00000E-02  1.12387E-22  1.01248E-24  3.93238E-19  1.00000E-35  3.93351E-19
   5.23318E-02  1.12383E-22  1.01319E-24  3.76590E-19  1.00000E-35  3.76703E-19
   5.47723E-02  1.12379E-22  1.01390E-24  3.59434E-19  1.00000E-35  3.59547E-19
   5.73266E-02  1.12375E-22  1.01464E-24  3.41895E-19  1.00000E-35  3.42008E-19
   6.00000E-02  1.12370E-22  1.01541E-24  3.24436E-19  1.00000E-35  3.24549E-19
   6.48074E-02  1.12360E-22  1.01680E-24  2.94774E-19  1.00000E-35  2.94887E-19
   7.00000E-02  1.12349E-22  1.01832E-24  2.66030E-19  1.00000E-35  2.66143E-19
   7.48331E-02  1.12338E-22  1.01974E-24  2.42401E-19  1.00000E-35  2.42514E-19
   8.00000E-02  1.12326E-22  1.02126E-24  2.20041E-19  1.00000E-35  2.20154E-19
   8.07300E-02  1.12324E-22  1.02147E-24  2.17134E-19  1.00000E-35  2.17247E-19
   8.07300E-02  1.12324E-22  1.02147E-24  1.47665E-18  1.00000E-35  1.47676E-18
   8.12000E-02  1.12323E-22  1.02161E-24  1.64740E-18  1.00000E-35  1.64751E-18
   8.12000E-02  1.12323E-22  1.02161E-24  2.26938E-18  1.00000E-35  2.26949E-18
   8.22511E-02  1.12320E-22  1.02191E-24  2.85585E-18  1.00000E-35  2.85596E-18
   8.33159E-02  1.12317E-22  1.02221E-24  3.43167E-18  1.00000E-35  3.43178E-18
   8.43944E-02  1.12314E-22  1.02254E-24  3.95529E-18  1.00000E-35  3.95540E-18
   8.54868E-02  1.12311E-22  1.02286E-24  4.40482E-18  1.00000E-35  4.40493E-18
   8.65935E-02  1.12308E-22  1.02319E-24  4.76885E-18  1.00000E-35  4.76896E-18
   8.77144E-02  1.12305E-22  1.02351E-24  5.05272E-18  1.00000E-35  5.05283E-18
   8.88499E-02  1.12302E-22  1.02384E-24  5.26532E-18  1.00000E-35  5.26543E-18
   9.00000E-02  1.12299E-22  1.02416E-24  5.42387E-18  1.00000E-35  5.42398E-18
   9.11931E-02  1.12295E-22  1.02452E-24  5.54102E-18  1.00000E-35  5.54113E-18
   9.24021E-02  1.12292E-22  1.02488E-24  5.62064E-18  1.00000E-35  5.62075E-18
   9.36271E-02  1.12288E-22  1.02524E-24  5.67470E-18  1.00000E-35  5.67481E-18
   9.48683E-02  1.12285E-22  1.02560E-24  5.71196E-18  1.00000E-35  5.71207E-18
   9.74004E-02  1.12278E-22  1.02632E-24  5.75752E-18  1.00000E-35  5.75763E-18
   1.00000E-01  1.12270E-22  1.02709E-24  5.78021E-18  1.00000E-35  5.78032E-18
   1.04881E-01  1.12254E-22  1.02851E-24  5.78168E-18  1.00000E-35  5.78179E-18
   1.07410E-01  1.12246E-22  1.02923E-24  5.76445E-18  1.00000E-35  5.76456E-18
   1.10000E-01  1.12237E-22  1.03001E-24  5.73318E-18  1.00000E-35  5.73329E-18
