 # PENELOPE >>>  Photelectric cross-section ceiling (ph_ceil).
 #
 #   Energy       ph_ceil
 #    (keV)       (cm**2)
 #--------------------------
   4.99995E-02  3.93242E-19
   5.44069E-02  3.93242E-19
   5.44069E-02  3.61903E-19
   5.92029E-02  3.61903E-19
   5.92029E-02  3.29464E-19
   6.44216E-02  3.29464E-19
   6.44216E-02  2.96972E-19
   7.01004E-02  2.96972E-19
   7.01004E-02  2.65500E-19
   7.62797E-02  2.65500E-19
   7.62797E-02  3.25255E-18
   8.30037E-02  3.25255E-18
   8.30037E-02  5.45524E-18
   9.03205E-02  5.45524E-18
   9.03205E-02  5.76527E-18
   9.82822E-02  5.76527E-18
   9.82822E-02  5.78168E-18
   1.06946E-01  5.78168E-18
   1.06946E-01  5.76758E-18
   1.16373E-01  5.76758E-18
   1.16373E-01  6.06917E-18
   1.26631E-01  6.06917E-18
   1.26631E-01  5.72405E-18
   1.37794E-01  5.72405E-18
   1.37794E-01  5.11533E-18
   1.49940E-01  5.11533E-18
   1.49940E-01  4.47690E-18
   1.63157E-01  4.47690E-18
   1.63157E-01  3.86780E-18
   1.77540E-01  3.86780E-18
   1.77540E-01  3.30943E-18
   1.93190E-01  3.30943E-18
   1.93190E-01  2.80373E-18
   2.10219E-01  2.80373E-18
   2.10219E-01  2.35474E-18
   2.28750E-01  2.35474E-18
   2.28750E-01  1.96575E-18
   2.48914E-01  1.96575E-18
   2.48914E-01  1.63496E-18
   2.70856E-01  1.63496E-18
   2.70856E-01  1.35501E-18
   2.94732E-01  1.35501E-18
   2.94732E-01  1.11931E-18
   3.20712E-01  1.11931E-18
   3.20712E-01  9.19989E-19
   3.48983E-01  9.19989E-19
   3.48983E-01  7.54090E-19
   3.79746E-01  7.54090E-19
   3.79746E-01  6.16624E-19
   4.13220E-01  6.16624E-19
   4.13220E-01  5.02931E-19
   4.49645E-01  5.02931E-19
   4.49645E-01  4.08986E-19
   4.89282E-01  4.08986E-19
   4.89282E-01  3.31905E-19
   5.32412E-01  3.31905E-19
   5.32412E-01  2.68750E-19
   5.79343E-01  2.68750E-19
   5.79343E-01  2.17229E-19
   6.30412E-01  2.17229E-19
   6.30412E-01  1.75322E-19
   6.85983E-01  1.75322E-19
   6.85983E-01  1.41231E-19
   7.46452E-01  1.41231E-19
   7.46452E-01  1.13643E-19
   8.12252E-01  1.13643E-19
   8.12252E-01  9.12827E-20
   8.83852E-01  9.12827E-20
   8.83852E-01  7.32411E-20
   9.61763E-01  7.32411E-20
   9.61763E-01  5.86816E-20
   1.04654E+00  5.86816E-20
   1.04654E+00  4.69323E-20
   1.13879E+00  4.69323E-20
   1.13879E+00  3.74881E-20
   1.23918E+00  3.74881E-20
   1.23918E+00  2.99444E-20
   1.34841E+00  2.99444E-20
   1.34841E+00  2.38642E-20
   1.46727E+00  2.38642E-20
   1.46727E+00  1.89747E-19
   1.59661E+00  1.89747E-19
   1.59661E+00  1.78910E-19
   1.73735E+00  1.78910E-19
   1.73735E+00  1.44794E-19
   1.89050E+00  1.44794E-19
   1.89050E+00  1.16682E-19
   2.05715E+00  1.16682E-19
