 # PENELOPE >>>  Positron mean free paths and range.
 #
 #   Energy       mfp_tot     1st tmfp       range
 #    (keV)      (g/cm**2)    (g/cm**2)    (g/cm**2)
 #----------------------------------------------------
   4.99995E-02  3.31560E-08  3.36474E-07  2.69890E-08
   5.44069E-02  3.44784E-08  3.62809E-07  4.16168E-08
   5.92029E-02  3.59160E-08  3.91678E-07  5.80915E-08
   6.44216E-02  3.74781E-08  4.23407E-07  7.66999E-08
   7.01004E-02  3.91693E-08  4.58279E-07  9.77698E-08
   7.62797E-02  4.09925E-08  4.96561E-07  1.21679E-07
   8.30037E-02  4.29541E-08  5.38570E-07  1.48865E-07
   9.03205E-02  4.50619E-08  5.84649E-07  1.79832E-07
   9.82822E-02  4.73236E-08  6.35150E-07  2.15162E-07
   1.06946E-01  4.97483E-08  6.90455E-07  2.55530E-07
   1.16373E-01  5.23459E-08  7.50974E-07  3.01720E-07
   1.26631E-01  5.51270E-08  8.17146E-07  3.54625E-07
   1.37794E-01  5.81034E-08  8.89440E-07  4.15346E-07
   1.49940E-01  6.12878E-08  9.68375E-07  4.84867E-07
   1.63157E-01  6.46938E-08  1.05451E-06  5.65673E-07
   1.77540E-01  6.75267E-08  1.14847E-06  6.50629E-07
   1.93190E-01  7.09276E-08  1.25095E-06  7.34964E-07
   2.10219E-01  7.46728E-08  1.36270E-06  8.26440E-07
   2.28750E-01  7.87342E-08  1.48461E-06  9.26182E-07
   2.48914E-01  8.31143E-08  1.61766E-06  1.03661E-06
   2.70856E-01  8.77500E-08  1.76294E-06  1.15874E-06
   2.94732E-01  9.26532E-08  1.92172E-06  1.29248E-06
   3.20712E-01  9.79703E-08  2.09543E-06  1.43966E-06
   3.48983E-01  1.03688E-07  2.28572E-06  1.60377E-06
   3.79746E-01  1.09825E-07  2.49446E-06  1.78765E-06
   4.13220E-01  1.16404E-07  2.72379E-06  1.99463E-06
   4.49645E-01  1.23455E-07  2.97617E-06  2.22841E-06
   4.89282E-01  1.31008E-07  3.25440E-06  2.49323E-06
   5.32412E-01  1.39098E-07  3.56172E-06  2.79393E-06
   5.79343E-01  1.47761E-07  3.90182E-06  3.13611E-06
   6.30412E-01  1.57039E-07  4.27896E-06  3.52624E-06
   6.85983E-01  1.66976E-07  4.69799E-06  3.97176E-06
   7.46452E-01  1.77619E-07  5.16454E-06  4.48132E-06
   8.12252E-01  1.89021E-07  5.68504E-06  5.06491E-06
   8.83852E-01  2.01238E-07  6.26690E-06  5.73412E-06
   9.61763E-01  2.14331E-07  6.91858E-06  6.50236E-06
   1.04654E+00  2.28368E-07  7.64995E-06  7.38523E-06
   1.13879E+00  2.43421E-07  8.47230E-06  8.40079E-06
   1.23918E+00  2.59571E-07  9.39857E-06  9.57002E-06
   1.34841E+00  2.76901E-07  1.04437E-05  1.09173E-05
   1.46727E+00  2.95506E-07  1.16249E-05  1.24709E-05
   1.59661E+00  3.15487E-07  1.29619E-05  1.42638E-05
   1.73735E+00  3.36955E-07  1.44777E-05  1.63341E-05
   1.89050E+00  3.60030E-07  1.61984E-05  1.87263E-05
   2.05715E+00  3.84842E-07  1.81544E-05  2.14921E-05
   2.23849E+00  4.11533E-07  2.03807E-05  2.46915E-05
   2.43581E+00  4.40255E-07  2.29174E-05  2.83945E-05
   2.65052E+00  4.71175E-07  2.58113E-05  3.26823E-05
   2.88417E+00  5.04473E-07  2.91160E-05  3.76500E-05
   3.13840E+00  5.40343E-07  3.28938E-05  4.34064E-05
   3.41505E+00  5.78995E-07  3.72165E-05  5.00854E-05
   3.71609E+00  6.20614E-07  4.21675E-05  5.77897E-05
   4.04366E+00  6.65496E-07  4.78430E-05  6.66420E-05
   4.40011E+00  7.13900E-07  5.43547E-05  7.68559E-05
   4.78798E+00  7.66107E-07  6.18323E-05  8.86556E-05
   5.21004E+00  8.22423E-07  7.04262E-05  1.02302E-04
   5.66930E+00  8.83174E-07  8.03108E-05  1.18095E-04
   6.16905E+00  9.48715E-07  9.16890E-05  1.36384E-04
   6.71284E+00  1.01942E-06  1.04796E-04  1.57574E-04
   7.30458E+00  1.09570E-06  1.19906E-04  1.82136E-04
   7.94848E+00  1.17799E-06  1.37336E-04  2.10616E-04
   8.64913E+00  1.26674E-06  1.57458E-04  2.43653E-04
   9.41155E+00  1.36246E-06  1.80700E-04  2.81984E-04
   1.02412E+01  1.46566E-06  2.07562E-04  3.26471E-04
   1.11439E+01  1.57690E-06  2.38626E-04  3.78113E-04
   1.21263E+01  1.69678E-06  2.74568E-04  4.38072E-04
   1.31952E+01  1.82592E-06  3.16173E-04  5.07698E-04
   1.43583E+01  1.96499E-06  3.64353E-04  5.88559E-04
   1.56240E+01  2.11467E-06  4.20171E-04  6.82477E-04
   1.70013E+01  2.27570E-06  4.84857E-04  7.91564E-04
   1.84999E+01  2.44883E-06  5.59842E-04  9.18275E-04
   2.01307E+01  2.63487E-06  6.46785E-04  1.06545E-03
   2.19052E+01  2.83464E-06  7.47615E-04  1.23640E-03
   2.38362E+01  3.04898E-06  8.64568E-04  1.43493E-03
   2.59373E+01  3.27878E-06  1.00023E-03  1.66548E-03
   2.82237E+01  3.52492E-06  1.15760E-03  1.93315E-03
   3.07116E+01  3.78831E-06  1.34014E-03  2.24387E-03
   3.34188E+01  4.06985E-06  1.55188E-03  2.60447E-03
   3.63646E+01  4.37045E-06  1.79744E-03  3.02283E-03
   3.95702E+01  4.69099E-06  2.08218E-03  3.50805E-03
   4.30583E+01  5.03233E-06  2.41227E-03  4.07057E-03
   4.68538E+01  5.39530E-06  2.79481E-03  4.72245E-03
   5.09840E+01  5.78065E-06  3.23799E-03  5.47747E-03
   5.54782E+01  6.18907E-06  3.75120E-03  6.35148E-03
   6.03686E+01  6.62116E-06  4.34524E-03  7.36260E-03
   6.56901E+01  7.07738E-06  5.03245E-03  8.53153E-03
   7.14806E+01  7.55809E-06  5.82699E-03  9.88188E-03
   7.77816E+01  8.06344E-06  6.74501E-03  1.14405E-02
   8.46381E+01  8.59342E-06  7.80492E-03  1.32379E-02
   9.20989E+01  9.14783E-06  9.02774E-03  1.53086E-02
   1.00217E+02  9.72620E-06  1.04373E-02  1.76917E-02
   1.09051E+02  1.03278E-05  1.20608E-02  2.04311E-02
   1.18664E+02  1.09516E-05  1.39289E-02  2.35763E-02
   1.29125E+02  1.15964E-05  1.60761E-02  2.71825E-02
   1.40507E+02  1.22604E-05  1.85419E-02  3.13117E-02
   1.52892E+02  1.29420E-05  2.13708E-02  3.60324E-02
   1.66370E+02  1.36387E-05  2.46126E-02  4.14211E-02
   1.81035E+02  1.43476E-05  2.83215E-02  4.75619E-02
   1.96994E+02  1.50664E-05  3.25635E-02  5.45478E-02
   2.14358E+02  1.57942E-05  3.74207E-02  6.24803E-02
   2.33254E+02  1.65244E-05  4.29590E-02  7.14706E-02
   2.53815E+02  1.72476E-05  4.92262E-02  8.16398E-02
   2.76189E+02  1.79582E-05  5.62943E-02  9.31190E-02
   3.00535E+02  1.86631E-05  6.43434E-02  1.06050E-01
   3.27027E+02  1.93682E-05  7.35946E-02  1.20585E-01
