 # PENELOPE >>>  Positron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br       mfp_an       mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)         (cm)
 #-------------------------------------------------------------------------------------------
   4.99995E-02  2.77673E-08  2.20330E-08  1.78013E-01  7.16037E-02  1.22850E-08  1.00000E+35
   5.44069E-02  2.87107E-08  2.30162E-08  1.71308E-01  7.46925E-02  1.27750E-08  1.00000E+35
   5.92029E-02  2.97020E-08  2.41097E-08  1.65329E-01  7.79145E-02  1.33076E-08  1.00000E+35
   6.44216E-02  3.07584E-08  2.53157E-08  1.59985E-01  8.12754E-02  1.38864E-08  1.00000E+35
   7.01004E-02  3.18848E-08  2.66379E-08  1.55202E-01  8.47813E-02  1.45131E-08  1.00000E+35
   7.62797E-02  3.30822E-08  2.80811E-08  1.50916E-01  8.84383E-02  1.51886E-08  1.00000E+35
   8.30037E-02  3.43562E-08  2.96513E-08  1.47073E-01  9.22530E-02  1.59154E-08  1.00000E+35
   9.03205E-02  3.57135E-08  3.13553E-08  1.43624E-01  9.62321E-02  1.66964E-08  1.00000E+35
   9.82822E-02  3.71594E-08  3.32010E-08  1.40528E-01  1.00383E-01  1.75344E-08  1.00000E+35
   1.06946E-01  3.87004E-08  3.51970E-08  1.37748E-01  1.04712E-01  1.84328E-08  1.00000E+35
   1.16373E-01  4.03431E-08  3.73531E-08  1.35251E-01  1.09229E-01  1.93953E-08  1.00000E+35
   1.26631E-01  4.20943E-08  3.96799E-08  1.33009E-01  1.13939E-01  2.04257E-08  5.31729E-04
   1.37794E-01  4.39616E-08  4.21891E-08  1.30995E-01  1.18853E-01  2.15286E-08  1.88923E-04
   1.49940E-01  4.59526E-08  4.48936E-08  1.29187E-01  1.23979E-01  2.27084E-08  1.07453E-04
   1.63157E-01  4.80755E-08  4.78070E-08  1.27563E-01  1.29325E-01  2.39704E-08  7.30784E-05
   1.77540E-01  5.03390E-08  4.97450E-08  1.26105E-01  1.34902E-01  2.50201E-08  5.42591E-05
   1.93190E-01  5.27519E-08  5.23703E-08  1.24796E-01  1.40719E-01  2.62802E-08  4.28323E-05
   2.10219E-01  5.53242E-08  5.53473E-08  1.23622E-01  1.46787E-01  2.76679E-08  3.52510E-05
   2.28750E-01  5.80659E-08  5.86276E-08  1.22568E-01  1.53116E-01  2.91727E-08  3.00887E-05
   2.48914E-01  6.09881E-08  6.22064E-08  1.21624E-01  1.59717E-01  3.07956E-08  2.63317E-05
   2.70856E-01  6.41023E-08  6.59779E-08  1.20780E-01  1.66602E-01  3.25133E-08  2.35188E-05
   2.94732E-01  6.74208E-08  6.99457E-08  1.20026E-01  1.73784E-01  3.43300E-08  2.13743E-05
   3.20712E-01  7.09570E-08  7.43213E-08  1.19355E-01  1.81275E-01  3.63001E-08  1.97903E-05
   3.48983E-01  7.47251E-08  7.90724E-08  1.18762E-01  1.89088E-01  3.84186E-08  1.85611E-05
   3.79746E-01  7.87407E-08  8.42126E-08  1.18241E-01  1.97237E-01  4.06924E-08  1.76098E-05
   4.13220E-01  8.30204E-08  8.97641E-08  1.17787E-01  2.05737E-01  4.31303E-08  1.68864E-05
   4.49645E-01  8.75820E-08  9.57536E-08  1.17398E-01  2.14602E-01  4.57428E-08  1.63543E-05
   4.89282E-01  9.24444E-08  1.02211E-07  1.17072E-01  2.23848E-01  4.85413E-08  1.59890E-05
   5.32412E-01  9.76291E-08  1.09170E-07  1.16806E-01  2.33491E-01  5.15387E-08  1.57547E-05
   5.79343E-01  1.03159E-07  1.16666E-07  1.16599E-01  2.43548E-01  5.47487E-08  1.56279E-05
   6.30412E-01  1.09058E-07  1.24739E-07  1.16450E-01  2.54036E-01  5.81864E-08  1.56122E-05
   6.85983E-01  1.15354E-07  1.33432E-07  1.16359E-01  2.64975E-01  6.18681E-08  1.56862E-05
   7.46452E-01  1.22076E-07  1.42790E-07  1.16327E-01  2.76383E-01  6.58116E-08  1.58500E-05
   8.12252E-01  1.29256E-07  1.52865E-07  1.16353E-01  2.88279E-01  7.00362E-08  1.60937E-05
   8.83852E-01  1.36928E-07  1.63709E-07  1.16437E-01  3.00685E-01  7.45629E-08  1.64184E-05
   9.61763E-01  1.45131E-07  1.75381E-07  1.16581E-01  3.13622E-01  7.94141E-08  1.68173E-05
   1.04654E+00  1.53906E-07  1.87944E-07  1.16784E-01  3.27113E-01  8.46150E-08  1.73274E-05
   1.13879E+00  1.63299E-07  2.01465E-07  1.17060E-01  3.41180E-01  9.01928E-08  1.79005E-05
   1.23918E+00  1.73361E-07  2.16018E-07  1.17430E-01  3.55848E-01  9.61764E-08  1.84925E-05
   1.34841E+00  1.84145E-07  2.31680E-07  1.17919E-01  3.71141E-01  1.02598E-07  1.92297E-05
   1.46727E+00  1.95710E-07  2.48537E-07  1.18549E-01  3.87087E-01  1.09491E-07  2.00113E-05
   1.59661E+00  2.08122E-07  2.66678E-07  1.19345E-01  4.03712E-01  1.16895E-07  2.08807E-05
   1.73735E+00  2.21452E-07  2.86203E-07  1.20309E-01  4.21043E-01  1.24849E-07  2.18402E-05
   1.89050E+00  2.35778E-07  3.07217E-07  1.21438E-01  4.39111E-01  1.33399E-07  2.29021E-05
   2.05715E+00  2.51183E-07  3.29833E-07  1.22724E-01  4.57945E-01  1.42592E-07  2.40293E-05
   2.23849E+00  2.67761E-07  3.54172E-07  1.24168E-01  4.77577E-01  1.52482E-07  2.52542E-05
   2.43581E+00  2.85612E-07  3.80366E-07  1.25779E-01  4.98039E-01  1.63124E-07  2.65974E-05
   2.65052E+00  3.04844E-07  4.08556E-07  1.27565E-01  5.19365E-01  1.74580E-07  2.80576E-05
   2.88417E+00  3.25577E-07  4.38893E-07  1.29538E-01  5.41590E-01  1.86918E-07  2.96134E-05
   3.13840E+00  3.47939E-07  4.71539E-07  1.31708E-01  5.64749E-01  2.00209E-07  3.12924E-05
   3.41505E+00  3.72071E-07  5.06668E-07  1.34079E-01  5.88880E-01  2.14530E-07  3.31020E-05
   3.71609E+00  3.98124E-07  5.44377E-07  1.36653E-01  6.14020E-01  2.29951E-07  3.50597E-05
   4.04366E+00  4.26261E-07  5.84972E-07  1.39431E-01  6.40210E-01  2.46580E-07  3.71538E-05
   4.40011E+00  4.56660E-07  6.28661E-07  1.42418E-01  6.67490E-01  2.64515E-07  3.94216E-05
   4.78798E+00  4.89514E-07  6.75665E-07  1.45626E-01  6.95901E-01  2.83859E-07  4.18587E-05
   5.21004E+00  5.25028E-07  7.26228E-07  1.49069E-01  7.25488E-01  3.04725E-07  4.44859E-05
   5.66930E+00  5.63428E-07  7.80609E-07  1.52758E-01  7.56293E-01  3.27235E-07  4.73060E-05
   6.16905E+00  6.04953E-07  8.39091E-07  1.56699E-01  7.88363E-01  3.51519E-07  5.03201E-05
   6.71284E+00  6.49864E-07  9.01970E-07  1.60898E-01  8.21742E-01  3.77718E-07  5.35744E-05
   7.30458E+00  6.98436E-07  9.69565E-07  1.65359E-01  8.56479E-01  4.05981E-07  5.70625E-05
   7.94848E+00  7.50971E-07  1.04222E-06  1.70086E-01  8.92621E-01  4.36469E-07  6.08038E-05
   8.64913E+00  8.07790E-07  1.12028E-06  1.75086E-01  9.30217E-01  4.69354E-07  6.48342E-05
   9.41155E+00  8.69237E-07  1.20414E-06  1.80407E-01  9.69316E-01  5.04819E-07  6.91523E-05
   1.02412E+01  9.35678E-07  1.29420E-06  1.86115E-01  1.00997E+00  5.43057E-07  7.37901E-05
   1.11439E+01  1.00750E-06  1.39089E-06  1.92236E-01  1.05223E+00  5.84276E-07  7.87776E-05
   1.21263E+01  1.08513E-06  1.49467E-06  1.98693E-01  1.09614E+00  6.28694E-07  8.40941E-05
   1.31952E+01  1.16900E-06  1.60599E-06  2.05378E-01  1.14175E+00  6.76543E-07  8.98058E-05
   1.43583E+01  1.25959E-06  1.72538E-06  2.12153E-01  1.18913E+00  7.28069E-07  9.59251E-05
   1.56240E+01  1.35740E-06  1.85334E-06  2.18860E-01  1.23831E+00  7.83530E-07  1.02475E-04
   1.70013E+01  1.46294E-06  1.99043E-06  2.25546E-01  1.28934E+00  8.43195E-07  1.09488E-04
   1.84999E+01  1.57676E-06  2.13721E-06  2.32546E-01  1.34228E+00  9.07345E-07  1.16991E-04
   2.01307E+01  1.69945E-06  2.29427E-06  2.40288E-01  1.39717E+00  9.76275E-07  1.25011E-04
   2.19052E+01  1.83160E-06  2.46221E-06  2.49142E-01  1.45406E+00  1.05029E-06  1.33582E-04
   2.38362E+01  1.97384E-06  2.64167E-06  2.59022E-01  1.51299E+00  1.12971E-06  1.42730E-04
   2.59373E+01  2.12681E-06  2.83327E-06  2.69694E-01  1.57401E+00  1.21486E-06  1.52483E-04
   2.82237E+01  2.29118E-06  3.03765E-06  2.80859E-01  1.63715E+00  1.30606E-06  1.62879E-04
   3.07116E+01  2.46762E-06  3.25547E-06  2.92149E-01  1.70245E+00  1.40365E-06  1.73958E-04
   3.34188E+01  2.65682E-06  3.48735E-06  3.03352E-01  1.76995E+00  1.50797E-06  1.85728E-04
   3.63646E+01  2.85946E-06  3.73394E-06  3.14689E-01  1.83968E+00  1.61934E-06  1.98242E-04
   3.95702E+01  3.07623E-06  3.99584E-06  3.26484E-01  1.91167E+00  1.73811E-06  2.11531E-04
   4.30583E+01  3.30781E-06  4.27363E-06  3.39035E-01  1.98594E+00  1.86459E-06  2.25584E-04
   4.68538E+01  3.55483E-06  4.56786E-06  3.52035E-01  2.06251E+00  1.99907E-06  2.40471E-04
   5.09840E+01  3.81792E-06  4.87902E-06  3.64849E-01  2.14141E+00  2.14185E-06  2.56185E-04
   5.54782E+01  4.09766E-06  5.20751E-06  3.77223E-01  2.22264E+00  2.29318E-06  2.72702E-04
   6.03686E+01  4.39456E-06  5.55370E-06  3.89997E-01  2.30623E+00  2.45328E-06  2.90250E-04
   6.56901E+01  4.70905E-06  5.91780E-06  4.04029E-01  2.39219E+00  2.62232E-06  3.08502E-04
   7.14806E+01  5.04150E-06  6.29995E-06  4.19192E-01  2.48052E+00  2.80043E-06  3.27777E-04
   7.77816E+01  5.39215E-06  6.70014E-06  4.35067E-01  2.57124E+00  2.98768E-06  3.47862E-04
   8.46381E+01  5.76110E-06  7.11819E-06  4.51169E-01  2.66436E+00  3.18405E-06  3.68808E-04
