 # PENELOPE >>>  Positron stopping powers (stp).
 #
 #   Energy       stp_col      stp_rad      stp_tot
 #    (keV)     (eV cm**2/g) (eV cm**2/g) (eV cm**2/g)
 #----------------------------------------------------
   4.99995E-02  3.06333E+08  6.52892E+01  3.06333E+08
   5.44069E-02  2.96403E+08  7.08579E+01  2.96403E+08
   5.92029E-02  2.85944E+08  7.68024E+01  2.85944E+08
   6.44216E-02  2.75132E+08  8.31394E+01  2.75132E+08
   7.01004E-02  2.64113E+08  8.98862E+01  2.64113E+08
   7.62797E-02  2.53007E+08  9.70612E+01  2.53007E+08
   8.30037E-02  2.41912E+08  1.04684E+02  2.41912E+08
   9.03205E-02  2.30910E+08  1.12776E+02  2.30910E+08
   9.82822E-02  2.20066E+08  1.21359E+02  2.20066E+08
   1.06946E-01  2.09434E+08  1.30458E+02  2.09434E+08
   1.16373E-01  1.99056E+08  1.40101E+02  1.99056E+08
   1.26631E-01  1.88964E+08  1.50317E+02  1.88964E+08
   1.37794E-01  1.79185E+08  1.61138E+02  1.79185E+08
   1.49940E-01  1.69736E+08  1.72599E+02  1.69736E+08
   1.63157E-01  1.60631E+08  1.84740E+02  1.60631E+08
   1.77540E-01  1.81069E+08  1.97602E+02  1.81069E+08
   1.93190E-01  1.86135E+08  2.11230E+02  1.86136E+08
   2.10219E-01  1.86522E+08  2.25674E+02  1.86522E+08
   2.28750E-01  1.84464E+08  2.40986E+02  1.84464E+08
   2.48914E-01  1.80869E+08  2.57221E+02  1.80869E+08
   2.70856E-01  1.78839E+08  2.74439E+02  1.78839E+08
   2.94732E-01  1.78077E+08  2.92703E+02  1.78078E+08
   3.20712E-01  1.74585E+08  3.12079E+02  1.74585E+08
   3.48983E-01  1.69956E+08  3.32635E+02  1.69956E+08
   3.79746E-01  1.64637E+08  3.54445E+02  1.64637E+08
   4.13220E-01  1.58874E+08  3.77582E+02  1.58874E+08
   4.49645E-01  1.52832E+08  4.02124E+02  1.52832E+08
   4.89282E-01  1.46630E+08  4.28153E+02  1.46631E+08
   5.32412E-01  1.40359E+08  4.55750E+02  1.40359E+08
   5.79343E-01  1.34088E+08  4.85002E+02  1.34088E+08
   6.30412E-01  1.27869E+08  5.15998E+02  1.27870E+08
   6.85983E-01  1.21746E+08  5.48828E+02  1.21747E+08
   7.46452E-01  1.15751E+08  5.83587E+02  1.15751E+08
   8.12252E-01  1.09908E+08  6.20372E+02  1.09908E+08
   8.83852E-01  1.04236E+08  6.59283E+02  1.04237E+08
   9.61763E-01  9.87499E+07  7.00424E+02  9.87506E+07
   1.04654E+00  9.34591E+07  7.43900E+02  9.34599E+07
   1.13879E+00  8.83702E+07  7.89748E+02  8.83710E+07
   1.23918E+00  8.34868E+07  8.37923E+02  8.34876E+07
   1.34841E+00  7.88105E+07  8.88347E+02  7.88114E+07
   1.46727E+00  7.43410E+07  9.40904E+02  7.43419E+07
   1.59661E+00  7.00764E+07  9.95453E+02  7.00774E+07
   1.73735E+00  6.60137E+07  1.05195E+03  6.60147E+07
   1.89050E+00  6.21488E+07  1.11043E+03  6.21499E+07
   2.05715E+00  5.84768E+07  1.17092E+03  5.84780E+07
   2.23849E+00  5.49924E+07  1.23340E+03  5.49936E+07
   2.43581E+00  5.16896E+07  1.29782E+03  5.16909E+07
   2.65052E+00  4.85623E+07  1.36407E+03  4.85636E+07
   2.88417E+00  4.56039E+07  1.43205E+03  4.56053E+07
   3.13840E+00  4.28079E+07  1.50161E+03  4.28094E+07
   3.41505E+00  4.01676E+07  1.57268E+03  4.01691E+07
   3.71609E+00  3.80767E+07  1.64521E+03  3.80783E+07
   4.04366E+00  3.59640E+07  1.71915E+03  3.59657E+07
   4.40011E+00  3.38942E+07  1.79441E+03  3.38960E+07
   4.78798E+00  3.19058E+07  1.87083E+03  3.19077E+07
   5.21004E+00  3.00089E+07  1.94820E+03  3.00109E+07
   5.66930E+00  2.82061E+07  2.02637E+03  2.82082E+07
   6.16905E+00  2.64970E+07  2.10530E+03  2.64991E+07
   6.71284E+00  2.48798E+07  2.18490E+03  2.48820E+07
   7.30458E+00  2.33517E+07  2.26500E+03  2.33540E+07
   7.94848E+00  2.19096E+07  2.34541E+03  2.19120E+07
   8.64913E+00  2.05501E+07  2.42597E+03  2.05526E+07
   9.41155E+00  1.92697E+07  2.50666E+03  1.92722E+07
   1.02412E+01  1.80648E+07  2.58752E+03  1.80674E+07
