 # PENELOPE >>>  Positron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br        xs_an       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #-------------------------------------------------------------------------------------------
   4.99995E-02  5.97865E-16  7.53465E-16  9.32577E-23  2.31847E-22  1.35133E-15  1.66011E-58
   5.44069E-02  5.78220E-16  7.21277E-16  9.69076E-23  2.22259E-22  1.29950E-15  1.66011E-58
   5.92029E-02  5.58921E-16  6.88565E-16  1.00413E-22  2.13068E-22  1.24749E-15  1.66011E-58
   6.44216E-02  5.39725E-16  6.55763E-16  1.03767E-22  2.04257E-22  1.19549E-15  1.66011E-58
   7.01004E-02  5.20657E-16  6.23214E-16  1.06964E-22  1.95811E-22  1.14387E-15  1.66011E-58
   7.62797E-02  5.01814E-16  5.91183E-16  1.10002E-22  1.87714E-22  1.09300E-15  1.66011E-58
   8.30037E-02  4.83204E-16  5.59877E-16  1.12877E-22  1.79952E-22  1.04308E-15  1.66011E-58
   9.03205E-02  4.64841E-16  5.29450E-16  1.15587E-22  1.72511E-22  9.94291E-16  1.66011E-58
   9.82822E-02  4.46753E-16  5.00018E-16  1.18134E-22  1.65378E-22  9.46771E-16  1.66011E-58
   1.06946E-01  4.28964E-16  4.71662E-16  1.20518E-22  1.58540E-22  9.00626E-16  1.66011E-58
   1.16373E-01  4.11498E-16  4.44437E-16  1.22743E-22  1.51985E-22  8.55935E-16  1.66011E-58
   1.26631E-01  3.94378E-16  4.18375E-16  1.24812E-22  1.45701E-22  8.12754E-16  3.12210E-20
   1.37794E-01  3.77627E-16  3.93492E-16  1.26730E-22  1.39677E-22  7.71119E-16  8.78721E-20
   1.49940E-01  3.61265E-16  3.69788E-16  1.28504E-22  1.33902E-22  7.31053E-16  1.54496E-19
   1.63157E-01  3.45312E-16  3.47252E-16  1.30140E-22  1.28367E-22  6.92565E-16  2.27168E-19
   1.77540E-01  3.29786E-16  3.33724E-16  1.31645E-22  1.23060E-22  6.63510E-16  3.05959E-19
   1.93190E-01  3.14701E-16  3.16994E-16  1.33025E-22  1.17973E-22  6.31695E-16  3.87583E-19
   2.10219E-01  3.00069E-16  2.99944E-16  1.34289E-22  1.13097E-22  6.00013E-16  4.70939E-19
   2.28750E-01  2.85901E-16  2.83162E-16  1.35444E-22  1.08422E-22  5.69062E-16  5.51737E-19
   2.48914E-01  2.72202E-16  2.66871E-16  1.36495E-22  1.03941E-22  5.39073E-16  6.30460E-19
   2.70856E-01  2.58978E-16  2.51616E-16  1.37449E-22  9.96449E-23  5.10594E-16  7.05863E-19
   2.94732E-01  2.46231E-16  2.37343E-16  1.38312E-22  9.55270E-23  4.83574E-16  7.76684E-19
   3.20712E-01  2.33960E-16  2.23369E-16  1.39089E-22  9.15795E-23  4.57329E-16  8.38848E-19
   3.48983E-01  2.22162E-16  2.09948E-16  1.39784E-22  8.77954E-23  4.32110E-16  8.94402E-19
   3.79746E-01  2.10832E-16  1.97133E-16  1.40401E-22  8.41680E-23  4.07966E-16  9.42718E-19
   4.13220E-01  1.99964E-16  1.84941E-16  1.40941E-22  8.06908E-23  3.84905E-16  9.83104E-19
   4.49645E-01  1.89549E-16  1.73373E-16  1.41408E-22  7.73576E-23  3.62922E-16  1.01509E-18
   4.89282E-01  1.79579E-16  1.62420E-16  1.41803E-22  7.41624E-23  3.41999E-16  1.03828E-18
   5.32412E-01  1.70042E-16  1.52067E-16  1.42126E-22  7.10996E-23  3.22109E-16  1.05372E-18
   5.79343E-01  1.60927E-16  1.42296E-16  1.42378E-22  6.81636E-23  3.03223E-16  1.06227E-18
