"Depth (m)"	"5 keV/R"	"1 uR"	"1 mR"	"10 mR"	"20 mR"	"30 mR"	"40 mR"	"50 mR"	"75 mR"	"100 mR"
0.00E+00	2.20E+14	2.20E+08	2.20E+11	2.20E+12	4.40E+12	6.59E+12	8.79E+12	1.10E+13	16485900000000	2.20E+13
4.00E-07	2.15E+14	2.15E+08	2.15E+11	2.15E+12	4.30E+12	6.45E+12	8.59E+12	1.07E+13	16113750000000	2.15E+13
8.00E-07	2.10E+14	2.10E+08	2.10E+11	2.10E+12	4.20E+12	6.30E+12	8.40E+12	1.05E+13	15749925000000	2.10E+13
1.20E-06	2.05E+14	2.05E+08	2.05E+11	2.05E+12	4.11E+12	6.16E+12	8.21E+12	1.03E+13	15394350000000	2.05E+13
1.60E-06	2.01E+14	2.01E+08	2.01E+11	2.01E+12	4.01E+12	6.02E+12	8.02E+12	1.00E+13	15046800000000	2.01E+13
2.00E-06	1.96E+14	1.96E+08	1.96E+11	1.96E+12	3.92E+12	5.88E+12	7.84E+12	9.80E+12	14707050000000	1.96E+13
2.40E-06	1.92E+14	1.92E+08	1.92E+11	1.92E+12	3.83E+12	5.75E+12	7.67E+12	9.58E+12	14375025000000	1.92E+13
2.80E-06	1.87E+14	1.87E+08	1.87E+11	1.87E+12	3.75E+12	5.62E+12	7.49E+12	9.37E+12	14050500000000	1.87E+13
3.20E-06	1.83E+14	1.83E+08	1.83E+11	1.83E+12	3.66E+12	5.49E+12	7.32E+12	9.16E+12	13733250000000	1.83E+13
3.60E-06	1.79E+14	1.79E+08	1.79E+11	1.79E+12	3.58E+12	5.37E+12	7.16E+12	8.95E+12	13423200000000	1.79E+13
4.00E-06	1.75E+14	1.75E+08	1.75E+11	1.75E+12	3.50E+12	5.25E+12	7.00E+12	8.75E+12	13120200000000	1.75E+13
4.40E-06	1.71E+14	1.71E+08	1.71E+11	1.71E+12	3.42E+12	5.13E+12	6.84E+12	8.55E+12	12823950000000	1.71E+13
4.80E-06	1.67E+14	1.67E+08	1.67E+11	1.67E+12	3.34E+12	5.01E+12	6.69E+12	8.36E+12	12534450000000	1.67E+13
5.20E-06	1.63E+14	1.63E+08	1.63E+11	1.63E+12	3.27E+12	4.90E+12	6.53E+12	8.17E+12	12251475000000	1.63E+13
5.60E-06	1.60E+14	1.60E+08	1.60E+11	1.60E+12	3.19E+12	4.79E+12	6.39E+12	7.98E+12	11974875000000	1.60E+13
6.00E-06	1.56E+14	1.56E+08	1.56E+11	1.56E+12	3.12E+12	4.68E+12	6.24E+12	7.80E+12	11704500000000	1.56E+13
6.40E-06	1.53E+14	1.53E+08	1.53E+11	1.53E+12	3.05E+12	4.58E+12	6.10E+12	7.63E+12	11440200000000	1.53E+13
6.80E-06	1.49E+14	1.49E+08	1.49E+11	1.49E+12	2.98E+12	4.47E+12	5.96E+12	7.45E+12	11181975000000	1.49E+13
7.20E-06	1.46E+14	1.46E+08	1.46E+11	1.46E+12	2.91E+12	4.37E+12	5.83E+12	7.29E+12	10929525000000	1.46E+13
7.60E-06	1.42E+14	1.42E+08	1.42E+11	1.42E+12	2.85E+12	4.27E+12	5.70E+12	7.12E+12	10682775000000	1.42E+13
8.00E-06	1.39E+14	1.39E+08	1.39E+11	1.39E+12	2.78E+12	4.18E+12	5.57E+12	6.96E+12	10441575000000	1.39E+13
8.40E-06	1.36E+14	1.36E+08	1.36E+11	1.36E+12	2.72E+12	4.08E+12	5.44E+12	6.80E+12	10205850000000	1.36E+13
8.80E-06	1.33E+14	1.33E+08	1.33E+11	1.33E+12	2.66E+12	3.99E+12	5.32E+12	6.65E+12	9975375000000	1.33E+13
9.20E-06	1.30E+14	1.30E+08	1.30E+11	1.30E+12	2.60E+12	3.90E+12	5.20E+12	6.50E+12	9750225000000	1.30E+13
9.60E-06	1.27E+14	1.27E+08	1.27E+11	1.27E+12	2.54E+12	3.81E+12	5.08E+12	6.35E+12	9530025000000	1.27E+13
1.00E-05	1.24E+14	1.24E+08	1.24E+11	1.24E+12	2.48E+12	3.73E+12	4.97E+12	6.21E+12	9314925000000	1.24E+13
1.04E-05	1.21E+14	1.21E+08	1.21E+11	1.21E+12	2.43E+12	3.64E+12	4.86E+12	6.07E+12	9104625000000	1.21E+13
1.08E-05	1.19E+14	1.19E+08	1.19E+11	1.19E+12	2.37E+12	3.56E+12	4.75E+12	5.93E+12	8899050000000	1.19E+13
1.12E-05	1.16E+14	1.16E+08	1.16E+11	1.16E+12	2.32E+12	3.48E+12	4.64E+12	5.80E+12	8698125000000	1.16E+13
1.16E-05	1.13E+14	1.13E+08	1.13E+11	1.13E+12	2.27E+12	3.40E+12	4.53E+12	5.67E+12	8501775000000	1.13E+13
1.20E-05	1.11E+14	1.11E+08	1.11E+11	1.11E+12	2.22E+12	3.32E+12	4.43E+12	5.54E+12	8309850000000	1.11E+13
1.24E-05	1.08E+14	1.08E+08	1.08E+11	1.08E+12	2.17E+12	3.25E+12	4.33E+12	5.41E+12	8122200000000	1.08E+13
1.28E-05	1.06E+14	1.06E+08	1.06E+11	1.06E+12	2.12E+12	3.18E+12	4.23E+12	5.29E+12	7938825000000	1.06E+13
1.32E-05	1.03E+14	1.03E+08	1.03E+11	1.03E+12	2.07E+12	3.10E+12	4.14E+12	5.17E+12	7759575000000	1.03E+13
1.36E-05	1.01E+14	1.01E+08	1.01E+11	1.01E+12	2.02E+12	3.03E+12	4.05E+12	5.06E+12	7584375000000	1.01E+13
1.40E-05	9.88E+13	9.88E+07	9.88E+10	9.88E+11	1.98E+12	2.97E+12	3.95E+12	4.94E+12	7413172500000	9.88E+12
1.44E-05	9.66E+13	9.66E+07	9.66E+10	9.66E+11	1.93E+12	2.90E+12	3.86E+12	4.83E+12	7245810000000	9.66E+12
1.48E-05	9.44E+13	9.44E+07	9.44E+10	9.44E+11	1.89E+12	2.83E+12	3.78E+12	4.72E+12	7082220000000	9.44E+12
1.52E-05	9.23E+13	9.23E+07	9.23E+10	9.23E+11	1.85E+12	2.77E+12	3.69E+12	4.61E+12	6922327500000	9.23E+12
1.56E-05	9.02E+13	9.02E+07	9.02E+10	9.02E+11	1.80E+12	2.71E+12	3.61E+12	4.51E+12	6766042500000	9.02E+12
1.60E-05	8.82E+13	8.82E+07	8.82E+10	8.82E+11	1.76E+12	2.65E+12	3.53E+12	4.41E+12	6613282500000	8.82E+12
1.64E-05	8.62E+13	8.62E+07	8.62E+10	8.62E+11	1.72E+12	2.59E+12	3.45E+12	4.31E+12	6463972500000	8.62E+12
1.68E-05	8.42E+13	8.42E+07	8.42E+10	8.42E+11	1.68E+12	2.53E+12	3.37E+12	4.21E+12	6318037500000	8.42E+12
1.72E-05	8.23E+13	8.23E+07	8.23E+10	8.23E+11	1.65E+12	2.47E+12	3.29E+12	4.12E+12	6175395000000	8.23E+12
1.76E-05	8.05E+13	8.05E+07	8.05E+10	8.05E+11	1.61E+12	2.41E+12	3.22E+12	4.02E+12	6035977500000	8.05E+12
1.80E-05	7.87E+13	7.87E+07	7.87E+10	7.87E+11	1.57E+12	2.36E+12	3.15E+12	3.93E+12	5899702500000	7.87E+12
1.84E-05	7.69E+13	7.69E+07	7.69E+10	7.69E+11	1.54E+12	2.31E+12	3.08E+12	3.84E+12	5766502500000	7.69E+12
1.88E-05	7.52E+13	7.52E+07	7.52E+10	7.52E+11	1.50E+12	2.25E+12	3.01E+12	3.76E+12	5636317500000	7.52E+12
1.92E-05	7.35E+13	7.35E+07	7.35E+10	7.35E+11	1.47E+12	2.20E+12	2.94E+12	3.67E+12	5509065000000	7.35E+12
1.96E-05	7.18E+13	7.18E+07	7.18E+10	7.18E+11	1.44E+12	2.15E+12	2.87E+12	3.59E+12	5384685000000	7.18E+12
2.00E-05	7.02E+13	7.02E+07	7.02E+10	7.02E+11	1.40E+12	2.11E+12	2.81E+12	3.51E+12	5263117500000	7.02E+12
2.04E-05	6.86E+13	6.86E+07	6.86E+10	6.86E+11	1.37E+12	2.06E+12	2.74E+12	3.43E+12	5144295000000	6.86E+12
2.08E-05	6.70E+13	6.70E+07	6.70E+10	6.70E+11	1.34E+12	2.01E+12	2.68E+12	3.35E+12	5028150000000	6.70E+12
2.12E-05	6.55E+13	6.55E+07	6.55E+10	6.55E+11	1.31E+12	1.97E+12	2.62E+12	3.28E+12	4914630000000	6.55E+12
2.16E-05	6.40E+13	6.40E+07	6.40E+10	6.40E+11	1.28E+12	1.92E+12	2.56E+12	3.20E+12	4803675000000	6.40E+12
2.20E-05	6.26E+13	6.26E+07	6.26E+10	6.26E+11	1.25E+12	1.88E+12	2.50E+12	3.13E+12	4695217500000	6.26E+12
2.24E-05	6.12E+13	6.12E+07	6.12E+10	6.12E+11	1.22E+12	1.84E+12	2.45E+12	3.06E+12	4589220000000	6.12E+12
2.28E-05	5.98E+13	5.98E+07	5.98E+10	5.98E+11	1.20E+12	1.79E+12	2.39E+12	2.99E+12	4485607500000	5.98E+12
2.32E-05	5.85E+13	5.85E+07	5.85E+10	5.85E+11	1.17E+12	1.75E+12	2.34E+12	2.92E+12	4384335000000	5.85E+12
2.36E-05	5.71E+13	5.71E+07	5.71E+10	5.71E+11	1.14E+12	1.71E+12	2.29E+12	2.86E+12	4285350000000	5.71E+12
2.40E-05	5.58E+13	5.58E+07	5.58E+10	5.58E+11	1.12E+12	1.68E+12	2.23E+12	2.79E+12	4188600000000	5.58E+12
2.44E-05	5.46E+13	5.46E+07	5.46E+10	5.46E+11	1.09E+12	1.64E+12	2.18E+12	2.73E+12	4094032500000	5.46E+12
2.48E-05	5.34E+13	5.34E+07	5.34E+10	5.34E+11	1.07E+12	1.60E+12	2.13E+12	2.67E+12	4001602500000	5.34E+12
2.52E-05	5.22E+13	5.22E+07	5.22E+10	5.22E+11	1.04E+12	1.56E+12	2.09E+12	2.61E+12	3911257500000	5.22E+12
2.56E-05	5.10E+13	5.10E+07	5.10E+10	5.10E+11	1.02E+12	1.53E+12	2.04E+12	2.55E+12	3822960000000	5.10E+12
2.60E-05	4.98E+13	4.98E+07	4.98E+10	4.98E+11	9.96E+11	1.49E+12	1.99E+12	2.49E+12	3736642500000	4.98E+12
2.64E-05	4.87E+13	4.87E+07	4.87E+10	4.87E+11	9.74E+11	1.46E+12	1.95E+12	2.43E+12	3652282500000	4.87E+12
