"Storage 040622 PM - RawData - C:\Documents and Settings\photometer\Desktop\File 090429 040622 PM.spc"
"Wavelength nm.","T%"
200.00,0.002
200.50,0.000
201.00,0.000
201.50,0.000
202.00,0.000
202.50,0.000
203.00,0.002
203.50,0.000
204.00,0.000
204.50,0.000
205.00,0.000
205.50,0.000
206.00,0.000
206.50,0.002
207.00,0.002
207.50,0.000
208.00,0.000
208.50,0.000
209.00,0.000
209.50,0.000
210.00,0.000
210.50,0.000
211.00,0.000
211.50,0.000
212.00,0.000
212.50,0.000
213.00,0.000
213.50,0.000
214.00,0.000
214.50,0.000
215.00,0.000
215.50,0.000
216.00,0.002
216.50,0.000
217.00,0.000
217.50,0.000
218.00,0.000
218.50,0.000
219.00,0.000
219.50,0.002
220.00,0.002
220.50,0.002
221.00,0.000
221.50,0.000
222.00,0.000
222.50,0.000
223.00,0.000
223.50,0.000
224.00,0.002
224.50,0.000
225.00,0.000
225.50,0.000
226.00,0.000
226.50,0.002
227.00,0.002
227.50,0.000
228.00,0.000
228.50,0.000
229.00,0.000
229.50,0.000
230.00,0.002
230.50,0.002
231.00,0.002
231.50,0.002
232.00,0.002
232.50,0.002
233.00,0.002
233.50,0.002
234.00,0.002
234.50,0.002
235.00,0.002
235.50,0.002
236.00,0.002
236.50,0.002
237.00,0.003
237.50,0.003
238.00,0.003
238.50,0.003
239.00,0.003
239.50,0.003
240.00,0.003
240.50,0.005
241.00,0.006
241.50,0.008
242.00,0.012
242.50,0.017
243.00,0.021
243.50,0.029
244.00,0.040
244.50,0.055
245.00,0.075
245.50,0.102
246.00,0.139
246.50,0.183
247.00,0.241
247.50,0.311
248.00,0.400
248.50,0.513
249.00,0.644
249.50,0.798
250.00,0.974
250.50,1.180
251.00,1.422
251.50,1.714
252.00,2.045
252.50,2.406
253.00,2.814
253.50,3.267
254.00,3.795
254.50,4.381
255.00,5.013
255.50,5.702
256.00,6.465
256.50,7.298
257.00,8.183
257.50,9.178
258.00,10.185
258.50,11.214
259.00,12.305
259.50,13.425
260.00,14.565
260.50,15.726
261.00,16.899
261.50,18.091
262.00,19.283
262.50,20.451
263.00,21.646
263.50,22.845
264.00,23.994
264.50,25.095
265.00,26.186
265.50,27.205
266.00,28.235
266.50,29.269
267.00,30.234
267.50,31.139
268.00,32.033
268.50,32.944
269.00,33.826
269.50,34.676
270.00,35.518
270.50,36.380
271.00,37.292
271.50,38.206
272.00,39.070
272.50,39.926
273.00,40.804
273.50,41.779
274.00,42.766
274.50,43.678
275.00,44.603
275.50,45.580
276.00,46.591
276.50,47.639
277.00,48.648
277.50,49.635
278.00,50.623
278.50,51.643
279.00,52.731
279.50,53.726
280.00,54.640
280.50,55.537
281.00,56.464
281.50,57.341
282.00,58.180
282.50,58.937
283.00,59.619
283.50,60.321
284.00,60.927
284.50,61.409
285.00,61.858
285.50,62.303
286.00,62.645
286.50,62.939
287.00,63.275
287.50,63.568
288.00,63.754
288.50,63.948
289.00,64.180
289.50,64.394
290.00,64.580
290.50,64.763
291.00,64.963
291.50,65.201
292.00,65.424
292.50,65.614
293.00,65.823
293.50,66.075
294.00,66.379
294.50,66.708
295.00,67.039
295.50,67.441
296.00,67.908
296.50,68.272
297.00,68.607
297.50,69.080
298.00,69.553
298.50,69.994
299.00,70.450
299.50,70.906
300.00,71.437
300.50,71.997
301.00,72.534
301.50,73.151
302.00,73.700
302.50,74.184
303.00,74.770
303.50,75.293
304.00,75.772
304.50,76.294
305.00,76.758
305.50,77.176
306.00,77.740
306.50,78.262
307.00,78.638
307.50,79.005
308.00,79.337
308.50,79.700
309.00,80.006
309.50,80.347
310.00,80.621
310.50,80.705
311.00,80.891
311.50,81.059
312.00,81.105
312.50,81.200
313.00,81.245
313.50,81.236
314.00,81.253
314.50,81.250
315.00,81.224
315.50,81.218
316.00,81.181
316.50,81.097
317.00,81.090
317.50,81.017
318.00,80.864
318.50,80.801
319.00,80.739
319.50,80.661
320.00,80.534
320.50,80.423
321.00,80.516
321.50,80.553
322.00,80.524
322.50,80.568
323.00,80.615
323.50,80.658
324.00,80.682
324.50,80.710
325.00,80.800
325.50,80.954
326.00,81.142
326.50,81.416
327.00,81.654
327.50,81.847
328.00,82.043
328.50,82.251
329.00,82.530
329.50,82.750
330.00,83.037
330.50,83.350
331.00,83.615
331.50,83.971
332.00,84.320
332.50,84.630
333.00,84.917
333.50,85.216
334.00,85.577
334.50,85.902
335.00,86.198
335.50,86.427
336.00,86.700
336.50,87.057
337.00,87.291
337.50,87.573
338.00,87.859
338.50,88.132
339.00,88.306
339.50,88.461
340.00,88.687
340.50,88.817
341.00,88.963
341.50,89.090
342.00,89.156
342.50,89.236
343.00,89.328
343.50,89.384
344.00,89.388
344.50,89.500
345.00,89.633
345.50,89.636
346.00,89.595
346.50,89.502
347.00,89.360
347.50,89.282
348.00,89.311
348.50,89.230
349.00,89.084
349.50,88.980
350.00,88.898
350.50,88.789
351.00,88.628
351.50,88.466
352.00,88.313
352.50,88.165
353.00,88.019
353.50,87.900
354.00,87.746
354.50,87.556
355.00,87.369
355.50,87.186
