"061837 PM - RawData-003 - C:\Users\Ian\06132008\blocking-sampl-area-2_061426 PM.spc"
"Wavelength nm.","T%"
200.00,0.000
200.50,0.000
201.00,0.000
201.50,0.000
202.00,0.000
202.50,0.000
203.00,0.000
203.50,0.000
204.00,0.000
204.50,0.000
205.00,0.000
205.50,0.000
206.00,0.000
206.50,0.000
207.00,0.000
207.50,0.000
208.00,0.000
208.50,0.000
209.00,0.000
209.50,0.000
210.00,0.002
210.50,0.002
211.00,0.000
211.50,0.000
212.00,0.000
212.50,0.000
213.00,0.000
213.50,0.000
214.00,0.002
214.50,0.002
215.00,0.002
215.50,0.000
216.00,0.000
216.50,0.000
217.00,0.000
217.50,0.002
218.00,0.000
218.50,0.000
219.00,0.002
219.50,0.002
220.00,0.000
220.50,0.000
221.00,0.000
221.50,0.002
222.00,0.000
222.50,0.000
223.00,0.002
223.50,0.000
224.00,0.000
224.50,0.002
225.00,0.002
225.50,0.002
226.00,0.000
226.50,0.000
227.00,0.002
227.50,0.002
228.00,0.002
228.50,0.002
229.00,0.003
229.50,0.003
230.00,0.002
230.50,0.003
231.00,0.003
231.50,0.002
232.00,0.002
232.50,0.002
233.00,0.003
233.50,0.005
234.00,0.005
234.50,0.005
235.00,0.005
235.50,0.003
236.00,0.003
236.50,0.005
237.00,0.005
237.50,0.005
238.00,0.005
238.50,0.005
239.00,0.005
239.50,0.005
240.00,0.005
240.50,0.005
241.00,0.005
241.50,0.006
242.00,0.006
242.50,0.006
243.00,0.009
243.50,0.011
244.00,0.012
244.50,0.014
245.00,0.017
245.50,0.023
246.00,0.029
246.50,0.040
247.00,0.055
247.50,0.072
248.00,0.096
248.50,0.130
249.00,0.168
249.50,0.215
250.00,0.275
250.50,0.343
251.00,0.432
251.50,0.546
252.00,0.679
252.50,0.829
253.00,0.999
253.50,1.195
254.00,1.428
254.50,1.700
255.00,1.990
255.50,2.306
256.00,2.670
256.50,3.067
257.00,3.496
257.50,3.990
258.00,4.510
258.50,5.051
259.00,5.608
259.50,6.187
260.00,6.802
260.50,7.452
261.00,8.133
261.50,8.832
262.00,9.526
262.50,10.240
263.00,11.015
263.50,11.835
264.00,12.665
264.50,13.501
265.00,14.328
265.50,15.141
266.00,15.994
266.50,16.830
267.00,17.647
267.50,18.483
268.00,19.333
268.50,20.189
269.00,21.046
269.50,21.904
270.00,22.760
270.50,23.616
271.00,24.506
271.50,25.417
272.00,26.295
272.50,27.144
273.00,27.971
273.50,28.854
274.00,29.781
274.50,30.621
275.00,31.422
275.50,32.265
276.00,33.150
276.50,34.045
277.00,34.854
277.50,35.677
278.00,36.563
278.50,37.413
279.00,38.272
279.50,39.133
280.00,39.952
280.50,40.782
281.00,41.615
281.50,42.435
282.00,43.282
282.50,44.093
283.00,44.838
283.50,45.644
284.00,46.471
284.50,47.235
285.00,47.987
285.50,48.698
286.00,49.396
286.50,50.101
287.00,50.780
287.50,51.443
288.00,52.130
288.50,52.826
289.00,53.461
289.50,54.051
290.00,54.680
290.50,55.334
291.00,55.937
291.50,56.509
292.00,57.088
292.50,57.623
293.00,58.148
293.50,58.743
294.00,59.322
294.50,59.854
295.00,60.379
295.50,60.919
296.00,61.382
296.50,61.784
297.00,62.308
297.50,62.827
298.00,63.248
298.50,63.664
299.00,64.078
299.50,64.461
300.00,64.885
300.50,65.340
301.00,65.707
301.50,66.103
302.00,66.531
302.50,66.884
303.00,67.235
303.50,67.603
304.00,67.961
304.50,68.303
305.00,68.616
305.50,68.904
306.00,69.231
306.50,69.531
307.00,69.829
307.50,70.120
308.00,70.396
308.50,70.718
309.00,70.964
309.50,71.225
310.00,71.523
310.50,71.710
311.00,71.896
311.50,72.195
312.00,72.472
312.50,72.704
313.00,72.952
313.50,73.157
314.00,73.329
314.50,73.471
315.00,73.642
315.50,73.943
316.00,74.135
316.50,74.283
317.00,74.503
317.50,74.643
318.00,74.860
318.50,75.125
319.00,75.230
319.50,75.340
320.00,75.497
320.50,75.598
