"Storage 122532 PM - RawData - C:\Users\Kyung\Sep072011\File 110907 122532 PM.spc"
"Wavelength nm.","T%"
250.00,2.01874
250.50,2.16064
251.00,2.28577
251.50,2.44751
252.00,2.64587
252.50,2.80151
253.00,2.89612
253.50,3.04565
254.00,3.21350
254.50,3.42865
255.00,3.54156
255.50,3.66821
256.00,3.82080
256.50,4.02679
257.00,4.15192
257.50,4.33502
258.00,4.54865
258.50,4.61731
259.00,4.83704
259.50,5.01099
260.00,5.22614
260.50,5.34515
261.00,5.41534
261.50,5.66101
262.00,5.85327
262.50,5.95398
263.00,6.04401
263.50,6.25000
264.00,6.42395
264.50,6.54297
265.00,6.73828
265.50,6.92902
266.00,7.10144
266.50,7.23724
267.00,7.42950
267.50,7.61871
268.00,7.71484
268.50,7.91931
269.00,8.25043
269.50,8.43506
270.00,8.50677
270.50,8.75854
271.00,9.02557
271.50,9.17969
272.00,9.32007
272.50,9.60388
273.00,9.85718
273.50,10.10437
274.00,10.41718
274.50,10.61401
275.00,10.88104
275.50,11.16638
276.00,11.48682
276.50,11.84998
277.00,12.10938
277.50,12.52747
278.00,12.74261
278.50,13.16223
279.00,13.56812
279.50,13.99231
280.00,14.25781
280.50,14.73389
281.00,15.08484
281.50,15.71503
282.00,16.23535
282.50,16.69769
283.00,17.07458
283.50,17.64374
284.00,18.04657
284.50,18.67523
285.00,19.25507
285.50,19.56940
286.00,20.28656
286.50,20.72906
287.00,21.47675
287.50,21.96198
288.00,22.76611
288.50,23.22388
289.00,23.75793
289.50,24.37134
290.00,25.09308
290.50,25.51880
291.00,26.22223
291.50,26.88141
292.00,27.52686
292.50,28.19977
293.00,28.80707
293.50,29.58984
294.00,30.24445
294.50,31.03943
295.00,31.49414
295.50,32.19910
296.00,32.95441
296.50,33.33740
297.00,34.12933
297.50,34.56421
298.00,35.54230
298.50,36.00769
299.00,36.79504
299.50,37.17499
300.00,38.07678
300.50,38.42468
301.00,38.74359
301.50,39.79187
302.00,39.87732
302.50,40.55023
303.00,41.30096
303.50,41.35590
304.00,42.17224
304.50,42.74292
305.00,43.23730
305.50,43.81256
306.00,44.22455
306.50,44.64417
307.00,45.30945
307.50,45.33539
308.00,45.71991
308.50,46.49048
309.00,46.80939
309.50,47.08405
310.00,47.64862
310.50,47.97058
311.00,48.48328
311.50,48.50769
312.00,49.23401
312.50,49.83368
313.00,50.42419
313.50,50.84839
314.00,50.68665
314.50,50.95673
315.00,51.47552
315.50,51.38092
316.00,51.74408
316.50,51.62964
317.00,52.29034
317.50,52.68097
318.00,53.13416
318.50,53.37524
319.00,53.88489
319.50,54.01459
320.00,54.30450
320.50,54.29230
321.00,54.89044
321.50,54.92554
322.00,55.07660
322.50,55.62744
323.00,55.86395
323.50,56.15387
324.00,56.72455
324.50,56.55823
325.00,57.28455
325.50,57.17163
326.00,57.50732
326.50,57.48901
327.00,58.03223
327.50,58.00934
328.00,58.47015
328.50,58.29468
329.00,59.34448
329.50,59.40094
330.00,59.47113
330.50,59.62830
331.00,60.66284
331.50,60.39734
332.00,61.48834
332.50,61.10992
333.00,60.63080
333.50,61.17401
334.00,61.77216
334.50,62.03918
335.00,62.35199
335.50,62.62360
336.00,63.29346
336.50,63.39417
337.00,63.07831
337.50,63.66272
338.00,64.19220
338.50,64.62097
339.00,64.91394
339.50,64.57672
340.00,64.49280
340.50,65.49072
341.00,66.05835
341.50,66.01105
342.00,66.66260
342.50,66.94946
343.00,66.76331
343.50,67.51404
344.00,68.02216
