"Storage 015048 PM - RawData - C:\Program Files\SHIMADZU\UVProbe\Data\File 090828 015048 PM.spc"
"Wavelength nm.","T%"
200.00,-0.002
200.50,-0.002
201.00,0.000
201.50,0.000
202.00,0.000
202.50,0.000
203.00,0.000
203.50,0.000
204.00,0.000
204.50,-0.002
205.00,-0.002
205.50,0.000
206.00,0.000
206.50,0.000
207.00,0.000
207.50,0.000
208.00,0.000
208.50,0.000
209.00,0.000
209.50,0.000
210.00,0.000
210.50,-0.002
211.00,-0.002
211.50,-0.002
212.00,-0.002
212.50,-0.002
213.00,-0.002
213.50,-0.002
214.00,-0.002
214.50,-0.002
215.00,0.000
215.50,0.000
216.00,0.000
216.50,0.000
217.00,0.000
217.50,0.000
218.00,0.000
218.50,0.000
219.00,0.000
219.50,0.000
220.00,0.000
220.50,0.000
221.00,0.000
221.50,0.000
222.00,0.002
222.50,0.002
223.00,0.002
223.50,0.002
224.00,0.003
224.50,0.005
225.00,0.006
225.50,0.008
226.00,0.009
226.50,0.011
227.00,0.012
227.50,0.017
228.00,0.020
228.50,0.021
229.00,0.026
229.50,0.031
230.00,0.035
230.50,0.038
231.00,0.041
231.50,0.050
232.00,0.058
232.50,0.063
233.00,0.070
233.50,0.078
234.00,0.090
234.50,0.104
235.00,0.113
235.50,0.128
236.00,0.143
236.50,0.156
237.00,0.174
237.50,0.192
238.00,0.212
238.50,0.235
239.00,0.261
239.50,0.287
240.00,0.317
240.50,0.352
241.00,0.388
241.50,0.426
242.00,0.470
242.50,0.516
243.00,0.563
243.50,0.620
244.00,0.681
244.50,0.742
245.00,0.812
245.50,0.882
246.00,0.960
246.50,1.045
247.00,1.134
247.50,1.230
248.00,1.326
248.50,1.434
249.00,1.546
249.50,1.657
250.00,1.775
250.50,1.897
251.00,2.019
251.50,2.156
252.00,2.298
252.50,2.434
253.00,2.580
253.50,2.727
254.00,2.879
254.50,3.041
255.00,3.200
255.50,3.362
256.00,3.528
256.50,3.696
257.00,3.868
257.50,4.053
258.00,4.236
258.50,4.425
259.00,4.614
259.50,4.805
260.00,4.991
260.50,5.182
261.00,5.377
261.50,5.562
262.00,5.748
262.50,5.930
263.00,6.126
263.50,6.335
264.00,6.543
264.50,6.750
265.00,6.950
265.50,7.153
266.00,7.361
266.50,7.555
267.00,7.750
267.50,7.961
268.00,8.171
268.50,8.380
269.00,8.586
269.50,8.800
270.00,9.009
270.50,9.216
271.00,9.445
271.50,9.674
272.00,9.892
272.50,10.123
273.00,10.355
273.50,10.603
274.00,10.864
274.50,11.101
275.00,11.337
275.50,11.592
276.00,11.879
276.50,12.175
277.00,12.453
277.50,12.735
278.00,13.028
278.50,13.326
279.00,13.644
279.50,13.989
280.00,14.320
280.50,14.650
281.00,14.983
281.50,15.335
282.00,15.721
282.50,16.110
283.00,16.490
283.50,16.896
284.00,17.316
284.50,17.706
285.00,18.112
285.50,18.513
286.00,18.925
286.50,19.388
287.00,19.836
287.50,20.271
288.00,20.732
288.50,21.214
289.00,21.710
289.50,22.200
290.00,22.699
290.50,23.201
291.00,23.723
291.50,24.246
292.00,24.773
292.50,25.308
293.00,25.822
293.50,26.366
294.00,26.918
294.50,27.502
295.00,28.094
295.50,28.696
296.00,29.353
296.50,29.982
297.00,30.586
297.50,31.206
298.00,31.828
298.50,32.503
299.00,33.142
299.50,33.728
300.00,34.366
300.50,35.031
301.00,35.695
301.50,36.386
302.00,37.061
302.50,37.709
303.00,38.385
303.50,39.131
304.00,39.885
304.50,40.565
305.00,41.246
305.50,41.960
306.00,42.668
306.50,43.346
307.00,44.025
307.50,44.774
308.00,45.508
308.50,46.216
309.00,46.970
309.50,47.687
310.00,48.405
310.50,49.120
311.00,49.860
311.50,50.636
312.00,51.353
312.50,52.039
313.00,52.835
313.50,53.647
314.00,54.301
314.50,54.936
315.00,55.594
315.50,56.323
316.00,56.998
316.50,57.607
317.00,58.298
317.50,59.018
318.00,59.712
318.50,60.330
319.00,60.928
319.50,61.557
320.00,62.158
320.50,62.761
321.00,63.380
321.50,63.945
322.00,64.513
322.50,65.039
323.00,65.607
323.50,66.145
324.00,66.624
324.50,67.178
325.00,67.667
325.50,68.138
326.00,68.570
326.50,68.983
327.00,69.374
327.50,69.707
328.00,70.142
328.50,70.522
329.00,70.836
329.50,71.239
330.00,71.581
330.50,71.878
331.00,72.200
331.50,72.516
332.00,72.842
332.50,73.151
333.00,73.358
333.50,73.494
334.00,73.767
334.50,74.081
335.00,74.294
335.50,74.493
336.00,74.722
336.50,74.858
337.00,75.009
337.50,75.269
338.00,75.406
338.50,75.536
339.00,75.597
339.50,75.636
340.00,75.801
340.50,76.004
341.00,76.178
341.50,76.208
342.00,76.283
342.50,76.404
343.00,76.529
343.50,76.665
344.00,76.752
344.50,76.894
345.00,76.955
345.50,76.970
346.00,76.962
346.50,76.970
347.00,77.084
347.50,77.138
348.00,77.147
348.50,77.188
349.00,77.281
349.50,77.364
350.00,77.417
350.50,77.505
351.00,77.605
351.50,77.608
352.00,77.679
352.50,77.786
353.00,77.776
353.50,77.708
354.00,77.696
354.50,77.792
355.00,77.887
355.50,77.908
356.00,77.933
356.50,77.930
357.00,77.942
357.50,77.969
358.00,77.939
358.50,77.986
359.00,77.956
359.50,78.004
360.00,78.035
360.50,78.000
361.00,78.134
361.50,78.159
362.00,78.116
362.50,78.094
363.00,78.087
363.50,78.127
364.00,78.113
364.50,78.134
365.00,78.242
365.50,78.326
366.00,78.386
366.50,78.465
367.00,78.511
367.50,78.517
368.00,78.555
368.50,78.560
369.00,78.575
369.50,78.596
370.00,78.574
370.50,78.633
371.00,78.670
371.50,78.709
372.00,78.778
372.50,78.831
373.00,78.922
373.50,78.967
374.00,78.992
374.50,79.045
375.00,79.102
375.50,79.086
376.00,79.076
376.50,79.146
377.00,79.208
377.50,79.253
378.00,79.308
378.50,79.411
379.00,79.465
379.50,79.488
380.00,79.567
380.50,79.637
381.00,79.694
381.50,79.764
382.00,79.849
382.50,79.962
383.00,80.029
383.50,80.051
384.00,80.119
384.50,80.156
385.00,80.219
385.50,80.324
386.00,80.363
386.50,80.424
387.00,80.531
387.50,80.637
388.00,80.763
388.50,80.826
389.00,80.901
389.50,81.012
390.00,81.091
390.50,81.207
391.00,81.255
391.50,81.322
392.00,81.430
392.50,81.487
393.00,81.618
393.50,81.738
394.00,81.828
394.50,81.946
395.00,82.025
395.50,82.141
396.00,82.243
396.50,82.314
397.00,82.451
397.50,82.576
398.00,82.693
398.50,82.816
399.00,82.884
399.50,82.988
400.00,83.115
400.50,83.220
401.00,83.333
401.50,83.466
402.00,83.627
402.50,83.734
403.00,83.830
403.50,83.952
404.00,84.029
404.50,84.120
405.00,84.215
405.50,84.335
406.00,84.476
406.50,84.575
407.00,84.657
407.50,84.738
408.00,84.834
408.50,84.946
409.00,85.078
409.50,85.167
410.00,85.257
410.50,85.417
411.00,85.548
411.50,85.667
412.00,85.745
412.50,85.817
413.00,85.953
413.50,86.087
414.00,86.189
414.50,86.295
415.00,86.404
415.50,86.513
416.00,86.577
416.50,86.659
417.00,86.780
417.50,86.911
418.00,87.030
418.50,87.099
419.00,87.204
419.50,87.299
420.00,87.410
420.50,87.492
421.00,87.563
421.50,87.665
422.00,87.756
422.50,87.851
423.00,87.959
423.50,88.080
424.00,88.162
424.50,88.235
425.00,88.321
425.50,88.426
426.00,88.551
426.50,88.657
427.00,88.730
427.50,88.800
428.00,88.879
428.50,89.000
429.00,89.090
429.50,89.171
430.00,89.272
430.50,89.330
431.00,89.424
431.50,89.536
432.00,89.610
432.50,89.688
433.00,89.743
433.50,89.810
434.00,89.923
434.50,90.004
435.00,90.100
435.50,90.157
436.00,90.201
436.50,90.309
437.00,90.396
437.50,90.446
438.00,90.495
438.50,90.576
439.00,90.636
439.50,90.717
440.00,90.807
440.50,90.840
441.00,90.894
441.50,90.947
442.00,90.981
442.50,91.042
443.00,91.135
443.50,91.214
444.00,91.245
444.50,91.249
445.00,91.283
445.50,91.341
446.00,91.399
446.50,91.443
447.00,91.481
447.50,91.493
448.00,91.510
448.50,91.548
449.00,91.620
449.50,91.685
450.00,91.713
450.50,91.766
451.00,91.760
451.50,91.734
452.00,91.772
452.50,91.808
453.00,91.821
453.50,91.844
454.00,91.862
454.50,91.902
455.00,91.917
455.50,91.917
456.00,91.904
456.50,91.930
457.00,91.977
457.50,91.966
458.00,91.960
458.50,91.978
459.00,92.015
459.50,92.046
460.00,92.070
460.50,92.061
461.00,92.090
461.50,92.151
462.00,92.168
462.50,92.152
463.00,92.113
463.50,92.097
464.00,92.114
464.50,92.090
465.00,92.081
465.50,92.059
466.00,92.033
466.50,92.055
467.00,92.072
467.50,92.056
468.00,92.049
468.50,92.079
469.00,92.058
469.50,92.043
470.00,92.038
470.50,92.018
471.00,91.988
471.50,91.922
472.00,91.887
472.50,91.887
473.00,91.879
473.50,91.876
474.00,91.832
474.50,91.768
475.00,91.743
475.50,91.722
476.00,91.696
476.50,91.678
477.00,91.698
477.50,91.669
478.00,91.577
478.50,91.537
479.00,91.528
479.50,91.493
480.00,91.475
480.50,91.460
481.00,91.422
481.50,91.394
482.00,91.362
482.50,91.322
483.00,91.246
483.50,91.202
484.00,91.170
484.50,91.113
485.00,91.083
485.50,91.054
486.00,91.019
486.50,90.970
487.00,90.904
487.50,90.851
488.00,90.826
488.50,90.799
489.00,90.758
489.50,90.730
490.00,90.694
490.50,90.637
491.00,90.599
491.50,90.543
492.00,90.485
492.50,90.456
493.00,90.421
493.50,90.353
494.00,90.311
494.50,90.292
495.00,90.256
495.50,90.190
496.00,90.094
496.50,90.048
497.00,90.010
497.50,89.973
498.00,89.915
498.50,89.832
499.00,89.780
499.50,89.732
500.00,89.713
500.50,89.682
501.00,89.616
501.50,89.572
502.00,89.554
502.50,89.488
503.00,89.404
503.50,89.334
504.00,89.278
504.50,89.229
505.00,89.178
505.50,89.142
506.00,89.081
506.50,88.998
507.00,88.942
507.50,88.896
508.00,88.844
508.50,88.820
509.00,88.777
509.50,88.719
510.00,88.661
510.50,88.603
511.00,88.539
511.50,88.443
512.00,88.377
512.50,88.351
513.00,88.318
513.50,88.261
514.00,88.216
514.50,88.177
515.00,88.127
515.50,88.060
516.00,88.000
516.50,87.950
517.00,87.888
517.50,87.833
518.00,87.778
518.50,87.723
519.00,87.682
519.50,87.663
520.00,87.631
520.50,87.550
521.00,87.498
521.50,87.471
522.00,87.433
522.50,87.393
523.00,87.329
523.50,87.280
524.00,87.247
524.50,87.189
525.00,87.112
525.50,87.070
526.00,87.032
526.50,86.983
527.00,86.957
527.50,86.925
528.00,86.867
528.50,86.806
529.00,86.765
529.50,86.723
530.00,86.662
530.50,86.617
531.00,86.597
531.50,86.539
532.00,86.501
532.50,86.490
533.00,86.407
533.50,86.334
534.00,86.313
534.50,86.278
535.00,86.223
535.50,86.163
536.00,86.124
536.50,86.070
537.00,86.014
537.50,85.956
538.00,85.872
538.50,85.835
539.00,85.844
539.50,85.808
540.00,85.753
540.50,85.724
541.00,85.678
541.50,85.611
542.00,85.573
542.50,85.548
543.00,85.507
543.50,85.480
544.00,85.452
544.50,85.414
545.00,85.342
545.50,85.284
546.00,85.266
546.50,85.245
547.00,85.213
547.50,85.188
548.00,85.173
548.50,85.112
549.00,85.042
549.50,85.019
550.00,85.014
550.50,84.967
551.00,84.906
551.50,84.862
552.00,84.831
552.50,84.811
553.00,84.804
553.50,84.750
554.00,84.688
554.50,84.666
555.00,84.650
555.50,84.633
556.00,84.583
556.50,84.529
557.00,84.512
557.50,84.479
558.00,84.456
558.50,84.450
559.00,84.435
559.50,84.413
560.00,84.349
560.50,84.312
561.00,84.302
561.50,84.297
562.00,84.264
562.50,84.212
563.00,84.163
563.50,84.117
564.00,84.073
564.50,84.045
565.00,84.044
565.50,84.007
566.00,84.006
566.50,83.990
567.00,83.955
567.50,83.942
568.00,83.914
568.50,83.905
569.00,83.879
569.50,83.865
570.00,83.858
570.50,83.836
571.00,83.820
571.50,83.780
572.00,83.752
572.50,83.768
573.00,83.745
573.50,83.725
574.00,83.719
574.50,83.661
575.00,83.640
575.50,83.623
576.00,83.597
576.50,83.597
577.00,83.565
577.50,83.517
578.00,83.524
578.50,83.536
579.00,83.511
579.50,83.487
580.00,83.467
580.50,83.453
581.00,83.437
581.50,83.426
582.00,83.400
582.50,83.371
583.00,83.371
583.50,83.362
584.00,83.342
584.50,83.342
585.00,83.333
585.50,83.328
586.00,83.337
586.50,83.328
587.00,83.330
587.50,83.307
588.00,83.263
588.50,83.247
589.00,83.234
589.50,83.232
590.00,83.249
590.50,83.247
591.00,83.260
591.50,83.258
592.00,83.240
592.50,83.238
593.00,83.200
593.50,83.165
594.00,83.183
594.50,83.199
595.00,83.194
595.50,83.179
596.00,83.191
596.50,83.168
597.00,83.154
597.50,83.180
598.00,83.171
598.50,83.154
599.00,83.133
599.50,83.138
600.00,83.139
600.50,83.130
601.00,83.138
601.50,83.179
602.00,83.194
602.50,83.186
603.00,83.195
603.50,83.195
604.00,83.171
604.50,83.160
605.00,83.173
605.50,83.162
606.00,83.177
606.50,83.191
607.00,83.150
607.50,83.131
608.00,83.124
608.50,83.142
609.00,83.188
609.50,83.179
610.00,83.173
610.50,83.171
611.00,83.159
611.50,83.157
612.00,83.173
612.50,83.191
613.00,83.192
613.50,83.195
614.00,83.214
614.50,83.238
615.00,83.218
615.50,83.214
616.00,83.235
616.50,83.257
617.00,83.250
617.50,83.240
618.00,83.264
618.50,83.270
619.00,83.272
619.50,83.284
620.00,83.266
620.50,83.267
621.00,83.289
621.50,83.278
622.00,83.269
622.50,83.266
623.00,83.293
623.50,83.308
624.00,83.304
624.50,83.342
625.00,83.365
625.50,83.385
626.00,83.412
626.50,83.401
627.00,83.395
627.50,83.406
628.00,83.421
628.50,83.426
629.00,83.456
629.50,83.524
630.00,83.524
630.50,83.470
631.00,83.487
631.50,83.502
632.00,83.476
632.50,83.505
633.00,83.543
633.50,83.546
634.00,83.548
634.50,83.572
635.00,83.601
635.50,83.612
636.00,83.621
636.50,83.640
637.00,83.685
637.50,83.694
638.00,83.676
638.50,83.704
639.00,83.752
639.50,83.781
640.00,83.786
640.50,83.788
641.00,83.780
641.50,83.768
642.00,83.792
642.50,83.842
643.00,83.875
643.50,83.887
644.00,83.905
644.50,83.931
645.00,83.952
645.50,83.984
646.00,84.004
646.50,83.986
647.00,83.969
647.50,83.992
648.00,84.003
648.50,84.007
649.00,84.027
649.50,84.039
650.00,84.064
650.50,84.097
651.00,84.117
651.50,84.135
652.00,84.154
652.50,84.177
653.00,84.210
653.50,84.230
654.00,84.236
654.50,84.244
655.00,84.271
655.50,84.300
656.00,84.344
656.50,84.358
657.00,84.372
657.50,84.428
658.00,84.419
658.50,84.396
659.00,84.422
659.50,84.468
660.00,84.491
660.50,84.503
661.00,84.526
661.50,84.547
662.00,84.572
662.50,84.595
663.00,84.622
663.50,84.656
664.00,84.671
664.50,84.676
665.00,84.717
665.50,84.750
666.00,84.776
666.50,84.787
667.00,84.799
667.50,84.813
668.00,84.811
668.50,84.851
669.00,84.895
669.50,84.917
670.00,84.937
670.50,84.949
671.00,84.979
671.50,85.028
672.00,85.037
672.50,85.039
673.00,85.066
673.50,85.103
674.00,85.132
674.50,85.165
675.00,85.187
675.50,85.214
676.00,85.243
676.50,85.255
677.00,85.274
677.50,85.316
678.00,85.362
678.50,85.359
679.00,85.374
679.50,85.406
680.00,85.417
680.50,85.451
681.00,85.484
681.50,85.542
682.00,85.570
682.50,85.579
683.00,85.606
683.50,85.616
684.00,85.629
684.50,85.645
685.00,85.663
685.50,85.680
686.00,85.680
686.50,85.721
687.00,85.770
687.50,85.748
688.00,85.764
688.50,85.811
689.00,85.835
689.50,85.886
690.00,85.916
690.50,85.905
691.00,85.936
691.50,85.971
692.00,85.992
692.50,86.035
693.00,86.079
693.50,86.090
694.00,86.105
694.50,86.130
695.00,86.137
695.50,86.145
696.00,86.171
696.50,86.206
697.00,86.215
697.50,86.255
698.00,86.317
698.50,86.348
699.00,86.333
699.50,86.372
700.00,86.411
700.50,86.412
701.00,86.444
701.50,86.467
702.00,86.497
702.50,86.514
703.00,86.517
703.50,86.580
704.00,86.630
704.50,86.644
705.00,86.676
705.50,86.681
706.00,86.693
706.50,86.740
707.00,86.783
707.50,86.795
708.00,86.818
708.50,86.827
709.00,86.838
709.50,86.893
710.00,86.943
710.50,86.967
711.00,86.983
711.50,87.018
712.00,87.056
712.50,87.083
713.00,87.067
713.50,87.073
714.00,87.119
714.50,87.148
715.00,87.193
715.50,87.236
716.00,87.262
716.50,87.259
717.00,87.265
717.50,87.292
718.00,87.320
718.50,87.332
719.00,87.321
719.50,87.363
720.00,87.367
720.50,87.381
721.00,87.428
721.50,87.473
722.00,87.552
722.50,87.575
723.00,87.616
723.50,87.668
724.00,87.701
724.50,87.708
725.00,87.662
725.50,87.674
726.00,87.703
726.50,87.704
727.00,87.729
727.50,87.761
728.00,87.793
728.50,87.833
729.00,87.872
729.50,87.930
730.00,87.946
730.50,87.959
731.00,88.008
731.50,88.019
732.00,88.026
732.50,88.040
733.00,88.042
733.50,88.063
734.00,88.065
734.50,88.086
735.00,88.145
735.50,88.164
736.00,88.220
736.50,88.275
737.00,88.295
737.50,88.338
738.00,88.354
738.50,88.351
739.00,88.397
739.50,88.435
740.00,88.435
740.50,88.435
741.00,88.477
741.50,88.499
742.00,88.519
742.50,88.571
743.00,88.568
743.50,88.577
744.00,88.620
744.50,88.635
745.00,88.617
745.50,88.657
746.00,88.705
746.50,88.695
747.00,88.733
747.50,88.780
748.00,88.794
748.50,88.844
749.00,88.892
749.50,88.902
750.00,88.887
750.50,88.898
751.00,88.902
751.50,88.898
752.00,88.902
752.50,88.884
753.00,88.940
753.50,89.040
754.00,89.059
754.50,89.046
755.00,89.098
755.50,89.142
756.00,89.133
756.50,89.133
757.00,89.166
757.50,89.174
758.00,89.183
758.50,89.235
759.00,89.255
759.50,89.253
760.00,89.270
760.50,89.282
761.00,89.307
761.50,89.346
762.00,89.354
762.50,89.365
763.00,89.365
763.50,89.403
764.00,89.479
764.50,89.505
765.00,89.511
765.50,89.513
766.00,89.554
766.50,89.577
767.00,89.554
767.50,89.587
768.00,89.636
768.50,89.668
769.00,89.705
769.50,89.731
770.00,89.767
770.50,89.751
771.00,89.752
771.50,89.796
772.00,89.799
772.50,89.809
773.00,89.851
773.50,89.854
774.00,89.825
774.50,89.839
775.00,89.864
775.50,89.919
776.00,89.932
776.50,89.886
777.00,89.931
777.50,89.973
778.00,89.964
778.50,90.018
779.00,90.096
779.50,90.155
780.00,90.146
780.50,90.141
781.00,90.192
781.50,90.211
782.00,90.244
782.50,90.274
783.00,90.213
783.50,90.176
784.00,90.181
784.50,90.195
785.00,90.242
785.50,90.262
786.00,90.303
786.50,90.363
787.00,90.387
787.50,90.433
788.00,90.425
788.50,90.430
789.00,90.448
789.50,90.434
790.00,90.456
790.50,90.462
791.00,90.450
791.50,90.451
792.00,90.475
792.50,90.474
793.00,90.517
793.50,90.544
794.00,90.569
794.50,90.588
795.00,90.572
795.50,90.619
796.00,90.685
796.50,90.685
797.00,90.697
797.50,90.715
798.00,90.735
798.50,90.791
799.00,90.771
799.50,90.746
800.00,90.770
800.50,90.781
801.00,90.796
801.50,90.834
802.00,90.823
802.50,90.814
803.00,90.807
803.50,90.846
804.00,90.910
804.50,90.939
805.00,90.973
805.50,90.987
806.00,90.988
806.50,90.941
807.00,90.930
807.50,90.968
808.00,90.973
808.50,90.990
809.00,91.011
809.50,91.049
810.00,91.101
810.50,91.116
811.00,91.147
811.50,91.185
812.00,91.200
812.50,91.133
813.00,91.100
813.50,91.133
814.00,91.154
814.50,91.217
815.00,91.225
815.50,91.234
816.00,91.273
816.50,91.269
817.00,91.228
817.50,91.197
818.00,91.197
818.50,91.222
819.00,91.266
819.50,91.260
820.00,91.238
820.50,91.264
821.00,91.310
821.50,91.338
822.00,91.357
822.50,91.377
823.00,91.399
823.50,91.399
824.00,91.394
824.50,91.376
825.00,91.360
825.50,91.415
826.00,91.435
826.50,91.431
827.00,91.455
827.50,91.479
828.00,91.537
828.50,91.592
829.00,91.615
829.50,91.585
830.00,91.536
830.50,91.554
831.00,91.573
831.50,91.544
832.00,91.551
832.50,91.573
