"Storage 011951 PM - RawData - C:\Users\Kyung\Feb102011\UV\File 110210 011951 PM.spc"
"Wavelength nm.","T%"
200.00,-0.00153
200.50,-0.00610
201.00,0.00000
201.50,0.00458
202.00,-0.00153
202.50,0.00153
203.00,-0.00153
203.50,-0.00153
204.00,-0.00153
204.50,-0.00153
205.00,0.00000
205.50,0.00000
206.00,-0.00153
206.50,0.00000
207.00,0.00000
207.50,-0.00153
208.00,-0.00153
208.50,0.00000
209.00,-0.00153
209.50,-0.00153
210.00,-0.00153
210.50,-0.00153
211.00,-0.00153
211.50,0.00153
212.00,0.00000
212.50,0.00000
213.00,0.00000
213.50,0.00000
214.00,-0.00153
214.50,0.00000
215.00,-0.00153
215.50,0.00000
216.00,0.00000
216.50,-0.00153
217.00,0.00000
217.50,0.00000
218.00,0.00153
218.50,0.00000
219.00,0.00000
219.50,0.00000
220.00,0.00000
220.50,0.00000
221.00,0.00000
221.50,0.00000
222.00,0.00153
222.50,0.00153
223.00,0.00000
223.50,0.00000
224.00,0.00153
224.50,0.00153
225.00,0.00153
225.50,0.00458
226.00,0.00458
226.50,0.00763
227.00,0.00763
227.50,0.01068
228.00,0.01373
228.50,0.01678
229.00,0.01678
229.50,0.01984
230.00,0.01984
230.50,0.02594
231.00,0.03204
231.50,0.03510
232.00,0.04120
232.50,0.04883
233.00,0.04883
233.50,0.05798
234.00,0.06256
234.50,0.07324
235.00,0.08240
235.50,0.09155
236.00,0.10529
236.50,0.11902
237.00,0.12512
237.50,0.14496
238.00,0.16022
238.50,0.17700
239.00,0.19989
239.50,0.21820
240.00,0.23956
240.50,0.26855
241.00,0.29755
241.50,0.32196
242.00,0.35400
242.50,0.38300
243.00,0.42725
243.50,0.45624
244.00,0.50201
244.50,0.54474
245.00,0.58746
245.50,0.66376
246.00,0.69733
246.50,0.75226
247.00,0.81329
247.50,0.87280
248.00,0.93994
248.50,1.01318
249.00,1.07269
249.50,1.15204
250.00,1.22528
250.50,1.30920
251.00,1.39008
251.50,1.49536
252.00,1.56860
252.50,1.66473
253.00,1.76697
253.50,1.86462
254.00,1.97449
254.50,2.08130
255.00,2.19574
255.50,2.32697
256.00,2.44751
256.50,2.58484
257.00,2.70386
257.50,2.85492
258.00,2.98462
258.50,3.14484
259.00,3.29895
259.50,3.44391
260.00,3.62091
260.50,3.74756
261.00,3.95355
261.50,4.11224
262.00,4.26636
262.50,4.46472
263.00,4.65698
263.50,4.88739
264.00,5.07965
264.50,5.29175
265.00,5.47028
265.50,5.70831
266.00,5.92651
266.50,6.14471
267.00,6.36139
267.50,6.59485
268.00,6.79169
268.50,7.02209
269.00,7.30133
269.50,7.53326
270.00,7.76215
270.50,8.04901
271.00,8.26263
271.50,8.54187
272.00,8.77380
272.50,9.09882
273.00,9.36584
273.50,9.67255
274.00,9.94415
274.50,10.20355
275.00,10.49957
275.50,10.78949
276.00,11.09314
276.50,11.43494
277.00,11.72333
277.50,12.05902
278.00,12.35657
278.50,12.67090
279.00,13.02338
279.50,13.32703
280.00,13.67798
280.50,13.98621
281.00,14.29596
281.50,14.63470
282.00,14.96887
282.50,15.25116
283.00,15.68146
283.50,15.92560
284.00,16.34521
284.50,16.67786
285.00,17.05322
285.50,17.33704
286.00,17.70630
286.50,17.98553
287.00,18.37921
287.50,18.73779
288.00,19.12842
288.50,19.40308
289.00,19.73267
289.50,20.01648
290.00,20.42084
290.50,20.75958
291.00,21.03271
291.50,21.53473
292.00,21.83228
292.50,22.25189
293.00,22.56927
293.50,22.94464
294.00,23.28339
294.50,23.64197
295.00,23.99445
295.50,24.45374
296.00,24.88708
296.50,25.28076
297.00,25.75073
297.50,26.11694
298.00,26.51062
298.50,27.01263
299.00,27.47345
299.50,27.87476
300.00,28.28064
300.50,28.69873
301.00,29.18854
301.50,29.66919
302.00,30.11780
302.50,30.57404
303.00,31.05774
303.50,31.53534
304.00,31.93359
304.50,32.47375
305.00,33.08258
305.50,33.52203
306.00,33.93707
306.50,34.43604
307.00,34.80988
307.50,35.49957
308.00,35.98328
308.50,36.56158
309.00,37.14600
309.50,37.93030
310.00,38.28430
310.50,38.99078
311.00,39.60724
311.50,40.23895
312.00,40.78522
312.50,41.49170
313.00,42.10358
313.50,42.69714
314.00,43.42804
314.50,43.96515
315.00,44.63196
315.50,45.25146
316.00,45.89691
316.50,46.66443
317.00,47.29462
317.50,48.03009
318.00,48.55347
318.50,49.42322
319.00,50.10834
319.50,50.78888
320.00,51.61285
320.50,52.12250
321.00,53.04565
321.50,53.65601
322.00,54.25262
322.50,55.07660
323.00,55.85785
323.50,56.50330
324.00,57.23267
324.50,58.04596
325.00,58.55713
325.50,59.32312
326.00,59.81598
326.50,60.51178
327.00,61.34796
327.50,61.90186
328.00,62.64648
328.50,63.06000
329.00,63.94348
329.50,64.63470
330.00,65.13977
330.50,65.77759
331.00,66.48712
331.50,67.05475
332.00,67.82684
332.50,68.21136
333.00,68.80951
333.50,69.43665
334.00,69.97986
334.50,70.48187
335.00,70.85571
335.50,71.35010
336.00,71.54999
336.50,72.36938
337.00,72.81342
337.50,73.21167
338.00,73.57635
338.50,74.03412
339.00,74.24774
339.50,74.80774
340.00,75.48065
340.50,75.72174
341.00,76.16577
341.50,76.61743
342.00,77.00958
342.50,77.23541
343.00,77.42462
343.50,77.89154
344.00,77.97241
344.50,78.33405
345.00,78.39355
345.50,78.58734
346.00,79.10156
346.50,79.35944
347.00,79.48914
347.50,79.64935
348.00,79.97742
348.50,80.26886
349.00,80.29480
349.50,80.49774
350.00,80.72968
350.50,80.82581
351.00,80.95703
351.50,80.96771
352.00,80.97534
352.50,81.10657
353.00,81.09741
353.50,81.60400
354.00,81.35223
354.50,81.55823
355.00,81.42853
355.50,81.67267
356.00,81.62231
356.50,81.55212
357.00,81.54755
357.50,81.64520
358.00,81.49109
358.50,81.50024
359.00,81.67114
359.50,81.57654
360.00,81.73981
360.50,81.47888
361.00,81.39038
361.50,81.19354
362.00,81.16760
362.50,80.99518
363.00,80.90515
363.50,81.02112
364.00,80.80902
364.50,80.94482
365.00,80.76477
365.50,80.78461
366.00,80.61218
366.50,80.35736
367.00,80.25970
367.50,80.19104
368.00,79.96674
368.50,80.28717
369.00,79.79736
369.50,79.84772
370.00,79.72565
370.50,79.52728
371.00,79.41132
371.50,79.34723
372.00,79.10767
372.50,79.02985
373.00,78.89099
373.50,78.97339
374.00,78.67889
374.50,78.59192
375.00,78.45764
375.50,78.38745
376.00,78.28827
376.50,78.17230
377.00,78.00598
377.50,77.94952
378.00,77.89764
378.50,77.77710
379.00,77.65808
379.50,77.57263
380.00,77.33917
380.50,77.23083
381.00,77.13623
381.50,77.11029
382.00,76.88293
382.50,76.99890
383.00,76.83411
383.50,76.75781
384.00,76.72729
384.50,76.61896
385.00,76.45416
385.50,76.42212
386.00,76.22528
386.50,76.13983
387.00,76.12000
387.50,76.08643
388.00,75.98267
388.50,75.92316
389.00,75.80566
389.50,75.83923
390.00,75.78125
390.50,75.82550
391.00,75.74463
391.50,75.69275
392.00,75.54474
392.50,75.53558
393.00,75.60730
393.50,75.45929
394.00,75.48828
394.50,75.36011
395.00,75.38605
395.50,75.29449
396.00,75.39368
396.50,75.37842
397.00,75.24567
397.50,75.23041
398.00,75.20142
398.50,75.30975
399.00,75.18311
399.50,75.13885
400.00,75.12207
400.50,75.07935
401.00,75.16174
401.50,75.09003
402.00,75.26093
402.50,75.33112
403.00,75.21362
403.50,75.30212
404.00,75.34790
404.50,75.32349
405.00,75.41504
405.50,75.48828
406.00,75.59357
406.50,75.57526
407.00,75.64392
407.50,75.63324
408.00,75.57526
408.50,75.70343
409.00,75.65765
409.50,75.74005
410.00,75.73700
410.50,75.79498
