"Storage 010818 PM - RawData - C:\Users\Celal\File 110210 010818 PM.spc"
"Wavelength nm.","T%"
200.00,-0.00153
200.50,0.00610
201.00,0.00000
201.50,0.00000
202.00,-0.00153
202.50,0.00000
203.00,0.00153
203.50,0.00000
204.00,0.00000
204.50,-0.00153
205.00,-0.00153
205.50,-0.00153
206.00,-0.00153
206.50,-0.00153
207.00,0.00000
207.50,-0.00458
208.00,0.00000
208.50,-0.00153
209.00,0.00153
209.50,0.00000
210.00,0.00000
210.50,0.00000
211.00,0.00000
211.50,0.00000
212.00,0.00000
212.50,0.00000
213.00,0.00000
213.50,0.00153
214.00,0.00000
214.50,0.00153
215.00,0.00000
215.50,0.00000
216.00,0.00153
216.50,0.00153
217.00,0.00000
217.50,0.00153
218.00,0.00153
218.50,0.00000
219.00,0.00153
219.50,0.00153
220.00,0.00153
220.50,0.00458
221.00,0.00458
221.50,0.00458
222.00,0.00763
222.50,0.01068
223.00,0.01373
223.50,0.01373
224.00,0.01678
224.50,0.01984
225.00,0.02594
225.50,0.03204
226.00,0.04425
226.50,0.04730
227.00,0.05341
227.50,0.06561
228.00,0.07172
228.50,0.08392
229.00,0.09918
229.50,0.10986
230.00,0.12817
230.50,0.14191
231.00,0.15411
231.50,0.17242
232.00,0.19226
232.50,0.21362
233.00,0.23651
233.50,0.26245
234.00,0.28839
234.50,0.32349
235.00,0.35095
235.50,0.38452
236.00,0.41656
236.50,0.46234
237.00,0.49133
237.50,0.54321
238.00,0.58899
238.50,0.64392
239.00,0.69885
239.50,0.76141
240.00,0.81177
240.50,0.86670
241.00,0.94147
241.50,1.01471
242.00,1.10016
242.50,1.17645
243.00,1.26495
243.50,1.36414
244.00,1.47095
244.50,1.55334
245.00,1.68610
245.50,1.79749
246.00,1.91498
246.50,2.03552
247.00,2.17285
247.50,2.29340
248.00,2.43530
248.50,2.60925
249.00,2.74658
249.50,2.91138
250.00,3.05176
250.50,3.23639
251.00,3.40729
251.50,3.59192
252.00,3.79486
252.50,3.97644
253.00,4.19159
253.50,4.36249
254.00,4.61273
254.50,4.81567
255.00,5.03082
255.50,5.28717
256.00,5.52368
256.50,5.76019
257.00,6.03638
257.50,6.29272
258.00,6.53839
258.50,6.76880
259.00,7.04803
259.50,7.29523
260.00,7.59277
260.50,7.84149
261.00,8.11768
261.50,8.38318
262.00,8.65631
262.50,8.92639
263.00,9.19037
263.50,9.51385
264.00,9.71985
264.50,10.04486
265.00,10.25543
265.50,10.50568
266.00,10.79254
266.50,11.10229
267.00,11.27319
267.50,11.56158
268.00,11.80420
268.50,12.08954
269.00,12.38861
269.50,12.59613
270.00,12.85553
270.50,13.07678
271.00,13.35144
271.50,13.59711
272.00,13.93585
272.50,14.14032
273.00,14.43939
273.50,14.64996
274.00,14.92310
274.50,15.16571
275.00,15.40375
275.50,15.68451
276.00,15.99121
276.50,16.26434
277.00,16.54358
277.50,16.83502
278.00,17.14935
278.50,17.50946
279.00,17.77496
279.50,18.07404
280.00,18.37158
280.50,18.69659
281.00,19.08722
281.50,19.34814
282.00,19.74182
282.50,20.10803
283.00,20.45898
283.50,20.81909
284.00,21.24634
284.50,21.65222
285.00,22.11914
285.50,22.44568
286.00,22.84393
286.50,23.27118
287.00,23.66486
287.50,24.09668
288.00,24.58344
288.50,25.02899
289.00,25.53711
289.50,25.98877
290.00,26.48163
290.50,26.98822
291.00,27.38037
291.50,27.94952
292.00,28.44849
292.50,29.04816
293.00,29.50287
293.50,30.04761
294.00,30.43365
294.50,31.09894
295.00,31.81610
295.50,32.44019
296.00,33.03680
296.50,33.51746
297.00,34.13086
297.50,34.66492
298.00,35.28137
298.50,36.01227
299.00,36.76605
299.50,37.32758
300.00,37.92877
300.50,38.62152
301.00,39.38141
301.50,39.95514
302.00,40.72876
302.50,41.43066
303.00,42.13104
303.50,42.79022
304.00,43.55621
304.50,44.14063
305.00,44.90051
305.50,45.60547
306.00,46.14563
306.50,46.87958
307.00,47.48383
307.50,48.35205
308.00,48.81134
308.50,49.82300
309.00,50.58441
309.50,51.19476
310.00,51.93481
310.50,52.67334
311.00,53.42255
311.50,54.39148
312.00,55.01404
312.50,55.66406
313.00,56.27136
313.50,57.11975
314.00,57.69958
314.50,58.46100
315.00,58.95691
315.50,59.67407
316.00,60.42938
316.50,61.01837
317.00,61.47919
317.50,62.24670
318.00,62.84790
318.50,63.48267
319.00,64.14032
319.50,64.83307
320.00,65.38696
320.50,65.78979
321.00,66.26434
321.50,66.74347
322.00,67.29736
322.50,67.72614
323.00,68.21747
323.50,68.57300
324.00,68.99109
324.50,69.59534
325.00,69.91425
325.50,70.15533
326.00,70.47272
326.50,70.95490
327.00,71.07544
327.50,71.51794
328.00,71.87653
328.50,72.07489
329.00,72.31598
329.50,72.78290
330.00,72.82257
330.50,73.31085
331.00,73.43292
331.50,73.54279
332.00,73.93799
332.50,74.14246
333.00,74.35913
333.50,74.52850
334.00,74.83826
334.50,74.82605
335.00,75.04883
335.50,74.81537
336.00,75.08087
336.50,75.35706
337.00,75.18616
337.50,75.42572
338.00,75.39978
338.50,75.77057
339.00,75.83618
339.50,75.95978
340.00,76.11237
340.50,75.99640
341.00,76.47705
341.50,76.46484
342.00,76.42517
342.50,76.20850
343.00,76.65558
343.50,76.82800
344.00,76.81885
344.50,76.80359
345.00,76.75171
345.50,77.00806
346.00,76.94550
346.50,76.97449
347.00,77.12708
347.50,77.16980
348.00,77.20184
348.50,77.30560
349.00,77.52075
349.50,77.25525
350.00,77.54974
350.50,77.63367
351.00,77.56500
351.50,77.65503
352.00,77.77252
352.50,77.58179
353.00,77.61688
353.50,77.89459
354.00,77.78320
354.50,77.91901
355.00,78.16925
355.50,78.01819
356.00,78.01819
356.50,78.28827
357.00,78.52936
357.50,78.52020
358.00,78.62396
358.50,78.73993
359.00,78.79944
359.50,79.01306
360.00,79.02679
360.50,78.84979
361.00,79.08478
361.50,78.99170
362.00,79.34113
362.50,79.19769
363.00,79.42963
363.50,79.56085
364.00,79.77905
364.50,79.85229
365.00,79.98352
365.50,80.04456
366.00,80.23834
366.50,80.11932
367.00,80.42603
367.50,80.34363
368.00,80.58777
368.50,80.80444
369.00,81.06995
369.50,81.12640
370.00,81.17523
370.50,81.24237
371.00,81.50024
371.50,81.58722
372.00,81.66351
372.50,81.82068
373.00,82.01294
373.50,82.17468
374.00,82.27081
374.50,82.51648
375.00,82.58972
375.50,82.71179
376.00,82.77588
376.50,82.98950
377.00,83.11005
377.50,83.27332
378.00,83.32367
378.50,83.69446
379.00,83.87299
379.50,83.92029
380.00,84.00116
380.50,84.28040
381.00,84.35211
381.50,84.57184
382.00,84.75342
382.50,84.85565
383.00,84.94568
383.50,85.03265
384.00,85.37445
384.50,85.33020
385.00,85.52399
385.50,85.64453
386.00,85.62927
386.50,86.11908
387.00,86.19385
387.50,86.22437
388.00,86.38611
388.50,86.51886
389.00,86.70807
389.50,86.88507
390.00,87.10480
390.50,87.17194
391.00,87.40234
391.50,87.47559
392.00,87.71667
392.50,87.71973
393.00,87.87079
393.50,88.04474
394.00,88.22632
394.50,88.51318
395.00,88.60168
395.50,88.60626
396.00,88.78937
396.50,88.95264
397.00,89.15405
397.50,89.23950
398.00,89.30664
398.50,89.38293
399.00,89.43481
399.50,89.58435
400.00,89.71710
400.50,89.75983
401.00,89.85901
401.50,90.09705
402.00,90.22217
402.50,90.27863
403.00,90.31830
403.50,90.36865
404.00,90.53802
404.50,90.67841
405.00,90.77454
405.50,90.78522
406.00,90.95459
406.50,91.08887
407.00,91.06140
407.50,91.16211
408.00,91.02936
408.50,91.18347
409.00,91.28723
409.50,91.32996
410.00,91.33759
410.50,91.38947
411.00,91.45508
411.50,91.43066
