"Storage 011426 PM - RawData - C:\Users\Kyung\Feb102011\UV\File 110210 011426 PM.spc"
"Wavelength nm.","T%"
200.00,-0.00153
200.50,-0.00458
201.00,0.00000
201.50,0.00153
202.00,0.00000
202.50,0.00000
203.00,-0.00153
203.50,-0.00458
204.00,0.00153
204.50,0.00000
205.00,0.00000
205.50,0.00153
206.00,0.00000
206.50,0.00000
207.00,0.00458
207.50,0.00153
208.00,0.00763
208.50,0.00000
209.00,0.00153
209.50,0.00153
210.00,0.00458
210.50,0.00458
211.00,0.00153
211.50,0.00153
212.00,0.00458
212.50,0.00153
213.00,0.00458
213.50,0.00153
214.00,0.00153
214.50,0.00458
215.00,0.00763
215.50,0.00458
216.00,0.00458
216.50,0.00458
217.00,0.00458
217.50,0.00763
218.00,0.00458
218.50,0.00458
219.00,0.00458
219.50,0.00458
220.00,0.00458
220.50,0.00458
221.00,0.00763
221.50,0.00763
222.00,0.00763
222.50,0.01068
223.00,0.01373
223.50,0.01373
224.00,0.01984
224.50,0.02289
225.00,0.02289
225.50,0.02899
226.00,0.03204
226.50,0.03815
227.00,0.04120
227.50,0.05341
228.00,0.05951
228.50,0.06561
229.00,0.07782
229.50,0.07782
230.00,0.09460
230.50,0.10529
231.00,0.11444
231.50,0.12665
232.00,0.14496
232.50,0.15411
233.00,0.17700
233.50,0.18921
234.00,0.20599
234.50,0.22888
235.00,0.24567
235.50,0.27771
236.00,0.30060
236.50,0.32806
237.00,0.35400
237.50,0.39063
238.00,0.42572
238.50,0.47150
239.00,0.51575
239.50,0.54779
240.00,0.59967
240.50,0.65613
241.00,0.71564
241.50,0.77667
242.00,0.84991
242.50,0.91858
243.00,0.99335
243.50,1.07269
244.00,1.15509
244.50,1.24664
245.00,1.34125
245.50,1.44958
246.00,1.55945
246.50,1.68304
247.00,1.80054
247.50,1.93176
248.00,2.04773
248.50,2.21252
249.00,2.35138
249.50,2.51160
250.00,2.66418
250.50,2.83661
251.00,2.99683
251.50,3.17841
252.00,3.38287
252.50,3.55530
253.00,3.73077
253.50,3.93829
254.00,4.15192
254.50,4.33960
255.00,4.55780
255.50,4.78821
256.00,5.00793
256.50,5.22766
257.00,5.46417
257.50,5.73273
258.00,5.95245
258.50,6.21643
259.00,6.48041
259.50,6.69708
260.00,6.95496
260.50,7.20673
261.00,7.46307
261.50,7.70569
262.00,7.95898
262.50,8.25043
263.00,8.48999
263.50,8.77228
264.00,9.00726
264.50,9.25446
265.00,9.53674
265.50,9.76105
266.00,10.03876
266.50,10.28748
267.00,10.56061
267.50,10.79559
268.00,11.02753
268.50,11.30676
269.00,11.55853
269.50,11.79962
270.00,11.98120
270.50,12.28485
271.00,12.58545
271.50,12.79449
272.00,13.06152
272.50,13.34381
273.00,13.62305
273.50,13.87024
