

 One-dimensional plot values
 Input line #     111
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000       6.05000       5.05000        1.351448E+09
     35.00000      11.05000      10.05000        1.376468E+09
     35.00000      16.05000      15.05000        1.404357E+09
     35.00000      21.05000      20.05000        1.435726E+09
     35.00000      26.05000      25.05000        1.471375E+09
     35.00000      31.05000      30.05000        1.512368E+09
     35.00000      36.05000      35.05000        1.560158E+09
     35.00000      41.05000      40.05000        1.616784E+09
     35.00000      46.05000      45.05000        1.685210E+09
     35.00000      51.05000      50.05000        1.769926E+09
     35.00000      56.05000      55.05000        1.878114E+09
     35.00000      61.05000      60.05000        2.022074E+09
     35.00000      66.05000      65.05000        2.224941E+09
     35.00000      71.05000      70.05000        2.536420E+09
     35.00000      76.05000      75.05000        3.087633E+09
     35.00000      81.05000      80.05000        4.374970E+09
     35.00000      86.05001      85.05001        1.037758E+10
     35.00000      91.05000      90.05000        3.770512E+10
     35.00000      96.05000      95.05000        7.587597E+10
     35.00000     101.05000     100.05000        1.165427E+11
     35.00000     106.05000     105.05000        1.577837E+11
     35.00000     111.05000     110.05000        1.985263E+11
     35.00000     116.05000     115.05000        2.363936E+11
     35.00000     121.05000     120.05000        2.639641E+11
     35.00000     126.05000     125.05000        2.652941E+11
     35.00000     131.05000     130.05000        2.405185E+11
     35.00000     136.05000     135.05000        2.055048E+11
     35.00000     141.05001     140.05000        1.675773E+11
     35.00000     146.05001     145.05000        1.289937E+11
     35.00000     151.05000     150.05000        9.057044E+10
     35.00000     156.05000     155.05000        5.331733E+10
     35.00000     161.05000     160.05000        2.080981E+10
     35.00000     166.05001     165.05002        5.861314E+09
     35.00000     171.05000     170.05000        3.519363E+09
     35.00000     176.05001     175.05002        2.735214E+09
     35.00000     181.05000     180.05000        2.337950E+09
     35.00000     186.04999     185.05000        2.094355E+09
     35.00000     191.05000     190.05000        1.927960E+09
     35.00000     196.05000     195.05000        1.806154E+09
     35.00000     201.05001     200.05000        1.712589E+09
     35.00000     206.05000     205.05000        1.638114E+09
     35.00000     211.05001     210.05000        1.577187E+09
     35.00000     216.05000     215.05000        1.526242E+09
     35.00000     221.05001     220.05002        1.482870E+09
     35.00000     226.05000     225.05000        1.445388E+09
     35.00000     231.05001     230.05002        1.412576E+09
     35.00000     236.05000     235.05000        1.383530E+09
     35.00000     241.04999     240.05000        1.357565E+09
     35.00000     246.05000     245.05000        1.334152E+09
