

 One-dimensional plot values
 Input line #     112
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000       1.00000       0.00000        2.873721E-10
     35.00000       1.00333       0.00333        1.532929E-09
     35.00000       1.00667       0.00667        2.659143E-09
     35.00000       1.01000       0.01000        3.184157E-09
     35.00000       1.01333       0.01333        3.289233E-09
     35.00000       1.01667       0.01667        3.178583E-09
     35.00000       1.02000       0.02000        2.968409E-09
     35.00000       1.02333       0.02333        2.713274E-09
     35.00000       1.02667       0.02667        2.437908E-09
     35.00000       1.03000       0.03000        2.152939E-09
     35.00000       1.03333       0.03333        1.862036E-09
     35.00000       1.03667       0.03667        1.566310E-09
     35.00000       1.04000       0.04000        1.265315E-09
     35.00000       1.04333       0.04333        9.573558E-10
     35.00000       1.04667       0.04667        6.383200E-10
     35.00000       1.05000       0.05000        3.003883E-10
     35.00000       1.05000       0.05000        2.495421E+01
     35.00000       6.05000       5.05000        6.765603E+04
     35.00000      11.05000      10.05000        1.380390E+05
     35.00000      16.05000      15.05000        2.116718E+05
     35.00000      21.05000      20.05000        2.892204E+05
     35.00000      26.05000      25.05000        3.715729E+05
     35.00000      31.05000      30.05000        4.599430E+05
     35.00000      36.05000      35.05000        5.560280E+05
     35.00000      41.05000      40.05000        6.622886E+05
     35.00000      46.05000      45.05000        7.824394E+05
     35.00000      51.05000      50.05000        9.223915E+05
     35.00000      56.05000      55.05000        1.092226E+06
     35.00000      61.05000      60.05000        1.310803E+06
     35.00000      66.05000      65.05000        1.618445E+06
     35.00000      71.05000      70.05000        2.121085E+06
     35.00000      76.05000      75.05000        3.218926E+06
     35.00000      81.05000      80.05000        8.150725E+06
     35.00000      86.05001      85.05001        5.667689E+07
     35.00000      91.05000      90.05000        2.312935E+08
     35.00000      96.05000      95.05000        4.256290E+08
     35.00000     101.05000     100.05000        5.983767E+08
     35.00000     106.05000     105.05000        7.512705E+08
     35.00000     111.05000     110.05000        8.877444E+08
     35.00000     116.05000     115.05000        1.005500E+09
     35.00000     121.05000     120.05000        1.087099E+09
     35.00000     126.05000     125.05000        1.090964E+09
     35.00000     131.05000     130.05000        1.017910E+09
     35.00000     136.05000     135.05000        9.100264E+08
     35.00000     141.05001     140.05000        7.852054E+08
     35.00000     146.05001     145.05000        6.464905E+08
     35.00000     151.05000     150.05000        4.912767E+08
     35.00000     156.05000     155.05000        3.158322E+08
     35.00000     161.05000     160.05000        1.293791E+08
     35.00000     166.05001     165.05002        2.034309E+07
     35.00000     171.05000     170.05000        4.822734E+06
     35.00000     176.05001     175.05002        2.715906E+06
     35.00000     181.05000     180.05000        1.970685E+06
     35.00000     186.04999     185.05000        1.564532E+06
     35.00000     191.05000     190.05000        1.293968E+06
     35.00000     196.05000     195.05000        1.092078E+06
     35.00000     201.05001     200.05000        9.302002E+05
     35.00000     206.05000     205.05000        7.939012E+05
     35.00000     211.05001     210.05000        6.750674E+05
     35.00000     216.05000     215.05000        5.687613E+05
     35.00000     221.05001     220.05002        4.717960E+05
     35.00000     226.05000     225.05000        3.820150E+05
     35.00000     231.05001     230.05002        2.979030E+05
     35.00000     236.05000     235.05000        2.183659E+05
     35.00000     241.04999     240.05000        1.425901E+05
     35.00000     246.05000     245.05000        6.996388E+04
     35.00000     251.05000     250.05000        2.523615E+01
     35.00000     251.05000     250.05000        3.037814E-10
     35.00000     251.05333     250.05333        8.701790E-10
     35.00000     251.05666     250.05667        1.417324E-09
     35.00000     251.06000     250.06000        1.954676E-09
     35.00000     251.06333     250.06334        2.485116E-09
     35.00000     251.06667     250.06667        3.010698E-09
     35.00000     251.07000     250.07001        3.533021E-09
     35.00000     251.07333     250.07333        4.053009E-09
     35.00000     251.07667     250.07668        4.570710E-09
     35.00000     251.08000     250.08000        5.084936E-09
     35.00000     251.08334     250.08334        5.596251E-09
     35.00000     251.08667     250.08667        6.104247E-09
     35.00000     251.09001     250.09001        6.609992E-09
     35.00000     251.09334     250.09334        7.113607E-09
     35.00000     251.09667     250.09668        7.614166E-09
     35.00000     251.10001     250.10001        8.112753E-09
