

 One-dimensional plot values
 Input line #      86
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000       1.00000       0.00000        2.873720E-10
     35.00000       1.00333       0.00333        2.544037E-09
     35.00000       1.00667       0.00667        5.083123E-09
     35.00000       1.01000       0.01000        6.704585E-09
     35.00000       1.01333       0.01333        7.555383E-09
     35.00000       1.01667       0.01667        7.967167E-09
     35.00000       1.02000       0.02000        8.158342E-09
     35.00000       1.02333       0.02333        8.242417E-09
     35.00000       1.02667       0.02667        8.275633E-09
     35.00000       1.03000       0.03000        8.283372E-09
     35.00000       1.03333       0.03333        8.277963E-09
     35.00000       1.03667       0.03667        8.263783E-09
     35.00000       1.04000       0.04000        8.242075E-09
     35.00000       1.04333       0.04333        8.211382E-09
     35.00000       1.04667       0.04667        8.166380E-09
     35.00000       1.05000       0.05000        8.093922E-09
     35.00000       1.05000       0.05000        6.723893E+02
     35.00000       6.05000       5.05000        1.527963E+09
     35.00000      11.05000      10.05000        1.542719E+09
     35.00000      16.05000      15.05000        1.542729E+09
     35.00000      21.05000      20.05000        1.542729E+09
     35.00000      26.05000      25.05000        1.542729E+09
     35.00000      31.05000      30.05000        1.542729E+09
     35.00000      36.05000      35.05000        1.542729E+09
     35.00000      41.05000      40.05000        1.542729E+09
     35.00000      46.05000      45.05000        1.542729E+09
     35.00000      51.05000      50.05000        1.542729E+09
     35.00000      56.05000      55.05000        1.542729E+09
     35.00000      61.05000      60.05000        1.542729E+09
     35.00000      66.05000      65.05000        1.542729E+09
     35.00000      71.05000      70.05000        1.542729E+09
     35.00000      76.05000      75.05000        1.542729E+09
     35.00000      81.05000      80.05000        1.542729E+09
     35.00000      86.05001      85.05001        1.542729E+09
     35.00000      91.05000      90.05000        1.542729E+09
     35.00000      96.05000      95.05000        1.542729E+09
     35.00000     101.05000     100.05000        1.542729E+09
     35.00000     106.05000     105.05000        1.542729E+09
     35.00000     111.05000     110.05000        1.542729E+09
     35.00000     116.05000     115.05000        1.542729E+09
     35.00000     121.05000     120.05000        1.542729E+09
     35.00000     126.05000     125.05000        1.542729E+09
     35.00000     131.05000     130.05000        1.542729E+09
     35.00000     136.05000     135.05000        1.542729E+09
     35.00000     141.05001     140.05000        1.542729E+09
     35.00000     146.05001     145.05000        1.542729E+09
     35.00000     151.05000     150.05000        1.542729E+09
     35.00000     156.05000     155.05000        1.542729E+09
     35.00000     161.05000     160.05000        1.542729E+09
     35.00000     166.05001     165.05002        1.542729E+09
     35.00000     171.05000     170.05000        1.542729E+09
     35.00000     176.05001     175.05002        1.542729E+09
     35.00000     181.05000     180.05000        1.542729E+09
     35.00000     186.04999     185.05000        1.542729E+09
     35.00000     191.05000     190.05000        1.542729E+09
     35.00000     196.05000     195.05000        1.542729E+09
     35.00000     201.05001     200.05000        1.542729E+09
     35.00000     206.05000     205.05000        1.542729E+09
     35.00000     211.05001     210.05000        1.542729E+09
     35.00000     216.05000     215.05000        1.542729E+09
     35.00000     221.05001     220.05002        1.542729E+09
     35.00000     226.05000     225.05000        1.542729E+09
     35.00000     231.05001     230.05002        1.542729E+09
     35.00000     236.05000     235.05000        1.542729E+09
     35.00000     241.04999     240.05000        1.542719E+09
     35.00000     246.05000     245.05000        1.527963E+09
     35.00000     251.05000     250.05000        6.723894E+02
     35.00000     251.05000     250.05000        8.093924E-09
     35.00000     251.05333     250.05333        8.145025E-09
     35.00000     251.05666     250.05667        8.169644E-09
     35.00000     251.06000     250.06000        8.181030E-09
     35.00000     251.06333     250.06334        8.186341E-09
     35.00000     251.06667     250.06667        8.187580E-09
     35.00000     251.07000     250.07001        8.187015E-09
     35.00000     251.07333     250.07333        8.184008E-09
     35.00000     251.07667     250.07668        8.178932E-09
     35.00000     251.08000     250.08000        8.172798E-09
     35.00000     251.08334     250.08334        8.165685E-09
     35.00000     251.08667     250.08667        8.157615E-09
     35.00000     251.09001     250.09001        8.148315E-09
     35.00000     251.09334     250.09334        8.137995E-09
     35.00000     251.09667     250.09668        8.125773E-09
     35.00000     251.10001     250.10001        8.112745E-09
