

 One-dimensional plot values
 Input line #      83
  X (Microns)   Y (Microns)  Distance (Microns) Photogeneration (pairs/cm^3)  
     22.50000     248.54999     247.54999        2.024860E+03
     22.50000     251.05000     250.05000        4.050496E+03
     22.50000     251.05165     250.05165        6.745995E+03
     22.50000     251.05499     250.05499        9.436690E+03
     22.50000     251.05832     250.05832        9.427874E+03
     22.50000     251.06166     250.06166        9.436690E+03
     22.50000     251.06499     250.06499        9.427874E+03
     22.50000     251.06832     250.06833        9.436690E+03
     22.50000     251.07166     250.07166        9.427874E+03
     22.50000     251.07499     250.07500        9.436690E+03
     22.50000     251.07833     250.07832        9.427874E+03
     22.50000     251.08166     250.08167        9.436690E+03
     22.50000     251.08499     250.08499        9.427874E+03
     22.50000     251.08833     250.08833        9.436690E+03
     22.50000     251.09166     250.09166        9.427874E+03
     22.50000     251.09500     250.09500        9.436690E+03
     22.50000     251.09833     250.09833        5.854455E+03
