

 One-dimensional plot values
 Input line #     176
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        6.276700E+12
     35.00000      40.40000      40.40000        1.305065E+12
     35.00000      60.40000      60.40001        2.998183E+11
     35.00000      80.40000      80.39999        1.252782E+11
     35.00000     100.40000     100.40000        9.004037E+10
     35.00000     120.40000     120.40000        7.536449E+10
     35.00000     140.40001     140.40001        6.623126E+10
     35.00000     160.40001     160.40001        5.981455E+10
     35.00000     180.40000     180.39999        5.500211E+10
     35.00000     200.40000     200.39999        5.123661E+10
     35.00000     220.40000     220.40001        4.819992E+10
     35.00000     240.40001     240.40001        4.569405E+10
     35.00000     260.40001     260.39999        4.358869E+10
     35.00000     280.40001     280.40002        4.179371E+10
     35.00000     300.40001     300.40002        4.024479E+10
     35.00000     320.40000     320.39999        3.889428E+10
     35.00000     340.40000     340.39999        3.770640E+10
     35.00000     360.40001     360.39999        3.665367E+10
     35.00000     380.40001     380.40002        3.571422E+10
     35.00000     400.40001     400.40002        3.487091E+10
     35.00000     420.40002     420.40002        3.410985E+10
     35.00000     440.40002     440.40002        3.341959E+10
     35.00000     460.40002     460.40002        3.279079E+10
     35.00000     480.40003     480.40002        3.221560E+10
     35.00000     500.40003     500.40002        3.168749E+10
     35.00000     520.40000     520.40002        3.120085E+10
     35.00000     540.40000     540.40002        3.075110E+10
     35.00000     560.40000     560.40002        3.033414E+10
     35.00000     580.40000     580.40002        2.994650E+10
     35.00000     600.40001     600.40002        2.958524E+10
     35.00000     620.40001     620.40002        2.924792E+10
     35.00000     640.40005     640.40002        2.893217E+10
     35.00000     660.40002     660.40002        2.863623E+10
     35.00000     680.39998     680.39996        2.835839E+10
     35.00000     700.40002     700.40002        2.809730E+10
     35.00000     720.39999     720.39996        2.785171E+10
     35.00000     740.40003     740.40002        2.762057E+10
     35.00000     760.40000     760.40002        2.740308E+10
     35.00000     780.40004     780.40002        2.719842E+10
     35.00000     800.40000     800.40002        2.700601E+10
     35.00000     820.40004     820.40002        2.682527E+10
     35.00000     840.40001     840.40002        2.665586E+10
     35.00000     860.40005     860.40002        2.649730E+10
     35.00000     880.40002     880.40002        2.634934E+10
     35.00000     900.40006     900.40009        2.621170E+10
     35.00000     920.40002     920.40002        2.608429E+10
     35.00000     940.39999     940.39996        2.596684E+10
     35.00000     960.40003     960.40002        2.585935E+10
     35.00000     980.40000     980.40002        2.498911E+10
     35.00000    1000.40004    1000.40002        9.999956E+17
     35.00000    1000.41002    1000.41003        1.000000E+18
     35.00000    1000.42336    1000.42334        1.000000E+18
     35.00000    1000.43334    1000.43335        1.000000E+18
