

 One-dimensional plot values
 Input line #     122
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        5.583178E+04
     22.50000      20.40000      20.40000        1.161381E+06
     22.50000      30.39998      30.39998        5.293780E+06
     22.50000      40.40000      40.40000        2.408993E+07
     22.50000      50.39999      50.39999        1.044285E+08
     22.50000      60.40000      60.40001        4.774862E+08
     22.50000      70.39999      70.39999        2.559519E+09
     22.50000      80.40000      80.39999        1.306080E+10
     22.50000      90.39998      90.39998        1.948402E+10
     22.50000     100.40000     100.40000        2.818171E+10
     22.50000     110.39998     110.39999        2.726288E+10
     22.50000     120.40000     120.40000        2.628935E+10
     22.50000     130.39999     130.39999        2.565585E+10
     22.50000     140.40001     140.40001        2.502096E+10
     22.50000     150.39999     150.39999        2.469764E+10
     22.50000     160.40001     160.40001        2.437185E+10
     22.50000     170.39999     170.39999        2.417198E+10
     22.50000     180.40000     180.39999        2.397080E+10
     22.50000     190.39998     190.39998        2.382606E+10
     22.50000     200.40000     200.39999        2.368075E+10
     22.50000     210.39998     210.39998        2.356160E+10
     22.50000     220.40000     220.40001        2.344238E+10
     22.50000     230.39998     230.39998        2.333443E+10
     22.50000     240.40001     240.40001        2.322656E+10
     22.50000     250.39999     250.39999        2.312193E+10
     22.50000     260.40001     260.39999        2.301753E+10
     22.50000     270.39999     270.39999        2.291158E+10
     22.50000     280.40001     280.40002        2.280596E+10
     22.50000     290.39999     290.39999        2.269571E+10
     22.50000     300.40001     300.40002        2.258583E+10
     22.50000     310.40000     310.39999        2.246923E+10
     22.50000     320.40000     320.39999        2.235319E+10
     22.50000     330.39998     330.39999        2.222881E+10
     22.50000     340.40000     340.39999        2.210507E+10
     22.50000     350.39999     350.39999        2.197175E+10
     22.50000     360.40001     360.39999        2.183922E+10
     22.50000     370.39999     370.39999        2.169606E+10
     22.50000     380.40001     380.40002        2.155384E+10
     22.50000     390.39999     390.39999        2.140010E+10
     22.50000     400.40001     400.40002        2.124745E+10
     22.50000     410.40000     410.39999        2.108246E+10
     22.50000     420.40002     420.40002        2.091870E+10
     22.50000     430.40000     430.39999        2.074182E+10
     22.50000     440.40002     440.40002        2.056639E+10
     22.50000     450.40000     450.39999        2.037713E+10
     22.50000     460.40002     460.40002        2.018957E+10
     22.50000     470.40001     470.39999        1.998736E+10
     22.50000     480.40003     480.40002        1.978718E+10
     22.50000     490.40001     490.39999        1.957163E+10
     22.50000     500.40003     500.40002        1.935842E+10
     22.50000     510.40001     510.40002        1.912909E+10
     22.50000     520.40000     520.40002        1.890248E+10
     22.50000     530.39998     530.39996        1.865904E+10
     22.50000     540.40000     540.40002        1.841869E+10
     22.50000     550.39998     550.39996        1.816085E+10
     22.50000     560.40000     560.40002        1.790658E+10
     22.50000     570.39998     570.39996        1.763406E+10
     22.50000     580.40000     580.40002        1.736560E+10
     22.50000     590.39999     590.39996        1.707815E+10
     22.50000     600.40001     600.40002        1.679547E+10
     22.50000     610.39999     610.39996        1.649303E+10
     22.50000     620.40001     620.40002        1.619597E+10
     22.50000     630.40003     630.40002        1.587840E+10
     22.50000     640.40005     640.40002        1.556705E+10
     22.50000     650.40000     650.40002        1.523439E+10
     22.50000     660.40002     660.40002        1.490881E+10
     22.50000     670.39996     670.39996        1.456112E+10
     22.50000     680.39998     680.39996        1.422147E+10
     22.50000     690.40000     690.40002        1.385883E+10
     22.50000     700.40002     700.40002        1.350543E+10
     22.50000     710.39997     710.39996        1.312805E+10
     22.50000     720.39999     720.39996        1.276122E+10
     22.50000     730.40001     730.40002        1.236941E+10
     22.50000     740.40003     740.40002        1.198958E+10
     22.50000     750.39998     750.39996        1.158358E+10
     22.50000     760.40000     760.40002        1.119133E+10
     22.50000     770.40002     770.40002        1.077155E+10
     22.50000     780.40004     780.40002        1.036749E+10
     22.50000     790.39998     790.39996        9.934317E+09
     22.50000     800.40000     800.40002        9.519222E+09
     22.50000     810.40002     810.40002        9.073047E+09
     22.50000     820.40004     820.40002        8.647747E+09
     22.50000     830.39999     830.39996        8.188947E+09
     22.50000     840.40001     840.40002        7.754453E+09
     22.50000     850.40003     850.40002        7.283338E+09
     22.50000     860.40005     860.40002        6.840814E+09
     22.50000     870.40000     870.40002        6.357545E+09
     22.50000     880.40002     880.40002        5.908389E+09
     22.50000     890.40004     890.40002        5.412804E+09
     22.50000     900.40006     900.40009        4.958787E+09
     22.50000     910.40000     910.40002        4.450130E+09
     22.50000     920.40002     920.40002        3.993631E+09
     22.50000     930.39997     930.39996        3.469767E+09
     22.50000     940.39999     940.39996        3.014615E+09
     22.50000     950.40001     950.40002        2.469785E+09
     22.50000     960.40003     960.40002        2.023413E+09
     22.50000     970.39998     970.39996        1.437804E+09
     22.50000     980.40000     980.40002        1.021679E+09
     22.50000     990.40002     990.40002        1.413115E+06
     22.50000    1000.40004    1000.40002        1.954478E+03
     22.50000    1000.40004    1000.40002        2.352714E-08
     22.50000    1000.41002    1000.41003        2.801739E-08
     22.50000    1000.42164    1000.42163        3.324739E-08
     22.50000    1000.43163    1000.43164        3.773833E-08
