

 One-dimensional plot values
 Input line #     174
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        1.755412E+10
     22.50000      20.40000      20.40000        1.528838E+10
     22.50000      30.39998      30.39998        1.605623E+10
     22.50000      40.40000      40.40000        1.613115E+10
     22.50000      50.39999      50.39999        1.608570E+10
     22.50000      60.40000      60.40001        1.589504E+10
     22.50000      70.39999      70.39999        1.572074E+10
     22.50000      80.40000      80.39999        1.551187E+10
     22.50000      90.39998      90.39998        1.532058E+10
     22.50000     100.40000     100.40000        1.512187E+10
     22.50000     110.39998     110.39999        1.493102E+10
     22.50000     120.40000     120.40000        1.473992E+10
     22.50000     130.39999     130.39999        1.455268E+10
     22.50000     140.40001     140.40001        1.436708E+10
     22.50000     150.39999     150.39999        1.418398E+10
     22.50000     160.40001     160.40001        1.400300E+10
     22.50000     170.39999     170.39999        1.382390E+10
     22.50000     180.40000     180.39999        1.364704E+10
     22.50000     190.39998     190.39998        1.347172E+10
     22.50000     200.40000     200.39999        1.329869E+10
     22.50000     210.39998     210.39998        1.312696E+10
     22.50000     220.40000     220.40001        1.295741E+10
     22.50000     230.39998     230.39998        1.278896E+10
     22.50000     240.40001     240.40001        1.262268E+10
     22.50000     250.39999     250.39999        1.245724E+10
     22.50000     260.40001     260.39999        1.229397E+10
     22.50000     270.39999     270.39999        1.213132E+10
     22.50000     280.40001     280.40002        1.197080E+10
     22.50000     290.39999     290.39999        1.181066E+10
     22.50000     300.40001     300.40002        1.165264E+10
     22.50000     310.40000     310.39999        1.149477E+10
     22.50000     320.40000     320.39999        1.133903E+10
     22.50000     330.39998     330.39999        1.118317E+10
     22.50000     340.40000     340.39999        1.102945E+10
     22.50000     350.39999     350.39999        1.087539E+10
     22.50000     360.40001     360.39999        1.072345E+10
     22.50000     370.39999     370.39999        1.057089E+10
     22.50000     380.40001     380.40002        1.042051E+10
     22.50000     390.39999     390.39999        1.026927E+10
     22.50000     400.40001     400.40002        1.012022E+10
     22.50000     410.40000     410.39999        9.970027E+09
     22.50000     420.40002     420.40002        9.822064E+09
     22.50000     430.40000     430.39999        9.672685E+09
     22.50000     440.40002     440.40002        9.525558E+09
     22.50000     450.40000     450.39999        9.376735E+09
     22.50000     460.40002     460.40002        9.230236E+09
     22.50000     470.40001     470.39999        9.081738E+09
     22.50000     480.40003     480.40002        8.935629E+09
     22.50000     490.40001     490.39999        8.787219E+09
     22.50000     500.40003     500.40002        8.641255E+09
     22.50000     510.40001     510.40002        8.492679E+09
     22.50000     520.40000     520.40002        8.346639E+09
     22.50000     530.39998     530.39996        8.197601E+09
     22.50000     540.40000     540.40002        8.051223E+09
     22.50000     550.39998     550.39996        7.901488E+09
     22.50000     560.40000     560.40002        7.754538E+09
     22.50000     570.39998     570.39996        7.603823E+09
     22.50000     580.40000     580.40002        7.456037E+09
     22.50000     590.39999     590.39996        7.304079E+09
     22.50000     600.40001     600.40002        7.155202E+09
     22.50000     610.39999     610.39996        7.001698E+09
     22.50000     620.40001     620.40002        6.851488E+09
     22.50000     630.40003     630.40002        6.696129E+09
     22.50000     640.40005     640.40002        6.544292E+09
     22.50000     650.40000     650.40002        6.386733E+09
     22.50000     660.40002     660.40002        6.232968E+09
     22.50000     670.39996     670.39996        6.072882E+09
     22.50000     680.39998     680.39996        5.916907E+09
     22.50000     690.40000     690.40002        5.753948E+09
     22.50000     700.40002     700.40002        5.595464E+09
     22.50000     710.39997     710.39996        5.429243E+09
     22.50000     720.39999     720.39996        5.267960E+09
     22.50000     730.40001     730.40002        5.098017E+09
     22.50000     740.40003     740.40002        4.933556E+09
     22.50000     750.39998     750.39996        4.759421E+09
     22.50000     760.40000     760.40002        4.591422E+09
     22.50000     770.40002     770.40002        4.412578E+09
     22.50000     780.40004     780.40002        4.240691E+09
     22.50000     790.39998     790.39996        4.056589E+09
     22.50000     800.40000     800.40002        3.880479E+09
     22.50000     810.40002     810.40002        3.690500E+09
     22.50000     820.40004     820.40002        3.509823E+09
     22.50000     830.39999     830.39996        3.313133E+09
     22.50000     840.40001     840.40002        3.127466E+09
     22.50000     850.40003     850.40002        2.923097E+09
     22.50000     860.40005     860.40002        2.732089E+09
     22.50000     870.40000     870.40002        2.518905E+09
     22.50000     880.40002     880.40002        2.322355E+09
     22.50000     890.40004     890.40002        2.098882E+09
     22.50000     900.40006     900.40009        1.896909E+09
     22.50000     910.40000     910.40002        1.660889E+09
     22.50000     920.40002     920.40002        1.454233E+09
     22.50000     930.39997     930.39996        1.201164E+09
     22.50000     940.39999     940.39996        9.921324E+08
     22.50000     950.40001     950.40002        7.101589E+08
     22.50000     960.40003     960.40002        5.083250E+08
     22.50000     970.39998     970.39996        1.863228E+07
     22.50000     980.40000     980.40002        6.829452E+05
     22.50000     990.40002     990.40002        3.342598E+09
     22.50000    1000.40004    1000.40002        1.636043E+13
     22.50000    1000.40168    1000.40167        2.474568E+12
     22.50000    1000.41166    1000.41168        2.313458E+09
     22.50000    1000.42336    1000.42334        1.659442E+08
     22.50000    1000.43334    1000.43335        7.716014E+07
