

 One-dimensional plot values
 Input line #     175
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        1.075389E+11
     22.50000      20.40000      20.40000        1.018114E+11
     22.50000      30.39998      30.39998        1.027865E+11
     22.50000      40.40000      40.40000        1.028848E+11
     22.50000      50.39999      50.39999        1.028263E+11
     22.50000      60.40000      60.40001        1.025762E+11
     22.50000      70.39999      70.39999        1.023507E+11
     22.50000      80.40000      80.39999        1.020771E+11
     22.50000      90.39998      90.39998        1.018295E+11
     22.50000     100.40000     100.40000        1.015691E+11
     22.50000     110.39998     110.39999        1.013218E+11
     22.50000     120.40000     120.40000        1.010714E+11
     22.50000     130.39999     130.39999        1.008286E+11
     22.50000     140.40001     140.40001        1.005856E+11
     22.50000     150.39999     150.39999        1.003480E+11
     22.50000     160.40001     160.40001        1.001107E+11
     22.50000     170.39999     170.39999        9.987842E+10
     22.50000     180.40000     180.39999        9.964643E+10
     22.50000     190.39998     190.39998        9.941890E+10
     22.50000     200.40000     200.39999        9.919189E+10
     22.50000     210.39998     210.39998        9.896910E+10
     22.50000     220.40000     220.40001        9.874659E+10
     22.50000     230.39998     230.39998        9.852782E+10
     22.50000     240.40001     240.40001        9.830954E+10
     22.50000     250.39999     250.39999        9.809476E+10
     22.50000     260.40001     260.39999        9.788023E+10
     22.50000     270.39999     270.39999        9.766896E+10
     22.50000     280.40001     280.40002        9.745815E+10
     22.50000     290.39999     290.39999        9.725014E+10
     22.50000     300.40001     300.40002        9.704236E+10
     22.50000     310.40000     310.39999        9.683716E+10
     22.50000     320.40000     320.39999        9.663238E+10
     22.50000     330.39998     330.39999        9.642995E+10
     22.50000     340.40000     340.39999        9.622772E+10
     22.50000     350.39999     350.39999        9.602740E+10
     22.50000     360.40001     360.39999        9.582728E+10
     22.50000     370.39999     370.39999        9.562906E+10
     22.50000     380.40001     380.40002        9.543103E+10
     22.50000     390.39999     390.39999        9.523445E+10
     22.50000     400.40001     400.40002        9.503808E+10
     22.50000     410.40000     410.39999        9.484273E+10
     22.50000     420.40002     420.40002        9.464758E+10
     22.50000     430.40000     430.39999        9.445324E+10
     22.50000     440.40002     440.40002        9.425930E+10
     22.50000     450.40000     450.39999        9.406576E+10
     22.50000     460.40002     460.40002        9.387242E+10
     22.50000     470.40001     470.39999        9.367926E+10
     22.50000     480.40003     480.40002        9.348629E+10
     22.50000     490.40001     490.39999        9.329332E+10
     22.50000     500.40003     500.40002        9.310054E+10
     22.50000     510.40001     510.40002        9.290713E+10
     22.50000     520.40000     520.40002        9.271413E+10
     22.50000     530.39998     530.39996        9.252031E+10
     22.50000     540.40000     540.40002        9.232669E+10
     22.50000     550.39998     550.39996        9.213186E+10
     22.50000     560.40000     560.40002        9.193724E+10
     22.50000     570.39998     570.39996        9.174121E+10
     22.50000     580.40000     580.40002        9.154540E+10
     22.50000     590.39999     590.39996        9.134781E+10
     22.50000     600.40001     600.40002        9.115044E+10
     22.50000     610.39999     610.39996        9.095070E+10
     22.50000     620.40001     620.40002        9.075140E+10
     22.50000     630.40003     630.40002        9.054935E+10
     22.50000     640.40005     640.40002        9.034775E+10
     22.50000     650.40000     650.40002        9.014284E+10
     22.50000     660.40002     660.40002        8.993840E+10
     22.50000     670.39996     670.39996        8.973028E+10
     22.50000     680.39998     680.39996        8.952265E+10
     22.50000     690.40000     690.40002        8.931098E+10
     22.50000     700.40002     700.40002        8.909981E+10
     22.50000     710.39997     710.39996        8.888407E+10
     22.50000     720.39999     720.39996        8.866865E+10
     22.50000     730.40001     730.40002        8.844832E+10
     22.50000     740.40003     740.40002        8.822835E+10
     22.50000     750.39998     750.39996        8.800273E+10
     22.50000     760.40000     760.40002        8.777750E+10
     22.50000     770.40002     770.40002        8.754612E+10
     22.50000     780.40004     780.40002        8.731535E+10
     22.50000     790.39998     790.39996        8.707753E+10
     22.50000     800.40000     800.40002        8.684018E+10
     22.50000     810.40002     810.40002        8.659548E+10
     22.50000     820.40004     820.40002        8.635129E+10
     22.50000     830.39999     830.39996        8.609851E+10
     22.50000     840.40001     840.40002        8.584648E+10
     22.50000     850.40003     850.40002        8.558504E+10
     22.50000     860.40005     860.40002        8.532420E+10
     22.50000     870.40000     870.40002        8.505296E+10
     22.50000     880.40002     880.40002        8.478276E+10
     22.50000     890.40004     890.40002        8.450098E+10
     22.50000     900.40006     900.40009        8.421996E+10
     22.50000     910.40000     910.40002        8.392660E+10
     22.50000     920.40002     920.40002        8.363427E+10
     22.50000     930.39997     930.39996        8.332776E+10
     22.50000     940.39999     940.39996        8.302220E+10
     22.50000     950.40001     950.40002        8.270104E+10
     22.50000     960.40003     960.40002        8.238095E+10
     22.50000     970.39998     970.39996        8.201184E+10
     22.50000     980.40000     980.40002        8.164438E+10
     22.50000     990.40002     990.40002        4.328684E+07
     22.50000    1000.40004    1000.40002        2.295168E+04
     22.50000    1000.40004    1000.40002        2.762822E-07
     22.50000    1000.41002    1000.41003        9.537111E+00
     22.50000    1000.42164    1000.42163        2.003482E+02
     22.50000    1000.43163    1000.43164        4.909539E+02
