

 One-dimensional plot values
 Input line #     177
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        8.166769E+10
     35.00000      40.40000      40.40000        9.767197E+10
     35.00000      60.40000      60.40001        1.011422E+11
     35.00000      80.40000      80.39999        1.016827E+11
     35.00000     100.40000     100.40000        1.014610E+11
     35.00000     120.40000     120.40000        1.010419E+11
     35.00000     140.40001     140.40001        1.005774E+11
     35.00000     160.40001     160.40001        1.001085E+11
     35.00000     180.40000     180.39999        9.964577E+10
     35.00000     200.40000     200.39999        9.919189E+10
     35.00000     220.40000     220.40001        9.874659E+10
     35.00000     240.40001     240.40001        9.830954E+10
     35.00000     260.40001     260.39999        9.788023E+10
     35.00000     280.40001     280.40002        9.745815E+10
     35.00000     300.40001     300.40002        9.704236E+10
     35.00000     320.40000     320.39999        9.663238E+10
     35.00000     340.40000     340.39999        9.622772E+10
     35.00000     360.40001     360.39999        9.582728E+10
     35.00000     380.40001     380.40002        9.543103E+10
     35.00000     400.40001     400.40002        9.503808E+10
     35.00000     420.40002     420.40002        9.464758E+10
     35.00000     440.40002     440.40002        9.425930E+10
     35.00000     460.40002     460.40002        9.387242E+10
     35.00000     480.40003     480.40002        9.348629E+10
     35.00000     500.40003     500.40002        9.310054E+10
     35.00000     520.40000     520.40002        9.271413E+10
     35.00000     540.40000     540.40002        9.232669E+10
     35.00000     560.40000     560.40002        9.193724E+10
     35.00000     580.40000     580.40002        9.154540E+10
     35.00000     600.40001     600.40002        9.115044E+10
     35.00000     620.40001     620.40002        9.075140E+10
     35.00000     640.40005     640.40002        9.034775E+10
     35.00000     660.40002     660.40002        8.993840E+10
     35.00000     680.39998     680.39996        8.952265E+10
     35.00000     700.40002     700.40002        8.909981E+10
     35.00000     720.39999     720.39996        8.866865E+10
     35.00000     740.40003     740.40002        8.822835E+10
     35.00000     760.40000     760.40002        8.777750E+10
     35.00000     780.40004     780.40002        8.731535E+10
     35.00000     800.40000     800.40002        8.684018E+10
     35.00000     820.40004     820.40002        8.635129E+10
     35.00000     840.40001     840.40002        8.584648E+10
     35.00000     860.40005     860.40002        8.532420E+10
     35.00000     880.40002     880.40002        8.478257E+10
     35.00000     900.40006     900.40009        8.421996E+10
     35.00000     920.40002     920.40002        8.363408E+10
     35.00000     940.39999     940.39996        8.302220E+10
     35.00000     960.40003     960.40002        8.238095E+10
     35.00000     980.40000     980.40002        8.164438E+10
     35.00000    1000.40004    1000.40002        2.294876E+04
     35.00000    1000.40004    1000.40002        2.762467E-07
     35.00000    1000.41002    1000.41003        9.537175E+00
     35.00000    1000.42336    1000.42334        2.515436E+02
     35.00000    1000.43334    1000.43335        5.392976E+02
