

 One-dimensional plot values
 Input line #     143
  X (Microns)   Y (Microns)  Distance (Microns) Photogeneration (pairs/cm^3)  
     10.00000       0.35000       0.35000        1.736936E+06
     10.00000       0.35333       0.35333        1.021578E+06
     10.00000       0.35667       0.35667        1.137273E+06
     10.00000       0.36000       0.36000        1.265382E+06
     10.00000       0.36333       0.36333        1.407114E+06
     10.00000       0.36667       0.36667        1.662475E+05
     10.00000       0.38333       0.38333        4.979689E+06
     10.00000       0.38667       0.38667        2.913097E+06
     10.00000       0.39000       0.39000        3.225017E+06
     10.00000       0.39333       0.39333        3.568384E+06
     10.00000       0.39667       0.39667        3.946113E+06
     10.00000       0.40000       0.40000        3.426789E+10
     10.00000      20.40000      20.40000        4.144350E+10
     10.00000      40.40000      40.40000        4.909359E+10
     10.00000      60.40000      60.40001        5.674408E+10
     10.00000      80.40000      80.39999        6.439529E+10
     10.00000     100.40000     100.40000        7.624254E+10
     10.00000     120.40000     120.40000        9.272533E+10
     10.00000     140.40001     140.40001        1.092136E+11
     10.00000     160.40001     160.40001        1.257062E+11
     10.00000     180.40000     180.39999        1.421919E+11
     10.00000     200.40000     200.39999        1.673094E+11
     10.00000     220.40000     220.40001        2.039513E+11
     10.00000     240.40001     240.40001        2.406479E+11
     10.00000     260.40001     260.39999        2.773453E+11
     10.00000     280.40001     280.40002        3.140500E+11
     10.00000     300.40001     300.40002        3.677597E+11
     10.00000     320.40000     320.39999        4.487330E+11
     10.00000     340.40000     340.39999        5.300450E+11
     10.00000     360.40001     360.39999        6.113799E+11
     10.00000     380.40001     380.40002        6.926871E+11
     10.00000     400.40001     400.40002        8.075658E+11
     10.00000     420.40002     420.40002        9.864061E+11
     10.00000     440.40002     440.40002        1.166788E+12
     10.00000     460.40002     460.40002        1.347187E+12
     10.00000     480.40003     480.40002        1.527523E+12
     10.00000     500.40003     500.40002        1.773818E+12
     10.00000     520.40000     520.40002        2.169349E+12
     10.00000     540.40000     540.40002        2.570626E+12
     10.00000     560.40000     560.40002        2.971715E+12
     10.00000     580.40000     580.40002        3.373020E+12
     10.00000     600.40001     600.40002        3.900256E+12
     10.00000     620.40001     620.40002        4.766251E+12
     10.00000     640.40005     640.40002        5.650757E+12
     10.00000     660.40002     660.40002        6.535575E+12
     10.00000     680.39998     680.39996        7.420136E+12
     10.00000     700.40002     700.40002        8.548399E+12
     10.00000     720.39999     720.39996        1.045512E+13
     10.00000     740.40003     740.40002        1.241987E+13
     10.00000     760.40000     760.40002        1.438492E+13
     10.00000     780.40004     780.40002        1.635027E+13
     10.00000     800.40000     800.40002        1.877503E+13
     10.00000     820.40004     820.40002        2.295494E+13
     10.00000     840.40001     840.40002        2.730715E+13
     10.00000     860.40005     860.40002        3.165981E+13
     10.00000     880.40002     880.40002        3.601095E+13
     10.00000     900.40006     900.40009        4.124305E+13
     10.00000     920.40002     920.40002        5.050050E+13
     10.00000     940.39999     940.39996        6.025645E+13
     10.00000     960.40003     960.40002        7.001145E+13
     10.00000     980.40000     980.40002        7.976976E+13
     10.00000    1000.40004    1000.40002        8.507089E+13
     10.00000    1000.40339    1000.40338        1.469074E+12
     10.00000    1000.41337    1000.41339        1.218161E+12
     10.00000    1000.42671    1000.42670        9.040332E+11
     10.00000    1000.43669    1000.43671        7.278413E+11
