

 One-dimensional plot values
 Input line #      97
  X (Microns)   Y (Microns)  Distance (Microns) Potential (Volts)             
     10.00000       0.10000       0.10000        3.286357E+00
     10.00000       0.18333       0.18333        3.286357E+00
     10.00000       0.26667       0.26667        3.286357E+00
     10.00000       0.35000       0.35000        3.286357E+00
     10.00000       0.35000       0.35000        8.635686E-02
     10.00000       0.35333       0.35333        8.635686E-02
     10.00000       0.35667       0.35667        8.635686E-02
     10.00000       0.36000       0.36000        8.635686E-02
     10.00000       0.36333       0.36333        8.635686E-02
     10.00000       0.36667       0.36667        8.635686E-02
     10.00000       0.36667       0.36667        0.000000E+00
     10.00000       0.37000       0.37000        0.000000E+00
     10.00000       0.37333       0.37333        0.000000E+00
     10.00000       0.37667       0.37667        0.000000E+00
     10.00000       0.38000       0.38000        0.000000E+00
     10.00000       0.38333       0.38333        0.000000E+00
     10.00000       0.38333       0.38333        8.635686E-02
     10.00000       0.38667       0.38667        8.635388E-02
     10.00000       0.39000       0.39000        8.634895E-02
     10.00000       0.39333       0.39333        8.633886E-02
     10.00000       0.39667       0.39667        8.631700E-02
     10.00000       0.40000       0.40000        8.626907E-02
     10.00000       5.40000       5.40000        3.850732E-01
     10.00000      10.40000      10.40000        3.753545E-01
     10.00000      15.40000      15.40000        3.675096E-01
     10.00000      20.40000      20.40000        3.611163E-01
     10.00000      25.40000      25.40000        3.557133E-01
     10.00000      30.40000      30.40000        3.510602E-01
     10.00000      35.40000      35.40000        3.470200E-01
     10.00000      40.40000      40.40000        3.434900E-01
     10.00000      45.40000      45.40000        3.403784E-01
     10.00000      50.40000      50.40000        3.375988E-01
     10.00000      55.40000      55.40000        3.350721E-01
     10.00000      60.40000      60.40000        3.327281E-01
     10.00000      65.40000      65.40000        3.305064E-01
     10.00000      70.40000      70.40000        3.283561E-01
     10.00000      75.40000      75.39999        3.262352E-01
     10.00000      80.40000      80.39999        3.241084E-01
     10.00000      85.40000      85.40000        3.219459E-01
     10.00000      90.40000      90.40000        3.197216E-01
     10.00000      95.40000      95.40000        3.174118E-01
     10.00000     100.40000     100.40000        3.149933E-01
     10.00000     105.40000     105.40000        3.124422E-01
     10.00000     110.39999     110.39999        3.097320E-01
     10.00000     115.39999     115.39999        3.068320E-01
     10.00000     120.39999     120.39999        3.037038E-01
     10.00000     125.40000     125.39999        3.002978E-01
     10.00000     130.40000     130.39999        2.965465E-01
     10.00000     135.40000     135.39999        2.923539E-01
     10.00000     140.40000     140.39999        2.875750E-01
     10.00000     145.40000     145.39999        2.819769E-01
     10.00000     150.40000     150.39999        2.751515E-01
     10.00000     155.40000     155.39999        2.662956E-01
     10.00000     160.39999     160.39999        2.535253E-01
     10.00000     165.40000     165.40001        2.309532E-01
     10.00000     170.39999     170.39999        1.711089E-01
     10.00000     175.40000     175.40001       -8.580308E-02
     10.00000     180.40000     180.39999       -6.668963E-01
     10.00000     185.39999     185.39999       -1.476102E+00
     10.00000     190.40000     190.39999       -2.454274E+00
     10.00000     195.39999     195.39999       -3.565480E+00
     10.00000     200.40000     200.39999       -4.785747E+00
     10.00000     205.39999     205.39999       -6.097963E+00
     10.00000     210.40000     210.39999       -7.489310E+00
     10.00000     215.39999     215.39999       -8.949844E+00
     10.00000     220.40000     220.40001       -1.047165E+01
     10.00000     225.39999     225.39999       -1.204829E+01
     10.00000     230.40000     230.40001       -1.367444E+01
     10.00000     235.39999     235.39999       -1.534564E+01
     10.00000     240.39999     240.39999       -1.705814E+01
     10.00000     245.40000     245.39999       -1.880870E+01
     10.00000     250.39999     250.39999       -2.071373E+01
     10.00000     250.40332     250.40332       -2.071368E+01
     10.00000     250.40666     250.40666       -2.071366E+01
     10.00000     250.40999     250.40999       -2.071365E+01
     10.00000     250.41332     250.41333       -2.071365E+01
     10.00000     250.41666     250.41666       -2.071364E+01
     10.00000     250.41999     250.42000       -2.071364E+01
     10.00000     250.42333     250.42332       -2.071364E+01
     10.00000     250.42666     250.42667       -2.071364E+01
     10.00000     250.43000     250.42999       -2.071364E+01
     10.00000     250.43333     250.43333       -2.071364E+01
     10.00000     250.43666     250.43666       -2.071364E+01
     10.00000     250.44000     250.44000       -2.071364E+01
     10.00000     250.44333     250.44333       -2.071364E+01
     10.00000     250.44667     250.44667       -2.071364E+01
     10.00000     250.45000     250.45000       -2.071364E+01
