

 One-dimensional plot values
 Input line #     101
  X (Microns)   Y (Microns)  Distance (Microns) Potential (Volts)             
     22.50000       0.10000       0.10000       -1.780000E+01
     22.50000       0.14167       0.14167       -1.528460E+01
     22.50000       0.18333       0.18333       -1.261198E+01
     22.50000       0.22500       0.22500       -1.009648E+01
     22.50000       0.26667       0.26667       -7.423785E+00
     22.50000       0.30833       0.30833       -4.908089E+00
     22.50000       0.35000       0.35000       -2.235233E+00
     22.50000       0.35000       0.35000       -5.435233E+00
     22.50000       0.35167       0.35167       -5.415377E+00
     22.50000       0.35333       0.35333       -5.394957E+00
     22.50000       0.35500       0.35500       -5.380925E+00
     22.50000       0.35667       0.35667       -5.366705E+00
     22.50000       0.35833       0.35833       -5.354682E+00
     22.50000       0.36000       0.36000       -5.342569E+00
     22.50000       0.36167       0.36167       -5.331377E+00
     22.50000       0.36333       0.36333       -5.320127E+00
     22.50000       0.36500       0.36500       -5.309319E+00
     22.50000       0.36667       0.36667       -5.298468E+00
     22.50000       0.36833       0.36833       -5.287859E+00
     22.50000       0.37000       0.37000       -5.277213E+00
     22.50000       0.37167       0.37167       -5.266724E+00
     22.50000       0.37333       0.37333       -5.256198E+00
     22.50000       0.37500       0.37500       -5.245793E+00
     22.50000       0.37667       0.37667       -5.235352E+00
     22.50000       0.37833       0.37833       -5.225014E+00
     22.50000       0.38000       0.38000       -5.214640E+00
     22.50000       0.38167       0.38167       -5.204359E+00
     22.50000       0.38333       0.38333       -5.194043E+00
     22.50000       0.38500       0.38500       -5.183815E+00
     22.50000       0.38667       0.38667       -5.173553E+00
     22.50000       0.38833       0.38833       -5.163375E+00
     22.50000       0.39000       0.39000       -5.153162E+00
     22.50000       0.39167       0.39167       -5.143032E+00
     22.50000       0.39333       0.39333       -5.132867E+00
     22.50000       0.39500       0.39500       -5.122782E+00
     22.50000       0.39667       0.39667       -5.112662E+00
     22.50000       0.39833       0.39833       -5.102620E+00
     22.50000       0.40000       0.40000       -5.092544E+00
     22.50000       2.89999       2.89999       -3.275733E+00
     22.50000       5.40000       5.40000       -1.571576E+00
     22.50000       7.89999       7.89999       -6.188937E-01
     22.50000      10.40000      10.40000        9.454885E-02
     22.50000      12.89999      12.89999        2.635314E-01
     22.50000      15.40000      15.40000        3.174219E-01
     22.50000      17.89999      17.89999        3.263963E-01
     22.50000      20.40000      20.40000        3.316709E-01
     22.50000      22.89999      22.89999        3.339534E-01
     22.50000      25.40000      25.40000        3.353462E-01
     22.50000      27.89999      27.89999        3.360096E-01
     22.50000      30.40000      30.40000        3.362565E-01
     22.50000      32.89999      32.89999        3.362730E-01
     22.50000      35.40000      35.40000        3.360433E-01
     22.50000      37.89999      37.89999        3.357448E-01
     22.50000      40.40000      40.40000        3.352842E-01
     22.50000      42.90000      42.90000        3.348110E-01
     22.50000      45.40000      45.40000        3.342254E-01
     22.50000      47.89999      47.89999        3.336436E-01
     22.50000      50.40000      50.40000        3.329815E-01
     22.50000      52.89999      52.89999        3.323235E-01
     22.50000      55.40000      55.40000        3.316072E-01
     22.50000      57.89999      57.89999        3.308890E-01
     22.50000      60.40000      60.40000        3.301280E-01
     22.50000      62.89999      62.89999        3.293571E-01
     22.50000      65.40000      65.40000        3.285549E-01
     22.50000      67.90000      67.89999        3.277342E-01
     22.50000      70.40000      70.40000        3.268904E-01
     22.50000      72.89999      72.89999        3.260204E-01
     22.50000      75.40000      75.39999        3.251331E-01
     22.50000      77.89999      77.89999        3.242120E-01
     22.50000      80.40000      80.39999        3.232783E-01
     22.50000      82.89999      82.89999        3.223035E-01
     22.50000      85.40000      85.40000        3.213193E-01
     22.50000      87.89999      87.89999        3.202868E-01
     22.50000      90.40000      90.40000        3.192473E-01
     22.50000      92.89999      92.89999        3.181520E-01
     22.50000      95.40000      95.40000        3.170515E-01
     22.50000      97.90000      97.89999        3.158870E-01
     22.50000     100.40000     100.40000        3.147185E-01
     22.50000     102.90000     102.89999        3.134766E-01
     22.50000     105.40000     105.40000        3.122316E-01
     22.50000     107.89999     107.89999        3.109018E-01
     22.50000     110.39999     110.39999        3.095697E-01
     22.50000     112.89999     112.89999        3.081387E-01
     22.50000     115.39999     115.39999        3.067060E-01
     22.50000     117.89999     117.89999        3.051562E-01
     22.50000     120.39999     120.39999        3.036051E-01
     22.50000     122.89999     122.89999        3.019129E-01
     22.50000     125.40000     125.39999        3.002197E-01
     22.50000     127.89999     127.89999        2.983522E-01
     22.50000     130.40000     130.39999        2.964839E-01
     22.50000     132.89999     132.89999        2.943937E-01
     22.50000     135.40000     135.39999        2.923028E-01
     22.50000     137.89999     137.89999        2.899178E-01
     22.50000     140.40000     140.39999        2.875324E-01
     22.50000     142.89999     142.89999        2.847365E-01
     22.50000     145.40000     145.39999        2.819402E-01
     22.50000     147.89999     147.89999        2.785295E-01
     22.50000     150.40000     150.39999        2.751185E-01
     22.50000     152.90000     152.89999        2.706912E-01
     22.50000     155.40000     155.39999        2.662639E-01
     22.50000     157.89999     157.89999        2.598774E-01
     22.50000     160.39999     160.39999        2.534909E-01
     22.50000     162.90000     162.89999        2.421980E-01
     22.50000     165.40000     165.40001        2.309056E-01
     22.50000     167.89999     167.89999        2.009500E-01
     22.50000     170.39999     170.39999        1.709972E-01
     22.50000     172.90000     172.89999        4.238255E-02
     22.50000     175.40000     175.40001       -8.621892E-02
     22.50000     177.89999     177.89999       -3.768307E-01
     22.50000     180.40000     180.39999       -6.674382E-01
     22.50000     182.89998     182.89998       -1.072049E+00
     22.50000     185.39999     185.39999       -1.476660E+00
     22.50000     187.89999     187.89999       -1.965729E+00
     22.50000     190.40000     190.39999       -2.454802E+00
     22.50000     192.89998     192.89998       -3.010377E+00
     22.50000     195.39999     195.39999       -3.565957E+00
     22.50000     197.89999     197.89999       -4.176060E+00
     22.50000     200.40000     200.39999       -4.786169E+00
     22.50000     202.89999     202.89998       -5.442246E+00
     22.50000     205.39999     205.39999       -6.098330E+00
     22.50000     207.90000     207.89999       -6.793975E+00
     22.50000     210.40000     210.39999       -7.489626E+00
     22.50000     212.89999     212.89999       -8.219868E+00
     22.50000     215.39999     215.39999       -8.950115E+00
     22.50000     217.90000     217.89999       -9.710994E+00
     22.50000     220.40000     220.40001       -1.047188E+01
     22.50000     222.89999     222.89999       -1.126018E+01
     22.50000     225.39999     225.39999       -1.204848E+01
     22.50000     227.90000     227.89999       -1.286153E+01
     22.50000     230.40000     230.40001       -1.367459E+01
     22.50000     232.89999     232.89999       -1.451018E+01
     22.50000     235.39999     235.39999       -1.534577E+01
     22.50000     237.89998     237.89998       -1.620199E+01
     22.50000     240.39999     240.39999       -1.705823E+01
     22.50000     242.89999     242.89999       -1.793349E+01
     22.50000     245.40000     245.39999       -1.880875E+01
     22.50000     247.89998     247.89998       -1.976124E+01
     22.50000     250.39999     250.39999       -2.071373E+01
     22.50000     250.40332     250.40332       -2.071368E+01
     22.50000     250.40666     250.40666       -2.071366E+01
     22.50000     250.40999     250.40999       -2.071365E+01
     22.50000     250.41332     250.41333       -2.071365E+01
     22.50000     250.41666     250.41666       -2.071364E+01
     22.50000     250.41999     250.42000       -2.071364E+01
     22.50000     250.42333     250.42332       -2.071364E+01
     22.50000     250.42666     250.42667       -2.071364E+01
     22.50000     250.43000     250.42999       -2.071364E+01
     22.50000     250.43333     250.43333       -2.071364E+01
     22.50000     250.43666     250.43666       -2.071364E+01
     22.50000     250.44000     250.44000       -2.071364E+01
     22.50000     250.44333     250.44333       -2.071364E+01
     22.50000     250.44667     250.44667       -2.071364E+01
