

 One-dimensional plot values
 Input line #     103
  X (Microns)   Y (Microns)  Distance (Microns) Potential (Volts)             
     22.50000       0.35000       0.35000       -5.490423E+00
     22.50000       0.35167       0.35167       -5.490423E+00
     22.50000       0.35333       0.35333       -5.490424E+00
     22.50000       0.35500       0.35500       -5.490424E+00
     22.50000       0.35667       0.35667       -5.490424E+00
     22.50000       0.35833       0.35833       -5.490424E+00
     22.50000       0.36000       0.36000       -5.490424E+00
     22.50000       0.36167       0.36167       -5.490425E+00
     22.50000       0.36333       0.36333       -5.490425E+00
     22.50000       0.36500       0.36500       -5.490426E+00
     22.50000       0.36667       0.36667       -5.490426E+00
     22.50000       0.36833       0.36833       -5.490427E+00
     22.50000       0.37000       0.37000       -5.490427E+00
     22.50000       0.37167       0.37167       -5.490427E+00
     22.50000       0.37333       0.37333       -5.490428E+00
     22.50000       0.37500       0.37500       -5.490429E+00
     22.50000       0.37667       0.37667       -5.490430E+00
     22.50000       0.37833       0.37833       -5.490432E+00
     22.50000       0.38000       0.38000       -5.490434E+00
     22.50000       0.38167       0.38167       -5.490438E+00
     22.50000       0.38333       0.38333       -5.490441E+00
     22.50000       0.38500       0.38500       -5.490450E+00
     22.50000       0.38667       0.38667       -5.490456E+00
     22.50000       0.38833       0.38833       -5.490475E+00
     22.50000       0.39000       0.39000       -5.490488E+00
     22.50000       0.39167       0.39167       -5.490529E+00
     22.50000       0.39333       0.39333       -5.490557E+00
     22.50000       0.39500       0.39500       -5.490647E+00
     22.50000       0.39667       0.39667       -5.490708E+00
     22.50000       0.39833       0.39833       -5.490906E+00
     22.50000       0.40000       0.40000       -5.491039E+00
     22.50000       2.89999       2.89999       -3.741476E+00
     22.50000       5.40000       5.40000       -2.102525E+00
     22.50000       7.89999       7.89999       -1.147471E+00
     22.50000      10.40000      10.40000       -4.299058E-01
     22.50000      12.89999      12.89999       -2.343290E-01
     22.50000      15.40000      15.40000       -1.500347E-01
     22.50000      17.89999      17.89999       -1.288460E-01
     22.50000      20.40000      20.40000       -1.164809E-01
     22.50000      22.89999      22.89999       -1.110426E-01
     22.50000      25.40000      25.40000       -1.076845E-01
     22.50000      27.89999      27.89999       -1.059533E-01
     22.50000      30.40000      30.40000       -1.051655E-01
     22.50000      32.89999      32.89999       -1.048759E-01
     22.50000      35.40000      35.40000       -1.051340E-01
     22.50000      37.89999      37.89999       -1.055299E-01
     22.50000      40.40000      40.40000       -1.062821E-01
     22.50000      42.90000      42.90000       -1.070457E-01
     22.50000      45.40000      45.40000       -1.080549E-01
     22.50000      47.89999      47.89999       -1.090372E-01
     22.50000      50.40000      50.40000       -1.101941E-01
     22.50000      52.89999      52.89999       -1.113215E-01
     22.50000      55.40000      55.40000       -1.125752E-01
     22.50000      57.89999      57.89999       -1.138112E-01
     22.50000      60.40000      60.40000       -1.151394E-01
     22.50000      62.89999      62.89999       -1.164666E-01
     22.50000      65.40000      65.40000       -1.178614E-01
     22.50000      67.90000      67.89999       -1.192727E-01
     22.50000      70.40000      70.40000       -1.207338E-01
     22.50000      72.89999      72.89999       -1.222283E-01
     22.50000      75.40000      75.39999       -1.237596E-01
     22.50000      77.89999      77.89999       -1.253401E-01
     22.50000      80.40000      80.39999       -1.269480E-01
     22.50000      82.89999      82.89999       -1.286205E-01
     22.50000      85.40000      85.40000       -1.303132E-01
     22.50000      87.89999      87.89999       -1.320860E-01
     22.50000      90.40000      90.40000       -1.338739E-01
     22.50000      92.89999      92.89999       -1.357580E-01
     22.50000      95.40000      95.40000       -1.376533E-01
     22.50000      97.90000      97.89999       -1.396626E-01
     22.50000     100.40000     100.40000       -1.416802E-01
     22.50000     102.90000     102.89999       -1.438323E-01
     22.50000     105.40000     105.40000       -1.459905E-01
     22.50000     107.89999     107.89999       -1.483074E-01
     22.50000     110.39999     110.39999       -1.506291E-01
     22.50000     112.89999     112.89999       -1.531394E-01
     22.50000     115.39999     115.39999       -1.556533E-01
     22.50000     117.89999     117.89999       -1.583943E-01
     22.50000     120.39999     120.39999       -1.611379E-01
     22.50000     122.89999     122.89999       -1.641593E-01
     22.50000     125.40000     125.39999       -1.671827E-01
     22.50000     127.89999     127.89999       -1.705531E-01
     22.50000     130.40000     130.39999       -1.739250E-01
     22.50000     132.89999     132.89999       -1.777420E-01
     22.50000     135.40000     135.39999       -1.815602E-01
     22.50000     137.89999     137.89999       -1.859697E-01
     22.50000     140.40000     140.39999       -1.903801E-01
     22.50000     142.89999     142.89999       -1.956130E-01
     22.50000     145.40000     145.39999       -2.008464E-01
     22.50000     147.89999     147.89999       -2.072978E-01
     22.50000     150.40000     150.39999       -2.137496E-01
     22.50000     152.90000     152.89999       -2.221756E-01
     22.50000     155.40000     155.39999       -2.306017E-01
     22.50000     157.89999     157.89999       -2.427114E-01
     22.50000     160.39999     160.39999       -2.548209E-01
     22.50000     162.90000     162.89999       -2.756367E-01
     22.50000     165.40000     165.40001       -2.964516E-01
     22.50000     167.89999     167.89999       -3.442261E-01
     22.50000     170.39999     170.39999       -3.919976E-01
     22.50000     172.90000     172.89999       -5.311486E-01
     22.50000     175.40000     175.40001       -6.702875E-01
     22.50000     177.89999     177.89999       -9.651768E-01
     22.50000     180.40000     180.39999       -1.260062E+00
     22.50000     182.89998     182.89998       -1.667123E+00
     22.50000     185.39999     185.39999       -2.074185E+00
     22.50000     187.89999     187.89999       -2.564901E+00
     22.50000     190.40000     190.39999       -3.055622E+00
     22.50000     192.89998     192.89998       -3.612407E+00
     22.50000     195.39999     195.39999       -4.169197E+00
     22.50000     197.89999     197.89999       -4.780239E+00
     22.50000     200.40000     200.39999       -5.391287E+00
     22.50000     202.89999     202.89998       -6.048121E+00
     22.50000     205.39999     205.39999       -6.704962E+00
     22.50000     207.90000     207.89999       -7.401234E+00
     22.50000     210.40000     210.39999       -8.097511E+00
     22.50000     212.89999     212.89999       -8.828284E+00
     22.50000     215.39999     215.39999       -9.559063E+00
     22.50000     217.90000     217.89999       -1.032040E+01
     22.50000     220.40000     220.40001       -1.108174E+01
     22.50000     222.89999     222.89999       -1.187044E+01
     22.50000     225.39999     225.39999       -1.265914E+01
     22.50000     227.90000     227.89999       -1.347255E+01
     22.50000     230.40000     230.40001       -1.428596E+01
     22.50000     232.89999     232.89999       -1.512186E+01
     22.50000     235.39999     235.39999       -1.595777E+01
     22.50000     237.89998     237.89998       -1.681428E+01
     22.50000     240.39999     240.39999       -1.767079E+01
     22.50000     242.89999     242.89999       -1.854040E+01
     22.50000     245.40000     245.39999       -1.941001E+01
     22.50000     247.89998     247.89998       -2.010500E+01
     22.50000     250.39999     250.39999       -2.080000E+01
     22.50000     250.40332     250.40332       -2.080000E+01
     22.50000     250.40666     250.40666       -2.080000E+01
     22.50000     250.40999     250.40999       -2.080000E+01
     22.50000     250.41332     250.41333       -2.080000E+01
     22.50000     250.41666     250.41666       -2.080000E+01
     22.50000     250.41999     250.42000       -2.080000E+01
     22.50000     250.42333     250.42332       -2.080000E+01
     22.50000     250.42666     250.42667       -2.080000E+01
     22.50000     250.43000     250.42999       -2.080000E+01
     22.50000     250.43333     250.43333       -2.080000E+01
     22.50000     250.43666     250.43666       -2.080000E+01
     22.50000     250.44000     250.44000       -2.080000E+01
     22.50000     250.44333     250.44333       -2.080000E+01
     22.50000     250.44667     250.44667       -2.080000E+01
     22.50000     250.45000     250.45000       -2.080000E+01
