

 One-dimensional plot values
 Input line #      98
  X (Microns)   Y (Microns)  Distance (Microns) Potential (Volts)             
     10.00000       0.10000       0.10000       -5.713643E+00
     10.00000       0.18333       0.18333       -5.713643E+00
     10.00000       0.26667       0.26667       -5.713643E+00
     10.00000       0.35000       0.35000       -5.713643E+00
     10.00000       0.35000       0.35000       -1.613643E+00
     10.00000       0.35333       0.35333       -1.613643E+00
     10.00000       0.35667       0.35667       -1.613643E+00
     10.00000       0.36000       0.36000       -1.613643E+00
     10.00000       0.36333       0.36333       -1.613643E+00
     10.00000       0.36667       0.36667       -1.613643E+00
     10.00000       0.36667       0.36667        0.000000E+00
     10.00000       0.37000       0.37000        0.000000E+00
     10.00000       0.37333       0.37333        0.000000E+00
     10.00000       0.37667       0.37667        0.000000E+00
     10.00000       0.38000       0.38000        0.000000E+00
     10.00000       0.38333       0.38333        0.000000E+00
     10.00000       0.38333       0.38333       -1.613643E+00
     10.00000       0.38667       0.38667       -1.613646E+00
     10.00000       0.39000       0.39000       -1.613651E+00
     10.00000       0.39333       0.39333       -1.613661E+00
     10.00000       0.39667       0.39667       -1.613683E+00
     10.00000       0.40000       0.40000       -1.613731E+00
     10.00000       0.40000       0.40000       -9.637309E-01
     10.00000       5.40000       5.40000       -6.649268E-01
     10.00000      10.40000      10.40000       -6.746455E-01
     10.00000      15.40000      15.40000       -6.824903E-01
     10.00000      20.40000      20.40000       -6.888836E-01
     10.00000      25.40000      25.40000       -6.942866E-01
     10.00000      30.40000      30.40000       -6.989397E-01
     10.00000      35.40000      35.40000       -7.029800E-01
     10.00000      40.40000      40.40000       -7.065099E-01
     10.00000      45.40000      45.40000       -7.096215E-01
     10.00000      50.40000      50.40000       -7.124012E-01
     10.00000      55.40000      55.40000       -7.149278E-01
     10.00000      60.40000      60.40000       -7.172719E-01
     10.00000      65.40000      65.40000       -7.194936E-01
     10.00000      70.40000      70.40000       -7.216438E-01
     10.00000      75.40000      75.39999       -7.237647E-01
     10.00000      80.40000      80.39999       -7.258915E-01
     10.00000      85.40000      85.40000       -7.280540E-01
     10.00000      90.40000      90.40000       -7.302783E-01
     10.00000      95.40000      95.40000       -7.325882E-01
     10.00000     100.40000     100.40000       -7.350067E-01
     10.00000     105.40000     105.40000       -7.375578E-01
     10.00000     110.39999     110.39999       -7.402679E-01
     10.00000     115.39999     115.39999       -7.431679E-01
     10.00000     120.39999     120.39999       -7.462962E-01
     10.00000     125.40000     125.39999       -7.497022E-01
     10.00000     130.40000     130.39999       -7.534534E-01
     10.00000     135.40000     135.39999       -7.576460E-01
     10.00000     140.40000     140.39999       -7.624249E-01
     10.00000     145.40000     145.39999       -7.680231E-01
     10.00000     150.40000     150.39999       -7.748485E-01
     10.00000     155.40000     155.39999       -7.837043E-01
     10.00000     160.39999     160.39999       -7.964747E-01
     10.00000     165.40000     165.40001       -8.190467E-01
     10.00000     170.39999     170.39999       -8.788911E-01
     10.00000     175.40000     175.40001       -1.135803E+00
     10.00000     180.40000     180.39999       -1.716896E+00
     10.00000     185.39999     185.39999       -2.526102E+00
     10.00000     190.40000     190.39999       -3.504274E+00
     10.00000     195.39999     195.39999       -4.615479E+00
     10.00000     200.40000     200.39999       -5.835747E+00
     10.00000     205.39999     205.39999       -7.147963E+00
     10.00000     210.40000     210.39999       -8.539310E+00
     10.00000     215.39999     215.39999       -9.999845E+00
     10.00000     220.40000     220.40001       -1.152165E+01
     10.00000     225.39999     225.39999       -1.309829E+01
     10.00000     230.40000     230.40001       -1.472444E+01
     10.00000     235.39999     235.39999       -1.639565E+01
     10.00000     240.39999     240.39999       -1.810814E+01
     10.00000     245.40000     245.39999       -1.985870E+01
     10.00000     250.39999     250.39999       -2.176373E+01
     10.00000     250.39999     250.39999       -2.241373E+01
     10.00000     250.40332     250.40332       -2.241368E+01
     10.00000     250.40666     250.40666       -2.241366E+01
     10.00000     250.40999     250.40999       -2.241365E+01
     10.00000     250.41332     250.41333       -2.241365E+01
     10.00000     250.41666     250.41666       -2.241364E+01
     10.00000     250.41999     250.42000       -2.241364E+01
     10.00000     250.42333     250.42332       -2.241364E+01
     10.00000     250.42666     250.42667       -2.241364E+01
     10.00000     250.43000     250.42999       -2.241364E+01
     10.00000     250.43333     250.43333       -2.241364E+01
     10.00000     250.43666     250.43666       -2.241364E+01
     10.00000     250.44000     250.44000       -2.241364E+01
     10.00000     250.44333     250.44333       -2.241364E+01
     10.00000     250.44667     250.44667       -2.241364E+01
     10.00000     250.45000     250.45000       -2.241364E+01
