

 One-dimensional plot values
 Input line #     102
  X (Microns)   Y (Microns)  Distance (Microns) Potential (Volts)             
     22.50000       0.18333       0.18333       -2.161198E+01
     22.50000       0.22500       0.22500       -1.909649E+01
     22.50000       0.26667       0.26667       -1.642379E+01
     22.50000       0.30833       0.30833       -1.390809E+01
     22.50000       0.35000       0.35000       -1.123523E+01
     22.50000       0.35000       0.35000       -7.135232E+00
     22.50000       0.35167       0.35167       -7.115377E+00
     22.50000       0.35333       0.35333       -7.094957E+00
     22.50000       0.35500       0.35500       -7.080925E+00
     22.50000       0.35667       0.35667       -7.066705E+00
     22.50000       0.35833       0.35833       -7.054682E+00
     22.50000       0.36000       0.36000       -7.042569E+00
     22.50000       0.36167       0.36167       -7.031377E+00
     22.50000       0.36333       0.36333       -7.020128E+00
     22.50000       0.36500       0.36500       -7.009320E+00
     22.50000       0.36667       0.36667       -6.998468E+00
     22.50000       0.36833       0.36833       -6.987860E+00
     22.50000       0.37000       0.37000       -6.977212E+00
     22.50000       0.37167       0.37167       -6.966724E+00
     22.50000       0.37333       0.37333       -6.956198E+00
     22.50000       0.37500       0.37500       -6.945793E+00
     22.50000       0.37667       0.37667       -6.935352E+00
     22.50000       0.37833       0.37833       -6.925014E+00
     22.50000       0.38000       0.38000       -6.914639E+00
     22.50000       0.38167       0.38167       -6.904359E+00
     22.50000       0.38333       0.38333       -6.894043E+00
     22.50000       0.38500       0.38500       -6.883815E+00
     22.50000       0.38667       0.38667       -6.873553E+00
     22.50000       0.38833       0.38833       -6.863375E+00
     22.50000       0.39000       0.39000       -6.853162E+00
     22.50000       0.39167       0.39167       -6.843032E+00
     22.50000       0.39333       0.39333       -6.832867E+00
     22.50000       0.39500       0.39500       -6.822782E+00
     22.50000       0.39667       0.39667       -6.812662E+00
     22.50000       0.39833       0.39833       -6.802620E+00
     22.50000       0.40000       0.40000       -6.792544E+00
     22.50000       0.40000       0.40000       -6.142544E+00
     22.50000       2.89999       2.89999       -4.325732E+00
     22.50000       5.40000       5.40000       -2.621576E+00
     22.50000       7.89999       7.89999       -1.668894E+00
     22.50000      10.40000      10.40000       -9.554511E-01
     22.50000      12.89999      12.89999       -7.864686E-01
     22.50000      15.40000      15.40000       -7.325780E-01
     22.50000      17.89999      17.89999       -7.236037E-01
     22.50000      20.40000      20.40000       -7.183290E-01
     22.50000      22.89999      22.89999       -7.160465E-01
     22.50000      25.40000      25.40000       -7.146537E-01
     22.50000      27.89999      27.89999       -7.139903E-01
     22.50000      30.40000      30.40000       -7.137434E-01
     22.50000      32.89999      32.89999       -7.137269E-01
     22.50000      35.40000      35.40000       -7.139567E-01
     22.50000      37.89999      37.89999       -7.142552E-01
     22.50000      40.40000      40.40000       -7.147157E-01
     22.50000      42.90000      42.90000       -7.151889E-01
     22.50000      45.40000      45.40000       -7.157745E-01
     22.50000      47.89999      47.89999       -7.163563E-01
     22.50000      50.40000      50.40000       -7.170184E-01
     22.50000      52.89999      52.89999       -7.176765E-01
     22.50000      55.40000      55.40000       -7.183927E-01
     22.50000      57.89999      57.89999       -7.191110E-01
     22.50000      60.40000      60.40000       -7.198719E-01
     22.50000      62.89999      62.89999       -7.206428E-01
     22.50000      65.40000      65.40000       -7.214451E-01
     22.50000      67.90000      67.89999       -7.222657E-01
     22.50000      70.40000      70.40000       -7.231095E-01
     22.50000      72.89999      72.89999       -7.239796E-01
     22.50000      75.40000      75.39999       -7.248669E-01
     22.50000      77.89999      77.89999       -7.257879E-01
     22.50000      80.40000      80.39999       -7.267216E-01
     22.50000      82.89999      82.89999       -7.276964E-01
     22.50000      85.40000      85.40000       -7.286807E-01
     22.50000      87.89999      87.89999       -7.297131E-01
     22.50000      90.40000      90.40000       -7.307526E-01
     22.50000      92.89999      92.89999       -7.318479E-01
     22.50000      95.40000      95.40000       -7.329484E-01
     22.50000      97.90000      97.89999       -7.341129E-01
     22.50000     100.40000     100.40000       -7.352814E-01
     22.50000     102.90000     102.89999       -7.365234E-01
     22.50000     105.40000     105.40000       -7.377683E-01
     22.50000     107.89999     107.89999       -7.390981E-01
     22.50000     110.39999     110.39999       -7.404302E-01
     22.50000     112.89999     112.89999       -7.418612E-01
     22.50000     115.39999     115.39999       -7.432939E-01
     22.50000     117.89999     117.89999       -7.448438E-01
     22.50000     120.39999     120.39999       -7.463948E-01
     22.50000     122.89999     122.89999       -7.480870E-01
     22.50000     125.40000     125.39999       -7.497802E-01
     22.50000     127.89999     127.89999       -7.516478E-01
     22.50000     130.40000     130.39999       -7.535160E-01
     22.50000     132.89999     132.89999       -7.556063E-01
     22.50000     135.40000     135.39999       -7.576971E-01
     22.50000     137.89999     137.89999       -7.600821E-01
     22.50000     140.40000     140.39999       -7.624675E-01
     22.50000     142.89999     142.89999       -7.652635E-01
     22.50000     145.40000     145.39999       -7.680597E-01
     22.50000     147.89999     147.89999       -7.714705E-01
     22.50000     150.40000     150.39999       -7.748814E-01
     22.50000     152.90000     152.89999       -7.793087E-01
     22.50000     155.40000     155.39999       -7.837361E-01
     22.50000     157.89999     157.89999       -7.901226E-01
     22.50000     160.39999     160.39999       -7.965090E-01
     22.50000     162.90000     162.89999       -8.078020E-01
     22.50000     165.40000     165.40001       -8.190944E-01
     22.50000     167.89999     167.89999       -8.490499E-01
     22.50000     170.39999     170.39999       -8.790027E-01
     22.50000     172.90000     172.89999       -1.007617E+00
     22.50000     175.40000     175.40001       -1.136219E+00
     22.50000     177.89999     177.89999       -1.426831E+00
     22.50000     180.40000     180.39999       -1.717438E+00
     22.50000     182.89998     182.89998       -2.122049E+00
     22.50000     185.39999     185.39999       -2.526660E+00
     22.50000     187.89999     187.89999       -3.015729E+00
     22.50000     190.40000     190.39999       -3.504802E+00
     22.50000     192.89998     192.89998       -4.060377E+00
     22.50000     195.39999     195.39999       -4.615957E+00
     22.50000     197.89999     197.89999       -5.226060E+00
     22.50000     200.40000     200.39999       -5.836169E+00
     22.50000     202.89999     202.89998       -6.492247E+00
     22.50000     205.39999     205.39999       -7.148330E+00
     22.50000     207.90000     207.89999       -7.843975E+00
     22.50000     210.40000     210.39999       -8.539626E+00
     22.50000     212.89999     212.89999       -9.269868E+00
     22.50000     215.39999     215.39999       -1.000012E+01
     22.50000     217.90000     217.89999       -1.076099E+01
     22.50000     220.40000     220.40001       -1.152188E+01
     22.50000     222.89999     222.89999       -1.231017E+01
     22.50000     225.39999     225.39999       -1.309848E+01
     22.50000     227.90000     227.89999       -1.391153E+01
     22.50000     230.40000     230.40001       -1.472459E+01
     22.50000     232.89999     232.89999       -1.556018E+01
     22.50000     235.39999     235.39999       -1.639577E+01
     22.50000     237.89998     237.89998       -1.725200E+01
     22.50000     240.39999     240.39999       -1.810823E+01
     22.50000     242.89999     242.89999       -1.898349E+01
     22.50000     245.40000     245.39999       -1.985875E+01
     22.50000     247.89998     247.89998       -2.081124E+01
     22.50000     250.39999     250.39999       -2.176373E+01
     22.50000     250.39999     250.39999       -2.241373E+01
     22.50000     250.40332     250.40332       -2.241368E+01
     22.50000     250.40666     250.40666       -2.241366E+01
     22.50000     250.40999     250.40999       -2.241365E+01
     22.50000     250.41332     250.41333       -2.241365E+01
     22.50000     250.41666     250.41666       -2.241364E+01
     22.50000     250.41999     250.42000       -2.241364E+01
     22.50000     250.42333     250.42332       -2.241364E+01
     22.50000     250.42666     250.42667       -2.241364E+01
     22.50000     250.43000     250.42999       -2.241364E+01
     22.50000     250.43333     250.43333       -2.241364E+01
     22.50000     250.43666     250.43666       -2.241364E+01
     22.50000     250.44000     250.44000       -2.241364E+01
     22.50000     250.44333     250.44333       -2.241364E+01
     22.50000     250.44667     250.44667       -2.241364E+01
     22.50000     250.45000     250.45000       -2.241364E+01
