

 One-dimensional plot values
 Input line #     122
  X (Microns)   Y (Microns)  Distance (Microns) Potential (Volts)             
     35.00000       0.10000       0.10000       -1.771364E+01
     35.00000       0.18333       0.18333       -1.771364E+01
     35.00000       0.26667       0.26667       -1.771364E+01
     35.00000       0.35000       0.35000       -1.771364E+01
     35.00000       0.35000       0.35000       -2.091364E+01
     35.00000       0.35333       0.35333       -2.091364E+01
     35.00000       0.35667       0.35667       -2.091364E+01
     35.00000       0.36000       0.36000       -2.091364E+01
     35.00000       0.36333       0.36333       -2.091364E+01
     35.00000       0.36667       0.36667       -2.091364E+01
     35.00000       0.36667       0.36667        0.000000E+00
     35.00000       0.37000       0.37000        0.000000E+00
     35.00000       0.37333       0.37333        0.000000E+00
     35.00000       0.37667       0.37667        0.000000E+00
     35.00000       0.38000       0.38000        0.000000E+00
     35.00000       0.38333       0.38333        0.000000E+00
     35.00000       0.38333       0.38333       -2.091364E+01
     35.00000       0.38667       0.38667       -2.091365E+01
     35.00000       0.39000       0.39000       -2.091365E+01
     35.00000       0.39333       0.39333       -2.091366E+01
     35.00000       0.39667       0.39667       -2.091368E+01
     35.00000       0.40000       0.40000       -2.091372E+01
     35.00000       5.40000       5.40000       -1.386526E+01
     35.00000      10.40000      10.40000       -9.048924E+00
     35.00000      15.40000      15.40000       -5.757537E+00
     35.00000      20.40000      20.40000       -3.450329E+00
     35.00000      25.40000      25.40000       -1.819987E+00
     35.00000      30.40000      30.40000       -6.917764E-01
     35.00000      35.40000      35.40000        2.279822E-02
     35.00000      40.40000      40.40000        3.136612E-01
     35.00000      45.40000      45.40000        3.622866E-01
     35.00000      50.40000      50.40000        3.783497E-01
     35.00000      55.40000      55.40000        3.870756E-01
     35.00000      60.40000      60.40000        3.930020E-01
     35.00000      65.40000      65.40000        3.975362E-01
     35.00000      70.40000      70.40000        4.012678E-01
     35.00000      75.40000      75.39999        4.044903E-01
     35.00000      80.40000      80.39999        4.073657E-01
     35.00000      85.40000      85.40000        4.099916E-01
     35.00000      90.40000      90.40000        4.124303E-01
     35.00000      95.40000      95.40000        4.147253E-01
     35.00000     100.40000     100.40000        4.169076E-01
     35.00000     105.40000     105.40000        4.189950E-01
     35.00000     110.39999     110.39999        4.209696E-01
     35.00000     115.39999     115.39999        4.226899E-01
     35.00000     120.39999     120.39999        4.236369E-01
     35.00000     125.40000     125.39999        4.226061E-01
     35.00000     130.40000     130.39999        4.192895E-01
     35.00000     135.40000     135.39999        4.146478E-01
     35.00000     140.40000     140.39999        4.090031E-01
     35.00000     145.40000     145.39999        4.021567E-01
     35.00000     150.40000     150.39999        3.934464E-01
     35.00000     155.40000     155.39999        3.813171E-01
     35.00000     160.39999     160.39999        3.613225E-01
     35.00000     165.40000     165.40001        3.149695E-01
     35.00000     170.39999     170.39999        1.430626E-01
     35.00000     175.40000     175.40001       -3.384712E-01
     35.00000     180.40000     180.39999       -1.051455E+00
     35.00000     185.39999     185.39999       -1.933261E+00
     35.00000     190.40000     190.39999       -2.946237E+00
     35.00000     195.39999     195.39999       -4.065707E+00
     35.00000     200.40000     200.39999       -5.274300E+00
     35.00000     205.39999     205.39999       -6.559154E+00
     35.00000     210.40000     210.39999       -7.910387E+00
     35.00000     215.39999     215.39999       -9.320188E+00
     35.00000     220.40000     220.40001       -1.078225E+01
     35.00000     225.39999     225.39999       -1.229140E+01
     35.00000     230.40000     230.40001       -1.384332E+01
     35.00000     235.39999     235.39999       -1.543439E+01
     35.00000     240.39999     240.39999       -1.706152E+01
     35.00000     245.40000     245.39999       -1.872206E+01
     35.00000     250.39999     250.39999       -2.041373E+01
     35.00000     250.40332     250.40332       -2.041368E+01
     35.00000     250.40666     250.40666       -2.041366E+01
     35.00000     250.40999     250.40999       -2.041365E+01
     35.00000     250.41332     250.41333       -2.041365E+01
     35.00000     250.41666     250.41666       -2.041364E+01
     35.00000     250.41999     250.42000       -2.041364E+01
     35.00000     250.42333     250.42332       -2.041364E+01
     35.00000     250.42666     250.42667       -2.041364E+01
     35.00000     250.43000     250.42999       -2.041364E+01
     35.00000     250.43333     250.43333       -2.041364E+01
     35.00000     250.43666     250.43666       -2.041364E+01
     35.00000     250.44000     250.44000       -2.041364E+01
     35.00000     250.44333     250.44333       -2.041364E+01
     35.00000     250.44667     250.44667       -2.041364E+01
     35.00000     250.45000     250.45000       -2.041364E+01
