

 One-dimensional plot values
 Input line #     116
  X (Microns)   Y (Microns)  Distance (Microns) Potential (Volts)             
     10.00000       0.35000       0.35000       -9.184513E-17
     10.00000       0.35333       0.35333        0.000000E+00
     10.00000       0.35667       0.35667        0.000000E+00
     10.00000       0.36000       0.36000        0.000000E+00
     10.00000       0.36333       0.36333        1.252398E-22
     10.00000       0.36667       0.36667        0.000000E+00
     10.00000       0.38333       0.38333        0.000000E+00
     10.00000       0.38667       0.38667       -4.740565E-11
     10.00000       0.39000       0.39000       -9.480412E-11
     10.00000       0.39333       0.39333       -1.421889E-10
     10.00000       0.39667       0.39667       -1.895450E-10
     10.00000       0.40000       0.40000       -2.368390E-10
     10.00000       5.40000       5.40000       -2.005499E-03
     10.00000      10.40000      10.40000       -2.752688E-02
     10.00000      15.40000      15.40000       -4.911956E-02
     10.00000      20.40000      20.40000       -6.642417E-02
     10.00000      25.40000      25.40000       -8.008498E-02
     10.00000      30.40000      30.40000       -9.032854E-02
     10.00000      35.40000      35.40000       -9.712324E-02
     10.00000      40.40000      40.40000       -1.005768E-01
     10.00000      45.40000      45.40000       -1.011416E-01
     10.00000      50.40000      50.40000       -9.952497E-02
     10.00000      55.40000      55.40000       -9.646752E-02
     10.00000      60.40000      60.40000       -9.258003E-02
     10.00000      65.40000      65.40000       -8.829395E-02
     10.00000      70.40000      70.40000       -8.388384E-02
     10.00000      75.40000      75.39999       -7.951029E-02
     10.00000      80.40000      80.39999       -7.525946E-02
     10.00000      85.40000      85.40000       -7.117087E-02
     10.00000      90.40000      90.40000       -6.725705E-02
     10.00000      95.40000      95.40000       -6.351475E-02
     10.00000     100.40000     100.40000       -5.993131E-02
     10.00000     105.40000     105.40000       -5.650042E-02
     10.00000     110.39999     110.39999       -5.326585E-02
     10.00000     115.39999     115.39999       -5.047614E-02
     10.00000     120.39999     120.39999       -4.901894E-02
     10.00000     125.40000     125.39999       -5.095917E-02
     10.00000     130.40000     130.39999       -5.689354E-02
     10.00000     135.40000     135.39999       -6.524383E-02
     10.00000     140.40000     140.39999       -7.551317E-02
     10.00000     145.40000     145.39999       -8.810781E-02
     10.00000     150.40000     150.39999       -1.042535E-01
     10.00000     155.40000     155.39999       -1.267312E-01
     10.00000     160.39999     160.39999       -1.630973E-01
     10.00000     165.40000     165.40001       -2.400009E-01
     10.00000     170.39999     170.39999       -4.384896E-01
     10.00000     175.40000     175.40001       -9.301535E-01
     10.00000     180.40000     180.39999       -1.648630E+00
     10.00000     185.39999     185.39999       -2.534025E+00
     10.00000     190.40000     190.39999       -3.549594E+00
     10.00000     195.39999     195.39999       -4.671052E+00
     10.00000     200.40000     200.39999       -5.881234E+00
     10.00000     205.39999     205.39999       -7.167398E+00
     10.00000     210.40000     210.39999       -8.519733E+00
     10.00000     215.39999     215.39999       -9.930480E+00
     10.00000     220.40000     220.40001       -1.139337E+01
     10.00000     225.39999     225.39999       -1.290324E+01
     10.00000     230.40000     230.40001       -1.445582E+01
     10.00000     235.39999     235.39999       -1.604747E+01
     10.00000     240.39999     240.39999       -1.767512E+01
     10.00000     245.40000     245.39999       -1.933614E+01
     10.00000     250.39999     250.39999       -2.050000E+01
     10.00000     250.40332     250.40332       -2.050000E+01
     10.00000     250.40666     250.40666       -2.050000E+01
     10.00000     250.40999     250.40999       -2.050000E+01
     10.00000     250.41332     250.41333       -2.050000E+01
     10.00000     250.41666     250.41666       -2.050000E+01
     10.00000     250.41999     250.42000       -2.050000E+01
     10.00000     250.42333     250.42332       -2.050000E+01
     10.00000     250.42666     250.42667       -2.050000E+01
     10.00000     250.43000     250.42999       -2.050000E+01
     10.00000     250.43333     250.43333       -2.050000E+01
     10.00000     250.43666     250.43666       -2.050000E+01
     10.00000     250.44000     250.44000       -2.050000E+01
     10.00000     250.44333     250.44333       -2.050000E+01
     10.00000     250.44667     250.44667       -2.050000E+01
     10.00000     250.45000     250.45000       -2.050000E+01
