

 One-dimensional plot values
 Input line #     126
  X (Microns)   Y (Microns)  Distance (Microns) Photogeneration (pairs/cm^3)  
     10.00000       0.35000       0.35000        4.036779E+02
     10.00000       0.35333       0.35333        2.300020E+02
     10.00000       0.35667       0.35667        2.300020E+02
     10.00000       0.36000       0.36000        2.300025E+02
     10.00000       0.36333       0.36333        2.300020E+02
     10.00000       0.36667       0.36667        5.632645E+01
     10.00000       0.38333       0.38333        4.036779E+02
     10.00000       0.38667       0.38667        2.300025E+02
     10.00000       0.39000       0.39000        2.300020E+02
     10.00000       0.39333       0.39333        2.300020E+02
     10.00000       0.39667       0.39667        2.300020E+02
     10.00000       0.40000       0.40000        2.298851E+02
     10.00000       5.40000       5.40000        2.299998E+02
     10.00000      10.40000      10.40000        2.299998E+02
     10.00000      15.40000      15.40000        2.299998E+02
     10.00000      20.40000      20.40000        2.299998E+02
     10.00000      25.40000      25.40000        2.299998E+02
     10.00000      30.40000      30.40000        2.299998E+02
     10.00000      35.40000      35.40000        2.299998E+02
     10.00000      40.40000      40.40000        2.299998E+02
     10.00000      45.40000      45.40000        2.299998E+02
     10.00000      50.40000      50.40000        2.299998E+02
     10.00000      55.40000      55.40000        2.299998E+02
     10.00000      60.40000      60.40000        2.299998E+02
     10.00000      65.40000      65.40000        2.299998E+02
     10.00000      70.40000      70.40000        2.299998E+02
     10.00000      75.40000      75.39999        2.299998E+02
     10.00000      80.40000      80.39999        2.299998E+02
     10.00000      85.40000      85.40000        2.299998E+02
     10.00000      90.40000      90.40000        2.299996E+02
     10.00000      95.40000      95.40000        2.299996E+02
     10.00000     100.40000     100.40000        2.299998E+02
     10.00000     105.40000     105.40000        2.299998E+02
     10.00000     110.39999     110.39999        2.299998E+02
     10.00000     115.39999     115.39999        2.299998E+02
     10.00000     120.39999     120.39999        2.299998E+02
     10.00000     125.40000     125.39999        2.299998E+02
     10.00000     130.40000     130.39999        2.299998E+02
     10.00000     135.40000     135.39999        2.299998E+02
     10.00000     140.40000     140.39999        2.299998E+02
     10.00000     145.40000     145.39999        2.299998E+02
     10.00000     150.40000     150.39999        2.299998E+02
     10.00000     155.40000     155.39999        2.299998E+02
     10.00000     160.39999     160.39999        2.299998E+02
     10.00000     165.40000     165.40001        2.299998E+02
     10.00000     170.39999     170.39999        2.299998E+02
     10.00000     175.40000     175.40001        2.299998E+02
     10.00000     180.40000     180.39999        2.299998E+02
     10.00000     185.39999     185.39999        2.299998E+02
     10.00000     190.40000     190.39999        2.299998E+02
     10.00000     195.39999     195.39999        2.299998E+02
     10.00000     200.40000     200.39999        2.299998E+02
     10.00000     205.39999     205.39999        2.299998E+02
     10.00000     210.40000     210.39999        2.299998E+02
     10.00000     215.39999     215.39999        2.299998E+02
     10.00000     220.40000     220.40001        2.299998E+02
     10.00000     225.39999     225.39999        2.299998E+02
     10.00000     230.40000     230.40001        2.299998E+02
     10.00000     235.39999     235.39999        2.299998E+02
     10.00000     240.39999     240.39999        2.299998E+02
     10.00000     245.40000     245.39999        2.299998E+02
     10.00000     250.39999     250.39999        2.260401E+02
     10.00000     250.40332     250.40332        1.842110E+02
     10.00000     250.40666     250.40666        1.838501E+02
     10.00000     250.40999     250.40999        1.842110E+02
     10.00000     250.41332     250.41333        1.838501E+02
     10.00000     250.41666     250.41666        1.842110E+02
     10.00000     250.41999     250.42000        1.838501E+02
     10.00000     250.42333     250.42332        1.842110E+02
     10.00000     250.42666     250.42667        1.838501E+02
     10.00000     250.43000     250.42999        1.842110E+02
     10.00000     250.43333     250.43333        1.838501E+02
     10.00000     250.43666     250.43666        1.842110E+02
     10.00000     250.44000     250.44000        1.838501E+02
     10.00000     250.44333     250.44333        1.842110E+02
     10.00000     250.44667     250.44667        1.838501E+02
     10.00000     250.45000     250.45000        4.475843E+01
