

 One-dimensional plot values
 Input line #     143
  X (Microns)   Y (Microns)  Distance (Microns) Photogeneration (pairs/cm^3)  
     10.00000     400.40001     400.40002        3.245037E+00
     10.00000     420.40002     420.40002        1.226021E+01
     10.00000     440.40002     440.40002        2.141836E+01
     10.00000     460.40002     460.40002        3.057675E+01
     10.00000     480.40003     480.40002        3.973469E+01
     10.00000     500.40003     500.40002        9.088856E+02
     10.00000     520.40000     520.40002        3.725456E+03
     10.00000     540.40000     540.40002        6.616527E+03
     10.00000     560.40000     560.40002        9.507680E+03
     10.00000     580.40000     580.40002        1.239874E+04
     10.00000     600.40001     600.40002        2.587696E+05
     10.00000     620.40001     620.40002        1.159657E+06
     10.00000     640.40005     640.40002        2.096637E+06
     10.00000     660.40002     660.40002        3.033597E+06
     10.00000     680.39998     680.39996        3.970542E+06
     10.00000     700.40002     700.40002        7.123518E+07
     10.00000     720.39999     720.39996        3.504686E+08
     10.00000     740.40003     740.40002        6.455641E+08
     10.00000     760.40000     760.40002        9.406907E+08
     10.00000     780.40004     780.40002        1.235809E+09
     10.00000     800.40000     800.40002        1.981988E+10
     10.00000     820.40004     820.40002        1.081449E+11
     10.00000     840.40001     840.40002        2.032842E+11
     10.00000     860.40005     860.40002        2.984225E+11
     10.00000     880.40002     880.40002        3.935590E+11
     10.00000     900.40006     900.40009        5.483460E+12
     10.00000     920.40002     920.40002        3.343978E+13
     10.00000     940.39999     940.39996        6.422639E+13
     10.00000     960.40003     960.40002        9.501304E+13
     10.00000     980.40000     980.40002        1.258006E+14
     10.00000    1000.40004    1000.40002        1.453668E+14
     10.00000    1000.40339    1000.40338        2.565055E+12
     10.00000    1000.41337    1000.41339        2.126948E+12
     10.00000    1000.42671    1000.42670        1.578470E+12
     10.00000    1000.43669    1000.43671        1.270837E+12
