

 One-dimensional plot values
 Input line #     176
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        1.734523E+07
     35.00000      40.40000      40.40000        1.156947E+10
     35.00000      60.40000      60.40001        1.411262E+10
     35.00000      80.40000      80.39999        1.451119E+10
     35.00000     100.40000     100.40000        1.435047E+10
     35.00000     120.40000     120.40000        1.404445E+10
     35.00000     140.40001     140.40001        1.370482E+10
     35.00000     160.40001     160.40001        1.336160E+10
     35.00000     180.40000     180.39999        1.302256E+10
     35.00000     200.40000     200.39999        1.268949E+10
     35.00000     220.40000     220.40001        1.236249E+10
     35.00000     240.40001     240.40001        1.204124E+10
     35.00000     260.40001     260.39999        1.172528E+10
     35.00000     280.40001     280.40002        1.141415E+10
     35.00000     300.40001     300.40002        1.110740E+10
     35.00000     320.40000     320.39999        1.080455E+10
     35.00000     340.40000     340.39999        1.050515E+10
     35.00000     360.40001     360.39999        1.020876E+10
     35.00000     380.40001     380.40002        9.914943E+09
     35.00000     400.40001     400.40002        9.623216E+09
     35.00000     420.40002     420.40002        9.333164E+09
     35.00000     440.40002     440.40002        9.044363E+09
     35.00000     460.40002     460.40002        8.756362E+09
     35.00000     480.40003     480.40002        8.468730E+09
     35.00000     500.40003     500.40002        8.181038E+09
     35.00000     520.40000     520.40002        7.892835E+09
     35.00000     540.40000     540.40002        7.603723E+09
     35.00000     560.40000     560.40002        7.313227E+09
     35.00000     580.40000     580.40002        7.020913E+09
     35.00000     600.40001     600.40002        6.726340E+09
     35.00000     620.40001     620.40002        6.429073E+09
     35.00000     640.40005     640.40002        6.128639E+09
     35.00000     660.40002     660.40002        5.824579E+09
     35.00000     680.39998     680.39996        5.516443E+09
     35.00000     700.40002     700.40002        5.203725E+09
     35.00000     720.39999     720.39996        4.885978E+09
     35.00000     740.40003     740.40002        4.562677E+09
     35.00000     760.40000     760.40002        4.233350E+09
     35.00000     780.40004     780.40002        3.897456E+09
     35.00000     800.40000     800.40002        3.554491E+09
     35.00000     820.40004     820.40002        3.203901E+09
     35.00000     840.40001     840.40002        2.845133E+09
     35.00000     860.40005     860.40002        2.477602E+09
     35.00000     880.40002     880.40002        2.100704E+09
     35.00000     900.40006     900.40009        1.713838E+09
     35.00000     920.40002     920.40002        1.315581E+09
     35.00000     940.39999     940.39996        9.009218E+08
     35.00000     960.40003     960.40002        4.643794E+08
     35.00000     980.40000     980.40002        6.352521E+05
     35.00000    1000.40004    1000.40002        1.636043E+13
     35.00000    1000.40339    1000.40338        3.742839E+11
     35.00000    1000.41337    1000.41339        1.218234E+09
     35.00000    1000.42671    1000.42670        1.191682E+08
     35.00000    1000.43669    1000.43671        6.610551E+07
