

 One-dimensional plot values
 Input line #     121
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        1.457110E+10
     22.50000      20.40000      20.40000        1.270747E+10
     22.50000      30.39998      30.39998        1.336538E+10
     22.50000      40.40000      40.40000        1.344167E+10
     22.50000      50.39999      50.39999        1.341549E+10
     22.50000      60.40000      60.40001        1.326722E+10
     22.50000      70.39999      70.39999        1.313218E+10
     22.50000      80.40000      80.39999        1.296792E+10
     22.50000      90.39998      90.39998        1.281781E+10
     22.50000     100.40000     100.40000        1.266124E+10
     22.50000     110.39998     110.39999        1.251070E+10
     22.50000     120.40000     120.40000        1.235972E+10
     22.50000     130.39999     130.39999        1.221142E+10
     22.50000     140.40001     140.40001        1.206427E+10
     22.50000     150.39999     150.39999        1.191865E+10
     22.50000     160.40001     160.40001        1.177461E+10
     22.50000     170.39999     170.39999        1.163160E+10
     22.50000     180.40000     180.39999        1.149030E+10
     22.50000     190.39998     190.39998        1.134974E+10
     22.50000     200.40000     200.39999        1.121090E+10
     22.50000     210.39998     210.39998        1.107262E+10
     22.50000     220.40000     220.40001        1.093605E+10
     22.50000     230.39998     230.39998        1.079980E+10
     22.50000     240.40001     240.40001        1.066526E+10
     22.50000     250.39999     250.39999        1.053088E+10
     22.50000     260.40001     260.39999        1.039820E+10
     22.50000     270.39999     270.39999        1.026548E+10
     22.50000     280.40001     280.40002        1.013443E+10
     22.50000     290.39999     290.39999        1.000316E+10
     22.50000     300.40001     300.40002        9.873596E+09
     22.50000     310.40000     310.39999        9.743590E+09
     22.50000     320.40000     320.39999        9.615295E+09
     22.50000     330.39998     330.39999        9.486356E+09
     22.50000     340.40000     340.39999        9.359126E+09
     22.50000     350.39999     350.39999        9.231067E+09
     22.50000     360.40001     360.39999        9.104741E+09
     22.50000     370.39999     370.39999        8.977364E+09
     22.50000     380.40001     380.40002        8.851749E+09
     22.50000     390.39999     390.39999        8.724865E+09
     22.50000     400.40001     400.40002        8.599780E+09
     22.50000     410.40000     410.39999        8.473195E+09
     22.50000     420.40002     420.40002        8.348454E+09
     22.50000     430.40000     430.39999        8.221992E+09
     22.50000     440.40002     440.40002        8.097429E+09
     22.50000     450.40000     450.39999        7.970883E+09
     22.50000     460.40002     460.40002        7.846315E+09
     22.50000     470.40001     470.39999        7.719505E+09
     22.50000     480.40003     480.40002        7.594728E+09
     22.50000     490.40001     490.39999        7.467474E+09
     22.50000     500.40003     500.40002        7.342336E+09
     22.50000     510.40001     510.40002        7.214413E+09
     22.50000     520.40000     520.40002        7.088720E+09
     22.50000     530.39998     530.39996        6.959972E+09
     22.50000     540.40000     540.40002        6.833548E+09
     22.50000     550.39998     550.39996        6.703750E+09
     22.50000     560.40000     560.40002        6.576417E+09
     22.50000     570.39998     570.39996        6.445386E+09
     22.50000     580.40000     580.40002        6.316965E+09
     22.50000     590.39999     590.39996        6.184486E+09
     22.50000     600.40001     600.40002        6.054786E+09
     22.50000     610.39999     610.39996        5.920663E+09
     22.50000     620.40001     620.40002        5.789511E+09
     22.50000     630.40003     630.40002        5.653538E+09
     22.50000     640.40005     640.40002        5.520745E+09
     22.50000     650.40000     650.40002        5.382685E+09
     22.50000     660.40002     660.40002        5.248078E+09
     22.50000     670.39996     670.39996        5.107721E+09
     22.50000     680.39998     680.39996        4.971107E+09
     22.50000     690.40000     690.40002        4.828223E+09
     22.50000     700.40002     700.40002        4.689436E+09
     22.50000     710.39997     710.39996        4.543770E+09
     22.50000     720.39999     720.39996        4.402629E+09
     22.50000     730.40001     730.40002        4.253944E+09
     22.50000     740.40003     740.40002        4.110273E+09
     22.50000     750.39998     750.39996        3.958289E+09
     22.50000     760.40000     760.40002        3.811925E+09
     22.50000     770.40002     770.40002        3.656363E+09
     22.50000     780.40004     780.40002        3.507150E+09
     22.50000     790.39998     790.39996        3.347695E+09
     22.50000     800.40000     800.40002        3.195491E+09
     22.50000     810.40002     810.40002        3.031789E+09
     22.50000     820.40004     820.40002        2.876474E+09
     22.50000     830.39999     830.39996        2.708131E+09
     22.50000     840.40001     840.40002        2.549640E+09
     22.50000     850.40003     850.40002        2.376169E+09
     22.50000     860.40005     860.40002        2.214501E+09
     22.50000     870.40000     870.40002        2.035276E+09
     22.50000     880.40002     880.40002        1.870552E+09
     22.50000     890.40004     890.40002        1.684685E+09
     22.50000     900.40006     900.40009        1.517286E+09
     22.50000     910.40000     910.40002        1.323341E+09
     22.50000     920.40002     920.40002        1.154184E+09
     22.50000     930.39997     930.39996        9.492482E+08
     22.50000     940.39999     940.39996        7.806992E+08
     22.50000     950.40001     950.40002        5.562179E+08
     22.50000     960.40003     960.40002        3.962837E+08
     22.50000     970.39998     970.39996        1.438165E+07
     22.50000     980.40000     980.40002        5.219231E+05
     22.50000     990.40002     990.40002        2.922096E+09
     22.50000    1000.40004    1000.40002        1.636039E+13
     22.50000    1000.40168    1000.40167        2.474530E+12
     22.50000    1000.41166    1000.41168        2.313174E+09
     22.50000    1000.42336    1000.42334        1.659030E+08
     22.50000    1000.43334    1000.43335        7.714608E+07
