

 One-dimensional plot values
 Input line #     174
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        1.673204E+10
     22.50000      20.40000      20.40000        1.457727E+10
     22.50000      30.39998      30.39998        1.531338E+10
     22.50000      40.40000      40.40000        1.538710E+10
     22.50000      50.39999      50.39999        1.534515E+10
     22.50000      60.40000      60.40001        1.516437E+10
     22.50000      70.39999      70.39999        1.499898E+10
     22.50000      80.40000      80.39999        1.480057E+10
     22.50000      90.39998      90.39998        1.461872E+10
     22.50000     100.40000     100.40000        1.442972E+10
     22.50000     110.39998     110.39999        1.424804E+10
     22.50000     120.40000     120.40000        1.406612E+10
     22.50000     130.39999     130.39999        1.388765E+10
     22.50000     140.40001     140.40001        1.371075E+10
     22.50000     150.39999     150.39999        1.353598E+10
     22.50000     160.40001     160.40001        1.336324E+10
     22.50000     170.39999     170.39999        1.319206E+10
     22.50000     180.40000     180.39999        1.302302E+10
     22.50000     190.39998     190.39998        1.285524E+10
     22.50000     200.40000     200.39999        1.268963E+10
     22.50000     210.39998     210.39998        1.252502E+10
     22.50000     220.40000     220.40001        1.236254E+10
     22.50000     230.39998     230.39998        1.220083E+10
     22.50000     240.40001     240.40001        1.204124E+10
     22.50000     250.39999     250.39999        1.188222E+10
     22.50000     260.40001     260.39999        1.172528E+10
     22.50000     270.39999     270.39999        1.156868E+10
     22.50000     280.40001     280.40002        1.141415E+10
     22.50000     290.39999     290.39999        1.125973E+10
     22.50000     300.40001     300.40002        1.110740E+10
     22.50000     310.40000     310.39999        1.095494E+10
     22.50000     320.40000     320.39999        1.080455E+10
     22.50000     330.39998     330.39999        1.065381E+10
     22.50000     340.40000     340.39999        1.050515E+10
     22.50000     350.39999     350.39999        1.035591E+10
     22.50000     360.40001     360.39999        1.020876E+10
     22.50000     370.39999     370.39999        1.006079E+10
     22.50000     380.40001     380.40002        9.914943E+09
     22.50000     390.39999     390.39999        9.767990E+09
     22.50000     400.40001     400.40002        9.623216E+09
     22.50000     410.40000     410.39999        9.477091E+09
     22.50000     420.40002     420.40002        9.333164E+09
     22.50000     430.40000     430.39999        9.187629E+09
     22.50000     440.40002     440.40002        9.044363E+09
     22.50000     450.40000     450.39999        8.899207E+09
     22.50000     460.40002     460.40002        8.756362E+09
     22.50000     470.40001     470.39999        8.611345E+09
     22.50000     480.40003     480.40002        8.468730E+09
     22.50000     490.40001     490.39999        8.323650E+09
     22.50000     500.40003     500.40002        8.181038E+09
     22.50000     510.40001     510.40002        8.035644E+09
     22.50000     520.40000     520.40002        7.892835E+09
     22.50000     530.39998     530.39996        7.746930E+09
     22.50000     540.40000     540.40002        7.603723E+09
     22.50000     550.39998     550.39996        7.457068E+09
     22.50000     560.40000     560.40002        7.313227E+09
     22.50000     570.39998     570.39996        7.165579E+09
     22.50000     580.40000     580.40002        7.020913E+09
     22.50000     590.39999     590.39996        6.872056E+09
     22.50000     600.40001     600.40002        6.726340E+09
     22.50000     610.39999     610.39996        6.576027E+09
     22.50000     620.40001     620.40002        6.429073E+09
     22.50000     630.40003     630.40002        6.277059E+09
     22.50000     640.40005     640.40002        6.128639E+09
     22.50000     650.40000     650.40002        5.974681E+09
     22.50000     660.40002     660.40002        5.824579E+09
     22.50000     670.39996     670.39996        5.668418E+09
     22.50000     680.39998     680.39996        5.516443E+09
     22.50000     690.40000     690.40002        5.357803E+09
     22.50000     700.40002     700.40002        5.203725E+09
     22.50000     710.39997     710.39996        5.042349E+09
     22.50000     720.39999     720.39996        4.885978E+09
     22.50000     730.40001     730.40002        4.721561E+09
     22.50000     740.40003     740.40002        4.562677E+09
     22.50000     750.39998     750.39996        4.394930E+09
     22.50000     760.40000     760.40002        4.233350E+09
     22.50000     770.40002     770.40002        4.061937E+09
     22.50000     780.40004     780.40002        3.897456E+09
     22.50000     790.39998     790.39996        3.722029E+09
     22.50000     800.40000     800.40002        3.554491E+09
     22.50000     810.40002     810.40002        3.374650E+09
     22.50000     820.40004     820.40002        3.203901E+09
     22.50000     830.39999     830.39996        3.019193E+09
     22.50000     840.40001     840.40002        2.845133E+09
     22.50000     850.40003     850.40002        2.655018E+09
     22.50000     860.40005     860.40002        2.477602E+09
     22.50000     870.40000     870.40002        2.281388E+09
     22.50000     880.40002     880.40002        2.100708E+09
     22.50000     890.40004     890.40002        1.897443E+09
     22.50000     900.40006     900.40009        1.713841E+09
     22.50000     910.40000     910.40002        1.501568E+09
     22.50000     920.40002     920.40002        1.315587E+09
     22.50000     930.39997     930.39996        1.088693E+09
     22.50000     940.39999     940.39996        9.009278E+08
     22.50000     950.40001     950.40002        6.468228E+08
     22.50000     960.40003     960.40002        4.643866E+08
     22.50000     970.39998     970.39996        1.717585E+07
     22.50000     980.40000     980.40002        6.352604E+05
     22.50000     990.40002     990.40002        3.223796E+09
     22.50000    1000.40004    1000.40002        1.636043E+13
     22.50000    1000.40168    1000.40167        2.474562E+12
     22.50000    1000.41166    1000.41168        2.313392E+09
     22.50000    1000.42336    1000.42334        1.659344E+08
     22.50000    1000.43334    1000.43335        7.715666E+07
