

 One-dimensional plot values
 Input line #     123
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        1.498469E+07
     35.00000      40.40000      40.40000        1.009707E+10
     35.00000      60.40000      60.40001        1.234540E+10
     35.00000      80.40000      80.39999        1.271437E+10
     35.00000     100.40000     100.40000        1.259181E+10
     35.00000     120.40000     120.40000        1.234073E+10
     35.00000     140.40001     140.40001        1.205910E+10
     35.00000     160.40001     160.40001        1.177319E+10
     35.00000     180.40000     180.39999        1.148990E+10
     35.00000     200.40000     200.39999        1.121081E+10
     35.00000     220.40000     220.40001        1.093600E+10
     35.00000     240.40001     240.40001        1.066526E+10
     35.00000     260.40001     260.39999        1.039820E+10
     35.00000     280.40001     280.40002        1.013443E+10
     35.00000     300.40001     300.40002        9.873596E+09
     35.00000     320.40000     320.39999        9.615295E+09
     35.00000     340.40000     340.39999        9.359126E+09
     35.00000     360.40001     360.39999        9.104741E+09
     35.00000     380.40001     380.40002        8.851749E+09
     35.00000     400.40001     400.40002        8.599780E+09
     35.00000     420.40002     420.40002        8.348454E+09
     35.00000     440.40002     440.40002        8.097429E+09
     35.00000     460.40002     460.40002        7.846315E+09
     35.00000     480.40003     480.40002        7.594728E+09
     35.00000     500.40003     500.40002        7.342336E+09
     35.00000     520.40000     520.40002        7.088720E+09
     35.00000     540.40000     540.40002        6.833548E+09
     35.00000     560.40000     560.40002        6.576417E+09
     35.00000     580.40000     580.40002        6.316965E+09
     35.00000     600.40001     600.40002        6.054786E+09
     35.00000     620.40001     620.40002        5.789511E+09
     35.00000     640.40005     640.40002        5.520745E+09
     35.00000     660.40002     660.40002        5.248078E+09
     35.00000     680.39998     680.39996        4.971107E+09
     35.00000     700.40002     700.40002        4.689436E+09
     35.00000     720.39999     720.39996        4.402629E+09
     35.00000     740.40003     740.40002        4.110273E+09
     35.00000     760.40000     760.40002        3.811925E+09
     35.00000     780.40004     780.40002        3.507150E+09
     35.00000     800.40000     800.40002        3.195491E+09
     35.00000     820.40004     820.40002        2.876474E+09
     35.00000     840.40001     840.40002        2.549640E+09
     35.00000     860.40005     860.40002        2.214501E+09
     35.00000     880.40002     880.40002        1.870552E+09
     35.00000     900.40006     900.40009        1.517286E+09
     35.00000     920.40002     920.40002        1.154184E+09
     35.00000     940.39999     940.39996        7.806992E+08
     35.00000     960.40003     960.40002        3.962837E+08
     35.00000     980.40000     980.40002        5.219231E+05
     35.00000    1000.40004    1000.40002        1.636039E+13
     35.00000    1000.40339    1000.40338        3.742757E+11
     35.00000    1000.41337    1000.41339        1.218100E+09
     35.00000    1000.42671    1000.42670        1.191457E+08
     35.00000    1000.43669    1000.43671        6.610014E+07
