

 One-dimensional plot values
 Input line #     122
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        1.035145E+11
     22.50000      20.40000      20.40000        9.844261E+10
     22.50000      30.39998      30.39998        9.927927E+10
     22.50000      40.40000      40.40000        9.937983E+10
     22.50000      50.39999      50.39999        9.934601E+10
     22.50000      60.40000      60.40001        9.915095E+10
     22.50000      70.39999      70.39999        9.897605E+10
     22.50000      80.40000      80.39999        9.876025E+10
     22.50000      90.39998      90.39998        9.856548E+10
     22.50000     100.40000     100.40000        9.835985E+10
     22.50000     110.39998     110.39999        9.816436E+10
     22.50000     120.40000     120.40000        9.796625E+10
     22.50000     130.39999     130.39999        9.777347E+10
     22.50000     140.40001     140.40001        9.758043E+10
     22.50000     150.39999     150.39999        9.739098E+10
     22.50000     160.40001     160.40001        9.720189E+10
     22.50000     170.39999     170.39999        9.701594E+10
     22.50000     180.40000     180.39999        9.683014E+10
     22.50000     190.39998     190.39998        9.664745E+10
     22.50000     200.40000     200.39999        9.646489E+10
     22.50000     210.39998     210.39998        9.628500E+10
     22.50000     220.40000     220.40001        9.610545E+10
     22.50000     230.39998     230.39998        9.592834E+10
     22.50000     240.40001     240.40001        9.575135E+10
     22.50000     250.39999     250.39999        9.557657E+10
     22.50000     260.40001     260.39999        9.540190E+10
     22.50000     270.39999     270.39999        9.522923E+10
     22.50000     280.40001     280.40002        9.505665E+10
     22.50000     290.39999     290.39999        9.488585E+10
     22.50000     300.40001     300.40002        9.471515E+10
     22.50000     310.40000     310.39999        9.454600E+10
     22.50000     320.40000     320.39999        9.437694E+10
     22.50000     330.39998     330.39999        9.420902E+10
     22.50000     340.40000     340.39999        9.404139E+10
     22.50000     350.39999     350.39999        9.387468E+10
     22.50000     360.40001     360.39999        9.370806E+10
     22.50000     370.39999     370.39999        9.354215E+10
     22.50000     380.40001     380.40002        9.337633E+10
     22.50000     390.39999     390.39999        9.321120E+10
     22.50000     400.40001     400.40002        9.304617E+10
     22.50000     410.40000     410.39999        9.288122E+10
     22.50000     420.40002     420.40002        9.271657E+10
     22.50000     430.40000     430.39999        9.255180E+10
     22.50000     440.40002     440.40002        9.238713E+10
     22.50000     450.40000     450.39999        9.222234E+10
     22.50000     460.40002     460.40002        9.205764E+10
     22.50000     470.40001     470.39999        9.189243E+10
     22.50000     480.40003     480.40002        9.172751E+10
     22.50000     490.40001     490.39999        9.156169E+10
     22.50000     500.40003     500.40002        9.139616E+10
     22.50000     510.40001     510.40002        9.122953E+10
     22.50000     520.40000     520.40002        9.106301E+10
     22.50000     530.39998     530.39996        9.089539E+10
     22.50000     540.40000     540.40002        9.072788E+10
     22.50000     550.39998     550.39996        9.055870E+10
     22.50000     560.40000     560.40002        9.038982E+10
     22.50000     570.39998     570.39996        9.021928E+10
     22.50000     580.40000     580.40002        9.004887E+10
     22.50000     590.39999     590.39996        8.987641E+10
     22.50000     600.40001     600.40002        8.970408E+10
     22.50000     610.39999     610.39996        8.952953E+10
     22.50000     620.40001     620.40002        8.935512E+10
     22.50000     630.40003     630.40002        8.917811E+10
     22.50000     640.40005     640.40002        8.900145E+10
     22.50000     650.40000     650.40002        8.882183E+10
     22.50000     660.40002     660.40002        8.864257E+10
     22.50000     670.39996     670.39996        8.845998E+10
     22.50000     680.39998     680.39996        8.827776E+10
     22.50000     690.40000     690.40002        8.809206E+10
     22.50000     700.40002     700.40002        8.790674E+10
     22.50000     710.39997     710.39996        8.771758E+10
     22.50000     720.39999     720.39996        8.752882E+10
     22.50000     730.40001     730.40002        8.733587E+10
     22.50000     740.40003     740.40002        8.714334E+10
     22.50000     750.39998     750.39996        8.694646E+10
     22.50000     760.40000     760.40002        8.674984E+10
     22.50000     770.40002     770.40002        8.654853E+10
     22.50000     780.40004     780.40002        8.634768E+10
     22.50000     790.39998     790.39996        8.614182E+10
     22.50000     800.40000     800.40002        8.593626E+10
     22.50000     810.40002     810.40002        8.572535E+10
     22.50000     820.40004     820.40002        8.551496E+10
     22.50000     830.39999     830.39996        8.529872E+10
     22.50000     840.40001     840.40002        8.508303E+10
     22.50000     850.40003     850.40002        8.486136E+10
     22.50000     860.40005     860.40002        8.464008E+10
     22.50000     870.40000     870.40002        8.441233E+10
     22.50000     880.40002     880.40002        8.418520E+10
     22.50000     890.40004     890.40002        8.395112E+10
     22.50000     900.40006     900.40009        8.371769E+10
     22.50000     910.40000     910.40002        8.347703E+10
     22.50000     920.40002     920.40002        8.323687E+10
     22.50000     930.39997     930.39996        8.298921E+10
     22.50000     940.39999     940.39996        8.274210E+10
     22.50000     950.40001     950.40002        8.248685E+10
     22.50000     960.40003     960.40002        8.223238E+10
     22.50000     970.39998     970.39996        8.193785E+10
     22.50000     980.40000     980.40002        8.164420E+10
     22.50000     990.40002     990.40002        2.214496E+07
     22.50000    1000.40004    1000.40002        6.006387E+03
     22.50000    1000.40004    1000.40002        7.230218E-08
     22.50000    1000.41002    1000.41003        9.479168E+00
     22.50000    1000.42164    1000.42163        1.999067E+02
     22.50000    1000.43163    1000.43164        4.904677E+02
