

 One-dimensional plot values
 Input line #     175
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     22.50000      10.39998      10.39998        1.064317E+11
     22.50000      20.40000      20.40000        1.008840E+11
     22.50000      30.39998      30.39998        1.018192E+11
     22.50000      40.40000      40.40000        1.019158E+11
     22.50000      50.39999      50.39999        1.018619E+11
     22.50000      60.40000      60.40001        1.016246E+11
     22.50000      70.39999      70.39999        1.014106E+11
     22.50000      80.40000      80.39999        1.011504E+11
     22.50000      90.39998      90.39998        1.009148E+11
     22.50000     100.40000     100.40000        1.006671E+11
     22.50000     110.39998     110.39999        1.004315E+11
     22.50000     120.40000     120.40000        1.001932E+11
     22.50000     130.39999     130.39999        9.996158E+10
     22.50000     140.40001     140.40001        9.972961E+10
     22.50000     150.39999     150.39999        9.950277E+10
     22.50000     160.40001     160.40001        9.927622E+10
     22.50000     170.39999     170.39999        9.905411E+10
     22.50000     180.40000     180.39999        9.883228E+10
     22.50000     190.39998     190.39998        9.861440E+10
     22.50000     200.40000     200.39999        9.839701E+10
     22.50000     210.39998     210.39998        9.818333E+10
     22.50000     220.40000     220.40001        9.796990E+10
     22.50000     230.39998     230.39998        9.775994E+10
     22.50000     240.40001     240.40001        9.755022E+10
     22.50000     250.39999     250.39999        9.734351E+10
     22.50000     260.40001     260.39999        9.713724E+10
     22.50000     270.39999     270.39999        9.693374E+10
     22.50000     280.40001     280.40002        9.673068E+10
     22.50000     290.39999     290.39999        9.652994E+10
     22.50000     300.40001     300.40002        9.632963E+10
     22.50000     310.40000     310.39999        9.613141E+10
     22.50000     320.40000     320.39999        9.593340E+10
     22.50000     330.39998     330.39999        9.573747E+10
     22.50000     340.40000     340.39999        9.554174E+10
     22.50000     350.39999     350.39999        9.534766E+10
     22.50000     360.40001     360.39999        9.515397E+10
     22.50000     370.39999     370.39999        9.496152E+10
     22.50000     380.40001     380.40002        9.476924E+10
     22.50000     390.39999     390.39999        9.457819E+10
     22.50000     400.40001     400.40002        9.438731E+10
     22.50000     410.40000     410.39999        9.419723E+10
     22.50000     420.40002     420.40002        9.400733E+10
     22.50000     430.40000     430.39999        9.381801E+10
     22.50000     440.40002     440.40002        9.362887E+10
     22.50000     450.40000     450.39999        9.343991E+10
     22.50000     460.40002     460.40002        9.325133E+10
     22.50000     470.40001     470.39999        9.306272E+10
     22.50000     480.40003     480.40002        9.287429E+10
     22.50000     490.40001     490.39999        9.268543E+10
     22.50000     500.40003     500.40002        9.249695E+10
     22.50000     510.40001     510.40002        9.230763E+10
     22.50000     520.40000     520.40002        9.211871E+10
     22.50000     530.39998     530.39996        9.192876E+10
     22.50000     540.40000     540.40002        9.173920E+10
     22.50000     550.39998     550.39996        9.154842E+10
     22.50000     560.40000     560.40002        9.135784E+10
     22.50000     570.39998     570.39996        9.116565E+10
     22.50000     580.40000     580.40002        9.097387E+10
     22.50000     590.39999     590.39996        9.078030E+10
     22.50000     600.40001     600.40002        9.058694E+10
     22.50000     610.39999     610.39996        9.039141E+10
     22.50000     620.40001     620.40002        9.019631E+10
     22.50000     630.40003     630.40002        8.999866E+10
     22.50000     640.40005     640.40002        8.980124E+10
     22.50000     650.40000     650.40002        8.960112E+10
     22.50000     660.40002     660.40002        8.940124E+10
     22.50000     670.39996     670.39996        8.919828E+10
     22.50000     680.39998     680.39996        8.899578E+10
     22.50000     690.40000     690.40002        8.878985E+10
     22.50000     700.40002     700.40002        8.858419E+10
     22.50000     710.39997     710.39996        8.837474E+10
     22.50000     720.39999     720.39996        8.816560E+10
     22.50000     730.40001     730.40002        8.795250E+10
     22.50000     740.40003     740.40002        8.773973E+10
     22.50000     750.39998     750.39996        8.752248E+10
     22.50000     760.40000     760.40002        8.730557E+10
     22.50000     770.40002     770.40002        8.708384E+10
     22.50000     780.40004     780.40002        8.686268E+10
     22.50000     790.39998     790.39996        8.663618E+10
     22.50000     800.40000     800.40002        8.641009E+10
     22.50000     810.40002     810.40002        8.617852E+10
     22.50000     820.40004     820.40002        8.594739E+10
     22.50000     830.39999     830.39996        8.571011E+10
     22.50000     840.40001     840.40002        8.547347E+10
     22.50000     850.40003     850.40002        8.523038E+10
     22.50000     860.40005     860.40002        8.498780E+10
     22.50000     870.40000     870.40002        8.473846E+10
     22.50000     880.40002     880.40002        8.448967E+10
     22.50000     890.40004     890.40002        8.423346E+10
     22.50000     900.40006     900.40009        8.397785E+10
     22.50000     910.40000     910.40002        8.371383E+10
     22.50000     920.40002     920.40002        8.345063E+10
     22.50000     930.39997     930.39996        8.317566E+10
     22.50000     940.39999     940.39996        8.290141E+10
     22.50000     950.40001     950.40002        8.261156E+10
     22.50000     960.40003     960.40002        8.232272E+10
     22.50000     970.39998     970.39996        8.198285E+10
     22.50000     980.40000     980.40002        8.164438E+10
     22.50000     990.40002     990.40002        5.342078E+07
     22.50000    1000.40004    1000.40002        3.495640E+04
     22.50000    1000.40004    1000.40002        4.207891E-07
     22.50000    1000.41002    1000.41003        9.567215E+00
     22.50000    1000.42164    1000.42163        2.004587E+02
     22.50000    1000.43163    1000.43164        4.910300E+02
