

 One-dimensional plot values
 Input line #     124
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        8.166338E+10
     35.00000      40.40000      40.40000        9.500761E+10
     35.00000      60.40000      60.40001        9.794753E+10
     35.00000      80.40000      80.39999        9.842921E+10
     35.00000     100.40000     100.40000        9.826918E+10
     35.00000     120.40000     120.40000        9.794151E+10
     35.00000     140.40001     140.40001        9.757357E+10
     35.00000     160.40001     160.40001        9.719997E+10
     35.00000     180.40000     180.39999        9.682971E+10
     35.00000     200.40000     200.39999        9.646468E+10
     35.00000     220.40000     220.40001        9.610545E+10
     35.00000     240.40001     240.40001        9.575135E+10
     35.00000     260.40001     260.39999        9.540190E+10
     35.00000     280.40001     280.40002        9.505665E+10
     35.00000     300.40001     300.40002        9.471515E+10
     35.00000     320.40000     320.39999        9.437694E+10
     35.00000     340.40000     340.39999        9.404139E+10
     35.00000     360.40001     360.39999        9.370806E+10
     35.00000     380.40001     380.40002        9.337633E+10
     35.00000     400.40001     400.40002        9.304617E+10
     35.00000     420.40002     420.40002        9.271657E+10
     35.00000     440.40002     440.40002        9.238713E+10
     35.00000     460.40002     460.40002        9.205764E+10
     35.00000     480.40003     480.40002        9.172751E+10
     35.00000     500.40003     500.40002        9.139616E+10
     35.00000     520.40000     520.40002        9.106301E+10
     35.00000     540.40000     540.40002        9.072788E+10
     35.00000     560.40000     560.40002        9.038982E+10
     35.00000     580.40000     580.40002        9.004887E+10
     35.00000     600.40001     600.40002        8.970408E+10
     35.00000     620.40001     620.40002        8.935512E+10
     35.00000     640.40005     640.40002        8.900145E+10
     35.00000     660.40002     660.40002        8.864257E+10
     35.00000     680.39998     680.39996        8.827776E+10
     35.00000     700.40002     700.40002        8.790674E+10
     35.00000     720.39999     720.39996        8.752882E+10
     35.00000     740.40003     740.40002        8.714334E+10
     35.00000     760.40000     760.40002        8.674984E+10
     35.00000     780.40004     780.40002        8.634768E+10
     35.00000     800.40000     800.40002        8.593626E+10
     35.00000     820.40004     820.40002        8.551496E+10
     35.00000     840.40001     840.40002        8.508303E+10
     35.00000     860.40005     860.40002        8.464008E+10
     35.00000     880.40002     880.40002        8.418520E+10
     35.00000     900.40006     900.40009        8.371769E+10
     35.00000     920.40002     920.40002        8.323687E+10
     35.00000     940.39999     940.39996        8.274210E+10
     35.00000     960.40003     960.40002        8.223238E+10
     35.00000     980.40000     980.40002        8.164420E+10
     35.00000    1000.40004    1000.40002        6.006387E+03
     35.00000    1000.40004    1000.40002        7.230218E-08
     35.00000    1000.41002    1000.41003        9.479150E+00
     35.00000    1000.42336    1000.42334        2.510453E+02
     35.00000    1000.43334    1000.43335        5.388690E+02
