

 One-dimensional plot values
 Input line #     177
  X (Microns)   Y (Microns)  Distance (Microns) Concentration (cm^-3)         
     35.00000      20.40000      20.40000        8.166661E+10
     35.00000      40.40000      40.40000        9.693374E+10
     35.00000      60.40000      60.40001        1.002537E+11
     35.00000      80.40000      80.39999        1.007733E+11
     35.00000     100.40000     100.40000        1.005637E+11
     35.00000     120.40000     120.40000        1.001648E+11
     35.00000     140.40001     140.40001        9.972195E+10
     35.00000     160.40001     160.40001        9.927404E+10
     35.00000     180.40000     180.39999        9.883162E+10
     35.00000     200.40000     200.39999        9.839680E+10
     35.00000     220.40000     220.40001        9.796990E+10
     35.00000     240.40001     240.40001        9.755022E+10
     35.00000     260.40001     260.39999        9.713724E+10
     35.00000     280.40001     280.40002        9.673068E+10
     35.00000     300.40001     300.40002        9.632963E+10
     35.00000     320.40000     320.39999        9.593340E+10
     35.00000     340.40000     340.39999        9.554174E+10
     35.00000     360.40001     360.39999        9.515397E+10
     35.00000     380.40001     380.40002        9.476924E+10
     35.00000     400.40001     400.40002        9.438731E+10
     35.00000     420.40002     420.40002        9.400733E+10
     35.00000     440.40002     440.40002        9.362887E+10
     35.00000     460.40002     460.40002        9.325133E+10
     35.00000     480.40003     480.40002        9.287429E+10
     35.00000     500.40003     500.40002        9.249695E+10
     35.00000     520.40000     520.40002        9.211871E+10
     35.00000     540.40000     540.40002        9.173920E+10
     35.00000     560.40000     560.40002        9.135784E+10
     35.00000     580.40000     580.40002        9.097387E+10
     35.00000     600.40001     600.40002        9.058694E+10
     35.00000     620.40001     620.40002        9.019631E+10
     35.00000     640.40005     640.40002        8.980124E+10
     35.00000     660.40002     660.40002        8.940124E+10
     35.00000     680.39998     680.39996        8.899578E+10
     35.00000     700.40002     700.40002        8.858419E+10
     35.00000     720.39999     720.39996        8.816560E+10
     35.00000     740.40003     740.40002        8.773973E+10
     35.00000     760.40000     760.40002        8.730557E+10
     35.00000     780.40004     780.40002        8.686268E+10
     35.00000     800.40000     800.40002        8.641009E+10
     35.00000     820.40004     820.40002        8.594739E+10
     35.00000     840.40001     840.40002        8.547347E+10
     35.00000     860.40005     860.40002        8.498780E+10
     35.00000     880.40002     880.40002        8.448967E+10
     35.00000     900.40006     900.40009        8.397785E+10
     35.00000     920.40002     920.40002        8.345063E+10
     35.00000     940.39999     940.39996        8.290141E+10
     35.00000     960.40003     960.40002        8.232272E+10
     35.00000     980.40000     980.40002        8.164438E+10
     35.00000    1000.40004    1000.40002        3.495156E+04
     35.00000    1000.40004    1000.40002        4.207309E-07
     35.00000    1000.41002    1000.41003        9.567341E+00
     35.00000    1000.42336    1000.42334        2.516562E+02
     35.00000    1000.43334    1000.43335        5.393597E+02
