Assume W = 3.636 eV

step size = 10 um				
1mm	5 keV	15 keV	25 keV	30 keV
Thickness	#EHP	#EHP	#EHP	#EHP
0.0000E+00	572	89	30	20
1.0000E-03	326	88	33	22
2.0000E-03	184	87	32	22
3.0000E-03	105	85	33	23
4.0000E-03	58	84	32	22
5.0000E-03	34	82	32	22
6.0000E-03	19	79	32	22
7.0000E-03	11	79	32	22
8.0000E-03	6	76	31	21
9.0000E-03	3	75	31	22
1.0000E-02	2	72	31	22
1.1000E-02	1	71	31	22
1.2000E-02	1	69	31	22
1.3000E-02	0	67	31	21
1.4000E-02	0	66	30	23
1.5000E-02	0	65	30	21
1.6000E-02	0	64	30	21
1.7000E-02	0	62	30	22
1.8000E-02	0	61	30	20
1.9000E-02	0	59	30	21
2.0000E-02	0	57	29	22
2.1000E-02	0	56	30	21
2.2000E-02	0	55	29	21
2.3000E-02	0	54	29	21
2.4000E-02	0	52	29	21
2.5000E-02	0	51	30	21
2.6000E-02	0	50	28	20
2.7000E-02	0	49	29	21
2.8000E-02	0	48	29	20
2.9000E-02	0	47	28	21
3.0000E-02	0	46	29	21
3.1000E-02	0	45	28	21
3.2000E-02	0	44	28	20
3.3000E-02	0	43	27	20
3.4000E-02	0	41	28	20
3.5000E-02	0	41	28	20
3.6000E-02	0	39	28	20
3.7000E-02	0	39	26	20
3.8000E-02	0	38	27	20
3.9000E-02	0	36	26	20
4.0000E-02	0	35	27	20
4.1000E-02	0	36	26	20
4.2000E-02	0	34	27	20
4.3000E-02	0	34	26	20
4.4000E-02	0	33	27	20
4.5000E-02	0	32	26	20
4.6000E-02	0	31	26	20
4.7000E-02	0	31	26	19
4.8000E-02	0	30	26	19
4.9000E-02	0	29	26	20
5.0000E-02	0	29	26	19
5.1000E-02	0	28	26	20
5.2000E-02	0	27	25	19
5.3000E-02	0	27	25	19
5.4000E-02	0	26	25	19
5.5000E-02	0	26	25	19
5.6000E-02	0	25	25	20
5.7000E-02	0	24	25	19
5.8000E-02	0	24	24	19
5.9000E-02	0	23	24	19
6.0000E-02	0	22	24	19
6.1000E-02	0	22	24	19
6.2000E-02	0	22	24	19
6.3000E-02	0	22	24	19
6.4000E-02	0	20	24	19
6.5000E-02	0	20	24	18
6.6000E-02	0	20	23	19
6.7000E-02	0	19	23	18
6.8000E-02	0	19	23	19
6.9000E-02	0	18	23	18
7.0000E-02	0	18	22	19
7.1000E-02	0	17	22	18
7.2000E-02	0	17	22	19
7.3000E-02	0	17	23	19
7.4000E-02	0	16	22	19
7.5000E-02	0	16	23	18
7.6000E-02	0	15	23	18
7.7000E-02	0	15	23	18
7.8000E-02	0	14	22	19
7.9000E-02	0	14	22	18
8.0000E-02	0	14	22	17
8.1000E-02	0	14	22	17
8.2000E-02	0	14	22	17
8.3000E-02	0	13	22	17
8.4000E-02	0	13	21	17
8.5000E-02	0	12	21	17
8.6000E-02	0	12	21	18
8.7000E-02	0	12	21	17
8.8000E-02	0	12	22	17
8.9000E-02	0	12	21	17
9.0000E-02	0	11	21	17
9.1000E-02	0	11	21	17
9.2000E-02	0	11	21	17
9.3000E-02	0	10	20	17
9.4000E-02	0	10	20	17
9.5000E-02	0	10	20	16
9.6000E-02	0	10	20	17
9.7000E-02	0	10	19	17
9.8000E-02	0	9	19	17
9.9000E-02	0	9	19	15
