Assume W = 3.636 eV				

step size = 3 um				
300um	5 keV	15 keV	25 keV	30 keV
Thickness	#EHP	#EHP	#EHP	#EHP
0.0000E+00	205	25	7	4
3.0000E-04	176	27	9	6
6.0000E-04	148	27	9	7
9.0000E-04	124	27	9	6
1.2000E-03	105	26	10	7
1.5000E-03	88	26	10	6
1.8000E-03	74	27	10	6
2.1000E-03	63	26	9	7
2.4000E-03	53	26	10	6
2.7000E-03	45	26	10	7
3.0000E-03	38	26	9	7
3.3000E-03	32	25	10	7
3.6000E-03	27	25	10	7
3.9000E-03	23	25	9	7
4.2000E-03	19	25	10	7
4.5000E-03	16	25	9	6
4.8000E-03	14	25	9	6
5.1000E-03	11	25	10	6
5.4000E-03	10	24	9	7
5.7000E-03	8	24	10	6
6.0000E-03	7	24	9	7
6.3000E-03	6	24	10	7
6.6000E-03	5	23	9	7
6.9000E-03	4	23	9	7
7.2000E-03	3	23	9	6
7.5000E-03	3	23	9	6
7.8000E-03	2	23	9	7
8.1000E-03	2	22	10	6
8.4000E-03	2	23	9	6
8.7000E-03	1	23	10	7
9.0000E-03	1	22	9	7
9.3000E-03	1	22	9	6
9.6000E-03	1	22	9	6
9.9000E-03	1	22	9	7
1.0200E-02	1	21	9	7
1.0500E-02	1	22	9	7
1.0800E-02	0	22	9	6
1.1100E-02	0	21	9	6
1.1400E-02	0	21	9	6
1.1700E-02	0	21	9	6
1.2000E-02	0	21	9	6
1.2300E-02	0	21	10	7
1.2600E-02	0	20	9	6
1.2900E-02	0	20	9	7
1.3200E-02	0	21	9	7
1.3500E-02	0	20	9	7
1.3800E-02	0	20	9	6
1.4100E-02	0	20	9	7
1.4400E-02	0	20	9	7
1.4700E-02	0	19	9	6
1.5000E-02	0	20	9	6
1.5300E-02	0	19	9	6
1.5600E-02	0	19	9	6
1.5900E-02	0	19	9	6
1.6200E-02	0	19	9	6
1.6500E-02	0	19	9	6
1.6800E-02	0	19	9	7
1.7100E-02	0	18	9	6
1.7400E-02	0	18	9	6
1.7700E-02	0	19	8	6
1.8000E-02	0	18	9	6
1.8300E-02	0	18	9	6
1.8600E-02	0	18	9	6
1.8900E-02	0	18	9	6
1.9200E-02	0	18	9	6
1.9500E-02	0	18	9	6
1.9800E-02	0	18	9	6
2.0100E-02	0	17	9	6
2.0400E-02	0	17	9	6
2.0700E-02	0	17	8	6
2.1000E-02	0	17	9	6
2.1300E-02	0	17	9	6
2.1600E-02	0	17	9	7
2.1900E-02	0	17	9	7
2.2200E-02	0	17	9	6
2.2500E-02	0	16	9	6
2.2800E-02	0	16	9	6
2.3100E-02	0	16	9	6
2.3400E-02	0	16	9	6
2.3700E-02	0	16	9	6
2.4000E-02	0	15	9	6
2.4300E-02	0	16	9	6
2.4600E-02	0	15	9	6
2.4900E-02	0	15	9	6
2.5200E-02	0	15	8	6
2.5500E-02	0	16	8	6
2.5800E-02	0	15	8	6
2.6100E-02	0	15	8	6
2.6400E-02	0	15	8	6
2.6700E-02	0	15	9	6
2.7000E-02	0	15	9	6
2.7300E-02	0	14	9	6
2.7600E-02	0	15	8	6
2.7900E-02	0	15	8	6
2.8200E-02	0	14	8	6
2.8500E-02	0	14	8	6
2.8800E-02	0	14	8	6
2.9100E-02	0	14	8	6
2.9400E-02	0	14	8	6
2.9700E-02	0	13	7	5
