Assume W = 3.636 eV

step size = 5 um				
500um	5 keV	15 keV	25 keV	30 keV
Thickness	#EHP	#EHP	#EHP	#EHP
0.0000E+00	326	43	14	9
5.0000E-04	246	45	16	11
1.0000E-03	187	45	16	11
1.5000E-03	139	45	16	11
2.0000E-03	105	44	16	11
2.5000E-03	79	43	16	11
3.0000E-03	60	43	16	11
3.5000E-03	45	42	16	11
4.0000E-03	33	42	16	10
4.5000E-03	25	42	16	11
5.0000E-03	19	41	15	11
5.5000E-03	15	40	16	11
6.0000E-03	11	40	16	11
6.5000E-03	8	40	15	11
7.0000E-03	6	40	15	11
7.5000E-03	5	38	15	11
8.0000E-03	3	38	15	11
8.5000E-03	2	38	15	11
9.0000E-03	2	37	16	11
9.5000E-03	1	37	15	10
1.0000E-02	1	36	16	11
1.0500E-02	1	36	16	11
1.1000E-02	1	36	15	11
1.1500E-02	0	35	16	11
1.2000E-02	0	35	15	11
1.2500E-02	0	35	15	11
1.3000E-02	0	34	15	11
1.3500E-02	0	33	15	11
1.4000E-02	0	33	15	11
1.4500E-02	0	33	15	11
1.5000E-02	0	33	15	11
1.5500E-02	0	32	15	11
1.6000E-02	0	32	15	10
1.6500E-02	0	31	15	11
1.7000E-02	0	31	15	11
1.7500E-02	0	31	15	10
1.8000E-02	0	30	15	11
1.8500E-02	0	30	15	11
1.9000E-02	0	29	15	11
1.9500E-02	0	29	15	11
2.0000E-02	0	29	15	10
2.0500E-02	0	29	15	11
2.1000E-02	0	29	15	10
2.1500E-02	0	28	15	10
2.2000E-02	0	28	15	10
2.2500E-02	0	28	14	11
2.3000E-02	0	27	14	11
2.3500E-02	0	27	14	11
2.4000E-02	0	26	14	10
2.4500E-02	0	26	15	10
2.5000E-02	0	25	15	10
2.5500E-02	0	25	14	10
2.6000E-02	0	25	14	10
2.6500E-02	0	25	14	10
2.7000E-02	0	24	15	10
2.7500E-02	0	25	14	10
2.8000E-02	0	24	14	10
2.8500E-02	0	24	14	10
2.9000E-02	0	23	14	10
2.9500E-02	0	23	14	10
3.0000E-02	0	23	14	11
3.0500E-02	0	23	14	10
3.1000E-02	0	23	14	10
3.1500E-02	0	22	14	10
3.2000E-02	0	22	14	10
3.2500E-02	0	21	14	10
3.3000E-02	0	21	14	10
3.3500E-02	0	21	14	10
3.4000E-02	0	21	14	10
3.4500E-02	0	20	13	10
3.5000E-02	0	20	14	10
3.5500E-02	0	20	14	10
3.6000E-02	0	20	14	9
3.6500E-02	0	20	14	10
3.7000E-02	0	20	14	10
3.7500E-02	0	20	14	10
3.8000E-02	0	18	14	10
3.8500E-02	0	19	13	10
3.9000E-02	0	18	14	10
3.9500E-02	0	18	13	10
4.0000E-02	0	17	13	10
4.0500E-02	0	18	13	10
4.1000E-02	0	18	13	9
4.1500E-02	0	18	13	10
4.2000E-02	0	17	13	10
4.2500E-02	0	17	13	9
4.3000E-02	0	16	13	10
4.3500E-02	0	16	13	10
4.4000E-02	0	16	13	10
4.4500E-02	0	17	14	10
4.5000E-02	0	16	12	10
4.5500E-02	0	16	13	9
4.6000E-02	0	17	13	10
4.6500E-02	0	16	13	10
4.7000E-02	0	15	13	9
4.7500E-02	0	15	12	10
4.8000E-02	0	15	12	10
4.8500E-02	0	15	13	10
4.9000E-02	0	14	13	10
4.9500E-02	0	14	11	8
